,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,49920,12959,8654,20063,35649,9462,11921,-,-,11446,8451,-,17778,-,17035,19799,61181,61181,19828,19737,Upgrade
1,Short-Term Investments,12978,8298,8298,8111,8111,5921,5921,-,-,2679,2679,-,2631,-,2585,2539,2539,2539,2475,2409,Upgrade
2,Cash & Short-Term Investments,62898,21257,16952,28174,43760,15383,17842,-,-,14125,11130,20409,20409,-,19620,22338,63720,63720,22304,22146,Upgrade
3,Cash Growth,43.74%,38.18%,-4.98%,-,-,8.91%,60.30%,-,-,-,-43.27%,-8.64%,-67.97%,-,-12.03%,0.87%,68.89%,68.89%,101.51%,-10.31%,Upgrade
4,Accounts Receivable,38256,56899,25330,30926,37907,60641,40195,-,-,55652,55542,-,87282,-,47173,32858,40994,40994,70463,23312,Upgrade
5,Other Receivables,2397,808.91,373.55,1427,1339,1049,1248,-,-,1517,1952,-,78.96,-,471.95,521.63,190.2,190.2,538.93,666.48,Upgrade
6,Receivables,40654,57707,25704,32352,39246,61690,41443,-,-,57169,57494,-,87361,-,47645,33380,41184,41184,71002,23978,Upgrade
7,Inventory,69635,155179,177485,71108,82805,170466,175334,-,-,168830,152751,-,85379,-,117475,55341,41794,41794,79376,40978,Upgrade
8,Prepaid Expenses,1054,2004,936.01,1092,1548,1516,992.22,-,-,1822,1518,-,931.54,-,1457,1546,1611,1611,554.97,700.9,Upgrade
