,Fiscal Quarter,Q1 2020,Q4 2019,Q1 2019,Q4 2018
,Period Ending,"Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018"
0,"Property, Plant & Equipment",323360.0,326847.0,-,301030
1,Cash & Equivalents,83789.0,35319.0,-,50297
2,Accounts Receivable,10333.0,9201.0,-,8546
3,Other Receivables,1094.0,1418.0,-,954.95
4,Investment In Debt and Equity Securities,201000.0,106000.0,-,-
5,Other Intangible Assets,37606.0,37878.0,-,38967
6,Other Current Assets,77356.0,75178.0,-,78168
7,Deferred Long-Term Tax Assets,3799.0,3799.0,-,4178
8,Other Long-Term Assets,378465.0,383183.0,-,390322
9,Total Assets,1116801.0,978822.0,-,872463
10,Long-Term Debt,8805.0,8805.0,-,-
11,Accounts Payable,7481.0,26304.0,-,30003
12,Accrued Expenses,36017.0,45225.0,-,46779
13,Current Income Taxes Payable,9508.0,5597.0,-,1154
14,Current Unearned Revenue,15733.0,16705.0,-,12509
15,Other Current Liabilities,82888.0,16280.0,-,18125
16,Long-Term Unearned Revenue,391831.0,317415.0,-,272253
17,Other Long-Term Liabilities,10613.0,9381.0,-,8087
18,Total Liabilities,563951.0,446907.0,-,388910
19,Common Stock,300000.0,300000.0,-,300000
20,Additional Paid-In Capital,5613.0,5613.0,-,5613
21,Retained Earnings,247238.0,226303.0,-,177941
22,Shareholders' Equity,552850.0,531915.0,483553,483553
23,Total Liabilities & Equity,1116801.0,978822.0,-,872463
24,Total Debt,9881.0,10000.0,-,-
25,Net Cash / Debt,73909.0,25319.0,50297,50297
26,Net Cash Per Share,2464.2,843.41,1676.87,1677.51
27,Filing Date Shares Outstanding,29.99,30.0,29.99,29.98
28,Total Common Shares Outstanding,29.99,30.0,29.99,29.98
29,Book Value Per Share,18432.58,17730.51,16127.67,16127.67
30,Tangible Book Value,515245.0,494037.0,444586,444586
31,Tangible Book Value Per Share,17178.78,16467.91,14828.03,14828.03
32,Construction In Progress,4110.0,1338.0,-,30236
