,Fiscal Quarter,Q1 2020,Q4 2019,Q1 2019,Q4 2018
,Period Ending,"Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018"
0,Other Revenue,78663,87326,81760,87493
1,Total Revenue,78663,87326,81760,87493
2,Property Expenses,47991,55637,52717,61735
3,"Selling, General & Administrative",5021,9587,4634,6423
4,Total Operating Expenses,53012,65224,57351,68158
5,Operating Income,25651,22102,24409,19335
6,Interest Expense,-154.11,-22.6,-,-
7,Interest & Investment Income,360.56,2887,226.01,1156
8,Other Non-Operating Income,322.35,379.94,226.47,211.29
9,EBT Excluding Unusual Items,26179,25347,24862,20702
10,Pretax Income,26179,25347,24862,20702
11,Income Tax Expense,5244,5624,4976,4542
12,Net Income,20935,19723,19886,16161
13,Net Income to Common,20935,19723,19886,16161
14,Basic Shares Outstanding,30,30,30,30
15,Diluted Shares Outstanding,30,30,30,30
16,EPS (Basic),698.00,657.00,663.00,539.00
17,EPS (Diluted),698.00,657.00,663.00,539.00
18,Operating Margin,32.61%,25.31%,29.85%,22.10%
19,Profit Margin,26.61%,22.59%,24.32%,18.47%
20,Free Cash Flow Margin,185.31%,-,67.75%,-
21,EBITDA,32370,28608,30319,-
22,EBITDA Margin,41.15%,32.76%,37.08%,-
23,D&A For Ebitda,6720,6505,5909,-
24,EBIT,25651,22102,24409,19335
25,EBIT Margin,32.61%,25.31%,29.85%,22.10%
26,Effective Tax Rate,20.03%,22.19%,20.01%,21.94%
27,Revenue as Reported,78663,87326,81760,87493
