,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+8 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+8 Quarters
0,Revenue,1527095,1221082,651155,362284,1340101,549913,898945,54852,1323508,546102,274085,57674,666809,156284,338791,64273,668699,380343,350997,68314,Upgrade
1,Revenue Growth (YoY),13.95%,122.05%,-27.56%,560.47%,1.25%,0.70%,227.98%,-4.89%,98.48%,249.43%,-19.10%,-10.27%,-0.28%,-58.91%,-3.48%,-5.92%,-13.13%,85.65%,49.88%,-4.46%,Upgrade
2,Cost of Revenue,1472401,1174733,621636,342943,1281787,524178,866958,54817,1273419,522048,254297,53823,621302,144333,319565,59163,622302,357510,321545,63699,Upgrade
3,Gross Profit,54695,46349,29519,19341,58315,25734,31987,34.95,50089,24054,19788,3852,45507,11950,19226,5110,46397,22834,29453,4615,Upgrade
4,"Selling, General & Admin",35926,30930,21758,14477,42052,19008,25609,6563,43612,19417,15432,4515,25747,7561,10580,5083,25787,11911,16955,3004,Upgrade
5,Operating Expenses,35926,30930,21758,14477,42052,19008,25609,6563,43612,19417,15432,4515,25747,7561,10580,5083,25787,11911,16955,3004,Upgrade
6,Operating Income,18769,15419,7761,4863,16262,6727,6378,-6529,6477,4637,4356,-663.25,19759,4390,8646,26.62,20610,10923,12497,1611,Upgrade
7,Interest Expense,-4146,-3849,-2362,-3487,-5251,-3614,-3428,-1019,-3049,-51.81,-1409,-59.44,-7193,-1533,-2134,-0.07,-9170,-3738,-5210,-292.28,Upgrade
8,Interest & Investment Income,895.33,778.1,1112,2246,2118,2397,6101,8605,6318,3914,1359,1614,287.66,274.14,214.63,915.83,284.31,381.6,203.73,160.84,Upgrade
9,Other Non Operating Income (Expenses),-212.84,-104.59,-,0.47,0.63,8.81,4.54,1.82,2480,-250.99,-173.51,-,557.21,-,32.08,373.16,446.4,641.11,30,8.29,Upgrade
10,Pretax Income,15306,12243,6512,3623,13130,5519,9055,1059,12227,8248,4132,891.66,13411,3131,6758,1316,12170,8208,7522,1488,Upgrade
11,Income Tax Expense,3485,2664,1302,896.54,2626,1104,1811,211.82,2452,1700,861.36,178.33,2759,626.16,1352,268.2,2506,1642,1504,424.21,Upgrade
12,Net Income,11820,9580,5210,2726,10504,4415,7244,847.3,9775,6548,3271,713.33,10652,2505,5407,1047,9665,6566,6017,1064,Upgrade
13,Net Income to Common,11820,9580,5210,2726,10504,4415,7244,847.3,9775,6548,3271,713.33,10652,2505,5407,1047,9665,6566,6017,1064,Upgrade
14,Net Income Growth,12.53%,116.98%,-28.08%,221.76%,7.46%,-32.57%,121.46%,18.78%,-8.23%,161.43%,-39.50%,-31.89%,10.22%,-61.86%,-10.15%,-1.57%,-31.04%,86.04%,49.12%,-12.78%,Upgrade
15,Shares Outstanding (Basic),12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,Upgrade
16,Shares Outstanding (Diluted),12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,Upgrade
17,Shares Change (YoY),0.00%,-0.17%,0.07%,-0.55%,-0.04%,0.10%,-0.10%,-0.43%,0.05%,0.21%,0.06%,0.37%,-0.08%,-0.11%,-0.02%,0.78%,0.01%,-0.12%,0.13%,-0.61%,Upgrade
18,EPS (Basic),952.00,771.57,419.00,220.00,846.00,355.00,583.00,68.00,787.00,527.00,263.00,57.00,858.00,202.00,435.00,84.00,777.84,529.00,484.00,86.00,Upgrade
19,EPS (Diluted),952.00,771.57,419.00,220.00,846.00,355.00,583.00,68.00,787.00,527.00,263.00,57.00,858.00,202.00,435.00,84.00,777.84,529.00,484.00,86.00,Upgrade
20,EPS Growth,12.53%,117.34%,-28.13%,223.53%,7.50%,-32.64%,121.67%,19.30%,-8.28%,160.89%,-39.54%,-32.14%,10.31%,-61.81%,-10.12%,-2.33%,-31.04%,86.27%,48.92%,-12.24%,Upgrade
21,Free Cash Flow,-24957,-24957,-272050,-52913,359500,-110712,-384575,-259582,-,-319209,659529,-315079,529837,11276,-93572,-52022,152442,-,92187,-11828,Upgrade
22,Free Cash Flow Per Share,-2009.99,-2010.10,-21879.33,-4269.86,28954.51,-8901.94,-30952.16,-20832.80,-,-25691.35,53030.47,-25177.11,42678.39,909.38,-7528.29,-4172.28,12269.13,-,7414.96,-955.99,Upgrade
23,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,1026.500,-,-,-,1200.000,-,-,-,Upgrade
24,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,-14.46%,-,-,-,-,-,-,-,Upgrade
25,Gross Margin,3.58%,3.80%,4.53%,5.34%,4.35%,4.68%,3.56%,0.06%,3.78%,4.40%,7.22%,6.68%,6.82%,7.65%,5.67%,7.95%,6.94%,6.00%,8.39%,6.76%,Upgrade
26,Operating Margin,1.23%,1.26%,1.19%,1.34%,1.21%,1.22%,0.71%,-11.90%,0.49%,0.85%,1.59%,-1.15%,2.96%,2.81%,2.55%,0.04%,3.08%,2.87%,3.56%,2.36%,Upgrade
27,Profit Margin,0.77%,0.78%,0.80%,0.75%,0.78%,0.80%,0.81%,1.54%,0.74%,1.20%,1.19%,1.24%,1.60%,1.60%,1.60%,1.63%,1.45%,1.73%,1.71%,1.56%,Upgrade
28,Free Cash Flow Margin,-1.63%,-2.04%,-41.78%,-14.61%,26.83%,-20.13%,-42.78%,-473.24%,-,-58.45%,240.63%,-546.31%,79.46%,7.21%,-27.62%,-80.94%,22.80%,-,26.26%,-17.31%,Upgrade
29,EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26585,16898,18472,7586,Upgrade
30,EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.98%,4.44%,5.26%,11.11%,Upgrade
31,D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5975,5975,5975,5975,Upgrade
32,EBIT,18769,15419,7761,4863,16262,6727,6378,-6529,6477,4637,4356,-663.25,19759,4390,8646,26.62,20610,10923,12497,1611,Upgrade
33,EBIT Margin,1.23%,1.26%,1.19%,1.34%,1.21%,1.22%,0.71%,-11.90%,0.49%,0.85%,1.59%,-1.15%,2.96%,2.81%,2.55%,0.04%,3.08%,2.87%,3.56%,2.36%,Upgrade
34,Effective Tax Rate,22.77%,21.76%,20.00%,24.75%,20.00%,20.00%,20.00%,20.00%,20.05%,20.61%,20.84%,20.00%,20.58%,20.00%,20.00%,20.39%,20.59%,20.00%,20.00%,28.50%,Upgrade
35,Revenue as Reported,1527095,1221082,651155,362284,1340101,549913,898945,54852,1323508,546102,274085,57674,666809,156284,338791,64273,668699,380343,350997,68314,Upgrade
