,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+2 Quarters
0,Revenue,222870,167360,335381,110329,306079,204756,137286,187530,166890,147820,250484,220829,107317,80112,199624,176505,91340,71593,164244,164781,Upgrade
1,Revenue Growth (YoY),-27.19%,-18.26%,144.29%,-41.17%,83.40%,38.52%,-45.19%,-15.08%,55.51%,84.52%,25.48%,25.11%,17.49%,11.90%,21.54%,7.11%,-25.79%,-43.52%,-,-,Upgrade
2,Cost of Revenue,150511,134840,262876,99060,264760,182629,124518,177408,153382,132475,213996,192937,93220,70156,163466,144286,75376,64324,132394,134477,Upgrade
3,Gross Profit,72359,32521,72505,11268,41319,22127,12768,10122,13509,15345,36488,27892,14098,9956,36157,32218,15964,7269,31850,30304,Upgrade
4,"Selling, General & Admin",36405,15189,23720,13772,20005,15806,12879,13262,14555,15761,17967,16624,13702,12776,13763,16706,13884,12805,16249,15354,Upgrade
5,Operating Expenses,36405,15189,23720,13772,20005,15806,12879,13262,14555,15761,17967,16624,13702,12776,13763,16706,13884,12805,16249,15354,Upgrade
6,Operating Income,35954,17332,48785,-2503,21314,6320,-110.85,-3140,-1047,-416.71,18521,11268,395.35,-2821,22394,15512,2080,-5536,15601,14951,Upgrade
7,Interest Expense,-9529,-7872,-5708,-5533,-4074,-3041,-2748,-3062,-2892,-2512,-2818,-2533,-2116,-2517,-4872,-4856,-4069,-3986,-4022,-4136,Upgrade
8,Interest & Investment Income,16826,5850,3114,5326,3195,3512,3175,3710,1831,2237,1700,2434,2229,3464,9391,1123,486.32,1003,1635,1232,Upgrade
9,Earnings From Equity Investments,5719,376.13,9384,-605.65,4124,-1321,-1347,564.28,-1785,-2087,150.27,2267,-339.73,-1996,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-248.83,27.21,-5369,-671.5,-5243,-4237,-1208,-788.65,-1267,-1099,-1136,-1054,-768.9,-878.41,-781.15,-2878,-161.68,-849.65,-691.95,-1902,Upgrade
11,Pretax Income,48721,15713,50206,-3988,19315,1233,-2240,-2716,-5160,-3878,16417,12382,-600.45,-4748,26132,8901,-1664,-9369,12521,10146,Upgrade
12,Income Tax Expense,8395,2953,5144,-,-,-,-,-,580.86,-,2769,807.5,457.39,-,5237,924,2545,7.32,2819,842.22,Upgrade
13,Earnings From Continuing Operations,40325,12760,45062,-3988,19315,1233,-2240,-2716,-5741,-3878,13649,11574,-1058,-4748,20894,7977,-4209,-9376,9702,9304,Upgrade
14,Minority Interest in Earnings,-100.82,45.84,6.25,43.05,-25.13,-543.45,-17.1,-30.03,27.34,29.53,19.64,31.75,109.94,116.97,2866,3703,952.28,1670,1287,1746,Upgrade
15,Net Income,40224,12806,45068,-3944,19290,689.29,-2257,-2746,-5713,-3848,13668,11606,-947.89,-4631,23761,11680,-3257,-7706,10989,11050,Upgrade
16,Preferred Dividends & Other Adjustments,133.81,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Net Income to Common,40091,12556,45068,-3944,19290,689.29,-2257,-2746,-5713,-3848,13668,11606,-947.89,-4631,23761,11680,-3257,-7706,10989,11050,Upgrade
18,Net Income Growth,108.52%,1757.85%,-,-,-,-,-,-,-,-,-42.47%,-0.64%,-,-,116.22%,5.71%,-,-,-,-,Upgrade
19,Shares Outstanding (Basic),17,17,17,17,17,17,17,16,17,16,17,17,16,17,17,17,16,17,17,17,Upgrade
20,Shares Outstanding (Diluted),17,17,17,17,17,17,17,16,17,16,17,17,16,17,17,17,16,17,17,17,Upgrade
21,Shares Change (YoY),0.86%,0.11%,-0.08%,3.13%,0.18%,3.54%,-0.93%,-3.53%,7.19%,-1.82%,1.74%,0.67%,-4.58%,-0.20%,-0.71%,0.07%,-,-,-,-,Upgrade
22,EPS (Basic),2382.10,746.05,2678.00,-234.00,1156.00,41.00,-134.00,-168.00,-343.00,-237.00,804.00,685.00,-61.00,-280.00,1422.00,694.00,-200.00,-465.00,653.00,657.00,Upgrade
23,EPS (Diluted),2382.00,746.00,2678.00,-234.00,1156.00,41.00,-134.00,-168.00,-343.00,-237.00,804.00,685.00,-61.00,-280.00,1422.00,694.00,-200.00,-465.00,653.00,657.00,Upgrade
24,EPS Growth,106.06%,1719.51%,-,-,-,-,-,-,-,-,-43.46%,-1.30%,-,-,117.76%,5.63%,-,-,-,-,Upgrade
25,Free Cash Flow,-,117678,-,2070,-47204,-50930,4252,6861,-70954,3236,-6720,-15606,-19928,36104,92919,-,-37826,-155.08,49673,-,Upgrade
26,Free Cash Flow Per Share,-,6992.15,-,122.81,-2828.76,-3029.36,252.45,419.75,-4259.72,199.28,-395.26,-921.08,-1282.46,2183.11,5560.95,-,-2322.80,-9.36,2951.68,-,Upgrade
27,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,1000.000,-,-,-,-,-,-,-,-,-,Upgrade
28,Gross Margin,32.47%,19.43%,21.62%,10.21%,13.50%,10.81%,9.30%,5.40%,8.09%,10.38%,14.57%,12.63%,13.14%,12.43%,18.11%,18.25%,17.48%,10.15%,19.39%,18.39%,Upgrade
29,Operating Margin,16.13%,10.36%,14.55%,-2.27%,6.96%,3.09%,-0.08%,-1.67%,-0.63%,-0.28%,7.39%,5.10%,0.37%,-3.52%,11.22%,8.79%,2.28%,-7.73%,9.50%,9.07%,Upgrade
30,Profit Margin,17.99%,7.50%,13.44%,-3.58%,6.30%,0.34%,-1.64%,-1.46%,-3.42%,-2.60%,5.46%,5.26%,-0.88%,-5.78%,11.90%,6.62%,-3.57%,-10.76%,6.69%,6.71%,Upgrade
31,Free Cash Flow Margin,-,70.31%,-,1.88%,-15.42%,-24.87%,3.10%,3.66%,-42.52%,2.19%,-2.68%,-7.07%,-18.57%,45.07%,46.55%,-,-41.41%,-0.22%,30.24%,-,Upgrade
32,EBITDA,37193,18611,49985,-1345,22512,7489,1028,-2002,3.46,624.48,19561,12310,1501,-1588,23667,18380,4946,-2636,18550,-,Upgrade
33,EBITDA Margin,16.69%,11.12%,14.90%,-1.22%,7.35%,3.66%,0.75%,-1.07%,0.00%,0.42%,7.81%,5.57%,1.40%,-1.98%,11.86%,10.41%,5.41%,-3.68%,11.29%,-,Upgrade
34,D&A For EBITDA,1239,1279,1200,1158,1198,1168,1139,1137,1050,1041,1040,1043,1106,1233,1273,2868,2865,2900,2950,-,Upgrade
35,EBIT,35954,17332,48785,-2503,21314,6320,-110.85,-3140,-1047,-416.71,18521,11268,395.35,-2821,22394,15512,2080,-5536,15601,14951,Upgrade
36,EBIT Margin,16.13%,10.36%,14.55%,-2.27%,6.96%,3.09%,-0.08%,-1.67%,-0.63%,-0.28%,7.39%,5.10%,0.37%,-3.52%,11.22%,8.79%,2.28%,-7.73%,9.50%,9.07%,Upgrade
37,Effective Tax Rate,17.23%,18.79%,10.25%,-,-,-,-,-,-,-,16.86%,6.52%,-,-,20.04%,10.38%,-,-,22.52%,8.30%,Upgrade
38,Revenue as Reported,222870,167360,335381,110329,306079,204756,137286,187530,166890,147820,250484,220829,107317,80112,199624,176505,91340,71593,164244,164781,Upgrade
