,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,297286,302199,339053,324311,314484,292372,302199,213751,280087,294829,385734,351337,456984,294829,201466,208837,179354,159699,171983,171983,162156,Upgrade
1,Market Cap Growth,3.36%,3.36%,12.20%,51.72%,12.28%,-0.83%,-21.66%,-39.16%,-38.71%,0%,91.46%,68.24%,154.79%,84.62%,17.14%,21.43%,10.61%,-23.53%,-12.50%,7.69%,0%,Upgrade
2,Enterprise Value,682154,674141,795621,360843,367768,449698,749814,532109,606680,740416,1043260,1092017,1556789,1327492,1158666,1120302,627593,607938,620223,494091,334888,Upgrade
3,Last Close Price,12100.00,12300.00,12777.78,12222.22,11851.85,11018.52,10766.06,7615.02,9978.30,10503.47,12742.62,11606.34,15096.35,9739.58,6125.31,6349.40,5453.02,4855.43,4549.84,4549.84,4289.85,Upgrade
4,PE Ratio,5.62,-,4.62,4.45,3.22,3.07,4.11,3.28,6.53,7.50,8.80,8.58,13.28,8.97,5.80,5.82,3.04,2.45,3.03,1.57,2.11,Upgrade
5,PS Ratio,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.06,0.09,0.10,0.13,0.10,0.08,0.07,0.07,0.06,0.07,0.07,0.07,Upgrade
6,PB Ratio,0.74,0.76,0.93,0.80,0.82,0.78,0.82,0.61,0.92,0.99,1.06,0.99,1.37,0.89,0.56,0.59,0.53,-,-,0.48,0.51,Upgrade
7,P/TBV Ratio,0.76,0.76,1.16,1.11,1.34,1.56,2.26,3.21,-,-,-,-,-,-,-,-,-,-,-,15.36,0.83,Upgrade
8,P/FCF Ratio,3.09,-,-1.69,-,1.07,0.96,0.94,-,0.62,0.36,0.63,1.10,1.92,-,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,1.56,-,1.43,-,0.74,0.70,0.71,-,0.47,0.31,0.36,0.45,0.74,1.35,-,-,-,-,-,0.35,-,Upgrade
