,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2207111,2574963,2729847,2846011,2633044,2420089,1777665,1936071,1372851,1355250,1888081,2016086,3289173,3640191,2067109,1272814,927336,690956,578552,570287,388456,Upgrade
1,Market Cap Growth,6.40%,6.40%,53.56%,47.00%,91.79%,78.57%,-5.85%,-3.97%,-58.26%,-62.77%,-8.66%,58.40%,254.69%,426.83%,257.29%,123.19%,138.72%,30.62%,79.49%,102.94%,80.77%,Upgrade
2,Enterprise Value,2566470,3274553,3429438,3186004,2973037,2611151,2028250,2112804,1549583,1423339,1933900,1969637,3242723,3723701,2197341,1462578,1117100,880720,845526,837261,599394,Upgrade
3,Last Close Price,11400.00,13300.00,14100.00,14700.00,13600.00,12500.00,9181.82,10000.00,7090.91,7000.00,9752.07,10413.22,20909.09,20594.58,11694.78,9361.17,6820.28,5081.78,4255.08,4194.29,2856.98,Upgrade
4,PE Ratio,15.72,-,17.84,10.60,9.57,8.68,6.24,10.07,6.36,6.10,6.00,6.57,13.39,17.80,17.32,12.58,11.01,9.53,5.62,5.07,3.34,Upgrade
5,PS Ratio,1.49,1.71,1.80,1.96,1.96,1.97,1.58,1.95,1.46,1.51,2.06,2.28,3.65,4.02,2.59,1.63,1.46,1.47,1.62,1.96,1.38,Upgrade
6,PB Ratio,1.38,1.42,1.50,1.05,0.97,0.94,0.70,0.74,-,0.54,0.77,0.83,1.64,1.81,1.15,0.93,-,0.53,0.46,0.46,0.32,Upgrade
7,P/TBV Ratio,2.44,2.44,2.59,1.19,1.10,1.05,0.78,0.88,-,0.65,0.93,1.01,2.52,2.79,1.43,1.16,-,0.66,0.58,0.58,0.40,Upgrade
8,P/FCF Ratio,4.62,5.39,-21.72,-,-,-,-,3.57,19.45,-,-3.02,-,-,-,-,5.62,4.84,4.02,-,-,4.12,Upgrade
9,P/OCF Ratio,4.27,4.27,-407.64,-,-,-,-,3.42,13.76,-,-2.09,-,-,-,-,4.93,4.13,3.36,-,-,12.34,Upgrade
10,EV/Sales Ratio,1.71,2.17,2.26,2.20,2.22,2.12,1.80,2.13,1.65,1.58,2.11,2.23,3.60,4.11,2.75,1.88,1.75,1.87,2.37,2.87,2.14,Upgrade
11,EV/EBITDA Ratio,11.14,15.03,16.82,17.86,20.40,22.03,19.27,18.43,14.90,13.96,15.94,22.83,30.53,33.23,18.24,10.99,10.13,11.50,15.39,16.93,-,Upgrade
12,EV/EBIT Ratio,11.78,15.96,17.95,19.29,22.27,24.33,21.45,20.23,16.47,15.42,17.27,25.43,32.63,34.73,21.41,12.79,13.13,17.13,20.05,22.05,-,Upgrade
13,EV/FCF Ratio,5.37,6.85,-27.28,-,-,-,-,3.90,21.95,-,-3.10,-,-,-,-,6.46,5.84,5.12,-,-,6.35,Upgrade
14,Debt / Equity Ratio,0.44,0.44,0.44,0.35,0.35,0.22,0.10,0.09,-,0.08,0.08,0.08,0.02,0.02,0.03,0.06,-,0.04,0.04,0.05,0.05,Upgrade
15,Debt / EBITDA Ratio,3.50,4.38,3.44,4.19,4.19,4.49,1.92,2.46,-,2.65,1.18,3.77,0.38,0.27,1.67,0.61,-,0.27,0.63,1.43,-,Upgrade
16,Debt / FCF Ratio,1.69,1.69,-6.42,-,-,-,-,0.43,-,-,-0.32,-,-,-,-,0.36,-,0.30,-,-,0.63,Upgrade
17,Asset Turnover,0.39,0.38,0.34,0.34,0.40,0.31,-,-,0.28,0.17,-,-,0.46,0.28,-,-,0.49,-,-,0.13,Upgrade,
18,Inventory Turnover,3.20,3.46,3.85,4.31,3.64,3.25,2.02,-,-,2.34,1.10,-,-,4.08,2.45,-,-,2.88,-,-,4.20,Upgrade
19,Quick Ratio,1.20,1.20,1.20,1.91,1.91,1.13,0.79,0.69,-,0.75,0.59,1.29,-,1.83,0.79,0.78,-,0.76,0.89,-,0.86,Upgrade
20,Current Ratio,1.54,1.54,1.54,3.08,3.08,2.07,1.70,1.70,-,1.58,1.18,2.30,-,3.09,1.54,1.89,-,1.70,2.56,-,1.82,Upgrade
21,Return on Equity (ROE),-9.39%,1.67%,8.99%,9.20%,3.22%,9.53%,-,-,5.02%,3.97%,15.92%,15.23%,25.59%,7.19%,-,-,14.59%,-,3.60%,4.90%,Upgrade,
22,Return on Assets (ROA),2.64%,3.37%,3.14%,3.16%,1.79%,1.83%,-,-,0.94%,2.27%,-,-,3.23%,0.61%,-,-,4.44%,-,-,-0.13%,Upgrade,
23,Return on Capital (ROIC),4.14%,4.46%,3.62%,3.89%,2.45%,2.66%,-,-,1.53%,3.78%,1.17%,3.05%,4.63%,0.83%,-,-,5.91%,-,0.69%,-0.16%,Upgrade,
24,Return on Capital Employed (ROCE),7.99%,7.53%,7.00%,4.51%,3.65%,3.09%,2.96%,3.12%,-,2.71%,3.60%,2.17%,-,4.24%,5.53%,7.98%,-,3.86%,3.09%,-,-,Upgrade
25,Earnings Yield,6.43%,3.63%,5.60%,9.43%,10.45%,11.53%,16.02%,9.93%,15.72%,16.39%,16.67%,15.23%,7.47%,5.62%,5.77%,7.95%,9.08%,10.49%,17.78%,19.73%,29.90%,Upgrade
26,FCF Yield,21.65%,18.56%,-4.60%,-35.94%,-35.27%,-34.49%,-32.77%,27.98%,5.14%,-29.56%,-33.08%,-79.73%,-34.15%,-17.56%,-10.06%,17.80%,20.64%,24.90%,-,-0.81%,24.29%,Upgrade
27,Payout Ratio,264.42%,-,1579.68%,-,-,-,-,-,-,-,-,-,-,12.44%,-,-,-,-,-,-,-,Upgrade
28,Buyback Yield / Dilution,-2.97%,9.72%,-5.51%,-2.44%,-2.46%,-19.72%,25.41%,2.33%,2.32%,-13.97%,-67.75%,-76.07%,-76.02%,-57.31%,-23.35%,-38.71%,9.08%,17.44%,-16.08%,34.44%,-,Upgrade
29,Total Shareholder Return,-2.97%,9.72%,-5.51%,-2.44%,-2.46%,-19.72%,25.41%,2.33%,2.32%,-13.97%,-67.75%,-76.07%,-76.02%,-57.31%,-23.35%,-38.71%,9.08%,17.44%,-16.08%,34.44%,-,Upgrade
