,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q2 2024,Q2 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+10 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Jun '23 Jun 30, 2023.1","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020",+10 Quarters
0,Revenue,9577156,9041566,11484517,11817840,8238641,11464364,11464364,11464364,10099150,8655561,6732633,6172795,3278026,3148329,2153190,3538322,2189061,2242086,2394252,2974198,Upgrade
1,Revenue Growth (YoY),16.25%,-21.13%,0.18%,3.08%,-18.42%,32.45%,70.28%,85.72%,208.09%,174.93%,212.68%,74.46%,49.75%,40.42%,-10.07%,18.97%,-35.23%,-27.49%,-12.06%,-6.25%,Upgrade
2,Cost of Revenue,9212219,8724568,11062252,11375622,7843578,10911979,10919201,10919201,9698580,8325670,6560572,5921833,3026031,2988266,2049306,3297441,2052883,2113635,2243487,2761500,Upgrade
3,Gross Profit,364937,316998,422266,442218,395064,552385,545163,545163,400570,329891,172061,250962,251995,160063,103884,240881,136177,128450,150765,212697,Upgrade
4,"Selling, General & Admin",302043,277237,311328,352742,253105,328749,328749,328749,271372,219659,149062,163370,202120,126829,96815,196038,111273,96868,128991,185815,Upgrade
5,Operating Expenses,302043,277237,311328,352742,253105,328749,328749,328749,271372,219659,149062,163370,202120,126829,96815,196038,111273,96868,128991,185815,Upgrade
6,Operating Income,62893,39761,110938,89476,141959,223635,216414,216414,129199,110232,22999,87592,49875,33233,7070,44844,24905,31582,21774,26882,Upgrade
7,Interest Expense,-43546,-46990,-37154,-40121,-,-45654,-45654,-45654,-35240,-26607,-17661,-6876,-3516,-2250,-2623,-9251,-15931,-27443,-23499,-6271,Upgrade
8,Interest & Investment Income,7406,81.65,-,93.53,-,12176,12168,12168,-,92441,72.24,60.11,33.03,28.74,22.75,23.31,17.23,29.29,6984,3267,Upgrade
9,Currency Exchange Gain (Loss),-,22900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),14065,29683,-2914,5823,42620,-1977,17759,17759,14953,-50058,-4284,-30874,129.11,-5033,-2302,165.58,1727,2899,-2762,-526.67,Upgrade
11,Pretax Income,40818,45435,70870,55271,184579,188181,188519,188519,108911,126008,1127,49901,46521,25980,2168,35782,10718,7068,2497,23351,Upgrade
12,Income Tax Expense,13364,14546,16633,14289,39419,35839,35906,35906,21782,25288,225.45,9980,9304,7036,636.89,6329,3713,9657,1535,-66.99,Upgrade
13,Net Income,27453,30890,54237,40982,145159,152342,152613,152613,87129,100720,901.78,39921,37217,18944,1531,29452,7005,-2589,962.21,23418,Upgrade
14,Net Income to Common,27453,30890,54237,40982,145159,152342,152613,152613,87129,100720,901.78,39921,37217,18944,1531,29452,7005,-2589,962.21,23418,Upgrade
15,Net Income Growth,-81.09%,-79.72%,-64.46%,-73.15%,66.60%,51.25%,16823.44%,282.29%,134.11%,431.69%,-41.10%,35.54%,431.32%,-,59.11%,25.77%,-78.73%,-,-93.81%,1075.87%,Upgrade
16,Shares Outstanding (Basic),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,15,15,Upgrade
17,Shares Outstanding (Diluted),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,15,15,Upgrade
18,Shares Change (YoY),0.01%,-0.01%,-0.01%,0.00%,0.00%,0.01%,-0.20%,-0.01%,-0.00%,0.00%,0.14%,-0.01%,0.01%,22.06%,-0.17%,0.01%,-0.02%,-,0.19%,-,Upgrade
19,EPS (Basic),1830.00,2059.46,3616.00,2732.00,9677.00,10156.00,10174.00,10174.00,5808.50,6715.00,60.00,2661.00,2481.00,1263.00,102.00,1963.00,467.00,-210.72,64.00,1561.00,Upgrade
20,EPS (Diluted),1830.00,2059.46,3616.00,2732.00,9677.00,10156.00,10174.00,10174.00,5808.50,6715.00,60.00,2661.00,2481.00,1263.00,102.00,1963.00,467.00,-210.72,64.00,1561.00,Upgrade
21,EPS Growth,-81.09%,-79.72%,-64.46%,-73.15%,66.60%,51.24%,16856.67%,282.34%,134.12%,431.67%,-41.18%,35.56%,431.26%,-,59.38%,25.75%,-78.72%,-,-93.82%,-,Upgrade
22,Free Cash Flow,262038,262038,-185241,-185241,-264267,-,-252347,-252347,-252347,-96447,-21881,523186,-28315,-,386924,593282,270752,773518,-1337156,-710381,Upgrade
23,Free Cash Flow Per Share,17467.01,17470.54,-12350.15,-12348.78,-17617.27,-,-16822.80,-16822.80,-16822.87,-6430.07,-1455.86,34873.71,-1887.59,-,25778.89,39542.16,18051.26,62947.96,-88939.23,-47352.02,Upgrade
24,Dividend Per Share,-,-,-,-,-,-,-,-,-,2000.000,-,-,-,-,-,-,-,1000.000,-,-,Upgrade
25,Gross Margin,3.81%,3.51%,3.68%,3.74%,4.80%,4.82%,4.76%,4.76%,3.97%,3.81%,2.56%,4.07%,7.69%,5.08%,4.82%,6.81%,6.22%,5.73%,6.30%,7.15%,Upgrade
26,Operating Margin,0.66%,0.44%,0.97%,0.76%,1.72%,1.95%,1.89%,1.89%,1.28%,1.27%,0.34%,1.42%,1.52%,1.06%,0.33%,1.27%,1.14%,1.41%,0.91%,0.90%,Upgrade
27,Profit Margin,0.29%,0.34%,0.47%,0.35%,1.76%,1.33%,1.33%,1.33%,0.86%,1.16%,0.01%,0.65%,1.14%,0.60%,0.07%,0.83%,0.32%,-0.12%,0.04%,0.79%,Upgrade
28,Free Cash Flow Margin,2.74%,2.90%,-1.61%,-1.57%,-3.21%,-,-2.20%,-2.20%,-2.50%,-1.11%,-0.33%,8.48%,-0.86%,-,17.97%,16.77%,12.37%,34.50%,-55.85%,-23.88%,Upgrade
29,EBITDA,64320,41188,112225,90764,143574,-,218135,218135,130920,111946,24896,89668,51910,35232,9069,46800,26881,33920,24303,29463,Upgrade
30,EBITDA Margin,0.67%,0.46%,0.98%,0.77%,1.74%,-,1.90%,1.90%,1.30%,1.29%,0.37%,1.45%,1.58%,1.12%,0.42%,1.32%,1.23%,1.51%,1.01%,0.99%,Upgrade
31,D&A For EBITDA,1427,1427,1287,1287,1615,-,1722,1722,1722,1713,1897,2077,2035,1999,1999,1956,1976,2338,2529,2581,Upgrade
32,EBIT,62893,39761,110938,89476,141959,223635,216414,216414,129199,110232,22999,87592,49875,33233,7070,44844,24905,31582,21774,26882,Upgrade
33,EBIT Margin,0.66%,0.44%,0.97%,0.76%,1.72%,1.95%,1.89%,1.89%,1.28%,1.27%,0.34%,1.42%,1.52%,1.06%,0.33%,1.27%,1.14%,1.41%,0.91%,0.90%,Upgrade
34,Effective Tax Rate,32.74%,32.01%,23.47%,25.85%,21.36%,19.04%,19.05%,19.05%,20.00%,20.07%,20.00%,20.00%,20.00%,27.08%,29.38%,17.69%,34.65%,136.64%,61.47%,-,Upgrade
35,Revenue as Reported,9577156,9041566,11484517,11817840,8238641,11464364,11464364,11464364,10099150,8655561,6732633,6172795,3278026,3148329,2153190,3538322,2189061,-,2394252,2974198,Upgrade
