,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,47476,47476,38776,12137,34245,61372,35528,44495,52304,105875,19213,26159,18529,-,7324,-,12470,24746,9280,12651,Upgrade
1,Short-Term Investments,-,-,776.39,745.38,745.38,762.69,762.69,788.63,788.63,815.28,1002,1144,1199,-,1866,-,2135,1984,2186,2791,Upgrade
2,Trading Asset Securities,745.36,745.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,48221,48221,39553,12883,34991,62134,36291,45283,53092,106690,20215,27303,19728,-,9190,-,14605,26730,11466,15443,Upgrade
4,Cash Growth,37.81%,-22.39%,8.99%,-71.55%,-34.09%,-41.76%,79.53%,65.85%,169.12%,-,119.97%,-,35.07%,-,-19.85%,-,-41.85%,23.48%,-70.09%,-45.63%,Upgrade
5,Accounts Receivable,47485,47485,57240,61753,44510,52718,43927,41871,54094,42250,59053,53946,36269,-,37621,-,20168,25960,26931,28979,Upgrade
6,Other Receivables,27295,27295,33773,28659,21360,25001,17103,15334,19578,18566,14465,11374,6818,-,6211,-,4089,4604,4072,2934,Upgrade
7,Receivables,74780,74780,91013,90412,65870,77719,61030,57206,73673,60816,73519,65320,43088,-,43832,-,24256,30564,31003,31913,Upgrade
8,Inventory,46477,46477,59497,102450,65799,103306,40636,56572,81950,41528,134779,57562,80739,-,104995,-,89108,55761,57865,28193,Upgrade
9,Prepaid Expenses,519.08,519.08,935.73,795.98,927.8,1144,1196,1136,1483,134.56,143.02,152.81,322.7,-,100.18,-,250.45,94.18,235.45,119.58,Upgrade
10,Other Current Assets,3007,3007,4082,5532,3415,6261,3246,1735,5054,1897,7158,3598,4548,-,4997,-,5317,2379,4740,2596,Upgrade
11,Total Current Assets,173004,173004,195080,212073,171003,250564,142400,161933,215252,211066,235814,153937,148425,-,163115,-,133537,115528,105309,78264,Upgrade
12,"Property, Plant & Equipment",39991,39991,40694,40559,42113,43667,45223,46801,48428,50514,62535,62733,63415,-,62358,-,64004,65481,66405,67864,Upgrade
13,Long-Term Investments,4780,4780,4987,6273,6273,6255,6255,6262,6262,6259,6259,6243,6243,-,6235,-,6297,6330,4898,4982,Upgrade
14,Other Intangible Assets,76165,76165,77101,77569,78037,78505,78973,79441,79909,80406,105577,106014,106451,-,107325,-,108199,108636,109073,109510,Upgrade
15,Other Long-Term Assets,43255,43255,45709,46943,45644,42841,43017,41109,40837,40442,6773,6950,7128,-,7483,-,7837,8015,8199,8514,Upgrade
16,Total Assets,337194,337194,363572,383416,343071,421832,315868,335545,390687,388687,416958,335877,331662,-,346516,-,319875,303989,293884,269134,Upgrade
17,Accounts Payable,84263,84263,112112,124242,86684,157695,72142,82183,133485,125589,127407,67292,65122,-,76380,-,59331,62235,54119,10823,Upgrade
18,Accrued Expenses,18118,18118,21939,24254,18092,29082,17322,19282,22311,27505,31170,22879,23669,-,28200,-,13053,24477,20003,16921,Upgrade
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,20000,-,-,-,22302,-,21000,8184,17000,20000,Upgrade
20,Current Income Taxes Payable,863.64,863.64,960.53,727.77,2437,1413,1782,1526,188.74,77.53,1644,2975,2078,-,859.59,-,2100,178.46,32.36,7576,Upgrade
21,Other Current Liabilities,26025,26025,24714,24482,24513,24986,21457,26167,22845,23007,19047,14663,15712,-,12644,-,10615,8326,7339,13866,Upgrade
22,Total Current Liabilities,129270,129270,159724,173706,131726,213176,112704,129159,178831,176179,199268,107809,106581,-,140386,-,106099,103400,98493,69186,Upgrade
23,Long-Term Unearned Revenue,14015,14015,15516,16267,17018,17769,18520,19270,20021,20772,21523,22274,23024,-,10975,-,12477,4385,5136,5886,Upgrade
24,Other Long-Term Liabilities,-,-,71.35,71.35,71.35,71.35,71.35,71.35,4828,4828,4828,4828,4828,-,4828,-,4828,4828,4828,4828,Upgrade
