,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Revenue,64551,68652
1,Cost of Revenue,55819,55958
2,Gross Profit,8732,12694
3,"Selling, General & Admin",7578,6915
4,Operating Expenses,7578,6915
5,Operating Income,1154,5779
6,Interest Expense,-712.18,-241.16
7,Interest & Investment Income,13.3,4.25
8,Other Non Operating Income (Expenses),5294,-8.82
9,Pretax Income,5749,5533
10,Income Tax Expense,1182,1140
11,Net Income,4568,4394
12,Net Income to Common,4568,4394
13,Gross Margin,13.53%,18.49%
14,Operating Margin,1.79%,8.42%
15,Profit Margin,7.08%,6.40%
16,EBITDA,6440,-
17,EBITDA Margin,9.98%,-
18,D&A For EBITDA,5286,-
19,EBIT,1154,5779
20,EBIT Margin,1.79%,8.42%
21,Effective Tax Rate,20.55%,20.60%
22,Revenue as Reported,64551,68652
