,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+13 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+13 Quarters
0,Cash & Equivalents,14663,8131,8495,6781,15306,23564,3849,32076,30892,50234,3575,5670,1419,25002,8919,15500,5075,50028,6172,49447,Upgrade
1,Cash & Short-Term Investments,14663,8131,8495,6781,15306,23564,3849,32076,30892,50234,3575,5670,1419,25002,8919,15500,5075,50028,6172,49447,Upgrade
2,Cash Growth,-4.20%,-65.49%,120.74%,-78.86%,-50.45%,-53.09%,7.65%,465.74%,2076.31%,100.92%,-59.92%,-63.42%,-72.03%,-50.03%,44.51%,-68.65%,-34.04%,31.13%,-23.04%,54.80%,Upgrade
3,Accounts Receivable,587061,447321,409288,371606,255218,173307,165195,245899,59161,138235,100001,104202,101302,98646,96588,107867,159247,164461,82852,67132,Upgrade
4,Other Receivables,-2.04,30527,41281,97474,105040,67067,145561,45697,153449,70879,101069,80661,21383,3152,1.41,1.4,1.4,25875,1.4,-,Upgrade
5,Receivables,587059,477848,450569,469080,360258,240374,310756,291596,212609,209114,201070,184863,122685,101798,96589,107868,159248,190336,82853,67132,Upgrade
6,Inventory,8782,121484,368095,344060,351023,379503,311247,290177,278847,89635,108472,110282,175490,145343,116425,116032,116049,112683,118704,97079,Upgrade
7,Prepaid Expenses,-,-,-,272.3,92.43,161.52,331.62,403.46,272.87,273.12,91.7,137.84,57.67,97.09,8.55,22.52,22.09,30.7,-,-,Upgrade
8,Other Current Assets,1180,39102,2862,25308,35789,5262,53499,37689,61808,50751,36725,36107,55960,57329,91043,77549,73375,25057,134185,56148,Upgrade
9,Total Current Assets,611684,646565,830022,845502,762468,648865,679682,651941,584429,400008,349935,337059,355612,329568,312986,316972,353769,378135,341915,269806,Upgrade
10,"Property, Plant & Equipment",23900,-,-,-,22.9,106.37,200.22,337.04,2147,165156,94453,93706,28757,29409,30061,30712,31364,32016,32668,33320,Upgrade
11,Long-Term Investments,10450,10450,1050,1050,72184,72184,72252,81465,82220,82220,85200,89017,89017,89017,89017,89017,89017,89017,89017,89017,Upgrade
12,Other Intangible Assets,-,-,-,-,-,-,-,-,29668,33127,33127,33127,33127,33127,33127,33127,33127,33127,33127,33127,Upgrade
13,Other Long-Term Assets,30.99,46.47,58.82,131.7,148.18,65379,123.38,135.52,147.73,3975,35.13,36.12,34263,34221,34261,34219,34239,34245,34236,34247,Upgrade
14,Total Assets,646065,657061,831131,846684,834823,786534,752257,733879,698610,684485,562750,552944,540776,515343,499452,504047,541516,566540,530962,459516,Upgrade
15,Accounts Payable,209915,61660,55182,100504,101360,64462,34563,48597,34922,45382,5869,298.52,2953,3567,7746,11308,44751,60443,33437,6336,Upgrade
16,Accrued Expenses,2202,2281,2281,2460,2281,2281,2532,2672,2656,2522,2394,2468,2394,31943,5580,5556,5495,5936,5628,3042,Upgrade
17,Short-Term Debt,-,-,-,-,-,-,-,2134,11542,55452,43098,50887,50027,50990,49842,53513,50576,58835,47916,29953,Upgrade
18,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3140,Upgrade
19,Current Income Taxes Payable,622.28,6627,4775,2747,3506,377.87,4716,5351,228.91,1963,189.92,127.75,-197.5,-,-,0.55,72.38,-,5.24,-,Upgrade
20,Other Current Liabilities,21782,161417,358010,334443,319980,312524,304118,270451,230723,73813,85323,75391,66500,6740,-,-,-,2940,14343,5029,Upgrade
21,Total Current Liabilities,234521,231985,420248,440154,427127,379646,345929,329205,280072,179132,136874,129172,121677,93241,63168,70377,100894,128153,101328,47500,Upgrade
22,Long-Term Debt,-,-,-,-,-,-,-,-,10225,11010,15720,12580,14150,14150,18075,15720,19645,17290,21215,18860,Upgrade
23,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,84810,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3000,-,-,-,-,-,Upgrade
25,Total Liabilities,234521,231985,420248,440154,427127,379646,345929,329205,290297,274952,152594,141752,135827,107391,84243,86097,120539,145443,122543,66360,Upgrade
26,Common Stock,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,373748,299000,Upgrade
27,Retained Earnings,37796,51327,37134,32781,33948,33140,32579,30926,34565,35785,36407,36716,31200,34203,41460,44201,47229,47348,34670,94157,Upgrade
28,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,728,-,-,-,-,-,-,-,-,Upgrade
29,Total Common Equity,411544,425076,410882,406529,407696,406888,406327,404674,408313,409533,410155,411192,404949,407952,415208,417950,420978,421097,408419,393157,Upgrade
30,Shareholders' Equity,411544,425076,410882,406529,407696,406888,406327,404674,408313,409533,410155,411192,404949,407952,415208,417950,420978,421097,408419,393157,Upgrade
31,Total Liabilities & Equity,646065,657061,831131,846684,834823,786534,752257,733879,698610,684485,562750,552944,540776,515343,499452,504047,541516,566540,530962,459516,Upgrade
32,Total Debt,-,-,-,-,-,-,-,2134,21767,66462,58818,63467,64177,65140,67917,69233,70221,76125,69131,51953,Upgrade
33,Net Cash (Debt),14663,8131,8495,6781,15306,23564,3849,29942,9124,-16228,-55243,-57797,-62758,-40139,-58998,-53733,-65146,-26096,-62959,-2506,Upgrade
34,Net Cash Growth,-4.20%,-65.49%,120.74%,-77.35%,67.75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
35,Net Cash Per Share,-,217.55,227.30,181.44,407.96,630.47,102.97,801.13,252.36,-434.19,-1478.09,-1546.42,-1679.14,-1073.95,-1578.54,-1437.68,-1743.05,-698.23,-,-67.05,Upgrade
36,Filing Date Shares Outstanding,-,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,-,37.37,Upgrade
37,Total Common Shares Outstanding,-,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,37.37,-,37.37,Upgrade
38,Working Capital,377163,414579,409773,405348,335341,269219,333752,322736,304356,220876,213060,207886,233935,236328,249817,246595,252875,249982,240586,222306,Upgrade
39,Book Value Per Share,-,11373.31,10993.55,10877.08,10908.31,10886.68,10871.68,10827.44,10924.81,10957.46,10974.10,11001.84,10834.79,10915.14,11109.30,11182.65,11263.67,11266.85,-,10519.25,Upgrade
40,Tangible Book Value,411544,425076,410882,406529,407696,406888,406327,404674,378646,376406,377028,378065,371822,374825,382081,384823,387851,387970,375292,360030,Upgrade
41,Tangible Book Value Per Share,-,11373.31,10993.55,10877.08,10908.31,10886.68,10871.68,10827.44,10131.03,10071.11,10087.75,10115.50,9948.45,10028.79,10222.95,10296.30,10377.32,10380.50,-,9632.90,Upgrade
42,Buildings,-,-,-,-,-,-,-,-,-,-,-,-,-,30216,-,-,-,30216,-,30216,Upgrade
43,Machinery,-,-,-,-,-,-,-,-,-,-,-,-,-,9323,-,-,-,9323,-,9323,Upgrade
44,Construction In Progress,-,-,-,-,-,-,-,-,-,138350,66998,65600,-,-,-,-,-,-,-,-,Upgrade
