,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Cash & Equivalents,11225,5022
1,Short-Term Investments,6329,9999
2,Cash & Short-Term Investments,17554,15021
3,Accounts Receivable,142050,115316
4,Other Receivables,966.6,1407
5,Receivables,143017,116723
6,Inventory,-,506.73
7,Prepaid Expenses,12.23,-
8,Other Current Assets,5883,2678
9,Total Current Assets,166466,134928
10,"Property, Plant & Equipment",300.25,460.72
11,Total Assets,166766,135388
12,Accounts Payable,54668,15570
13,Accrued Expenses,1822,2250
14,Short-Term Debt,-,6169
15,Current Unearned Revenue,241.82,202.27
16,Other Current Liabilities,344.59,324.38
17,Total Current Liabilities,57077,24516
18,Total Liabilities,57077,24516
19,Common Stock,70000,70000
20,Additional Paid-In Capital,18200,18200
21,Retained Earnings,19039,20222
22,Comprehensive Income & Other,2451,2451
23,Shareholders' Equity,109689,110872
24,Total Liabilities & Equity,166766,135388
25,Total Debt,-,6169
26,Net Cash (Debt),17554,8851
27,Net Cash Per Share,2507.55,1264.08
28,Filing Date Shares Outstanding,7,7
29,Total Common Shares Outstanding,7,7
30,Working Capital,109389,110412
31,Book Value Per Share,15669.93,15834.25
32,Tangible Book Value,109689,110872
33,Tangible Book Value Per Share,15669.93,15834.25
34,Buildings,8195,14165
35,Machinery,4079,5048
