,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Market Capitalization,161249,149999,164999,146999,142499,157499,183749,157499,251249,277499,182249,167999,172499,168749,139499,157499,143999,119999,140249,142499,148499,Upgrade
1,Market Cap Growth,-11.11%,-4.76%,-10.20%,-6.67%,-43.28%,-43.24%,0.82%,-6.25%,45.65%,64.44%,30.65%,6.67%,19.79%,40.63%,-0.53%,10.53%,-3.03%,-13.51%,-7.88%,-1.55%,-26.39%,Upgrade
2,Enterprise Value,262597,254934,292055,314103,324695,372305,398555,319812,461970,490264,395014,343451,322166,352352,364244,409730,380025,366979,383917,369336,375336,Upgrade
3,Last Close Price,21500.00,20000.00,20307.69,18092.31,17538.46,17690.81,20639.28,17690.81,28221.06,29566.53,19418.02,17899.73,16875.44,16508.58,13647.09,15408.01,12874.06,10728.38,12538.80,12739.96,12471.75,Upgrade
4,PE Ratio,7.46,5.37,5.97,5.38,5.34,6.03,6.74,5.74,8.78,9.87,6.93,6.12,6.21,6.10,4.89,5.75,5.26,4.22,4.88,4.93,5.05,Upgrade
5,PS Ratio,0.20,0.16,0.19,0.16,0.16,0.17,0.18,0.16,0.24,0.28,0.19,0.17,0.19,0.18,0.15,0.17,0.15,0.12,0.14,0.15,0.15,Upgrade
6,PB Ratio,0.97,0.90,1.05,0.93,0.99,1.01,1.22,1.09,1.83,1.85,-,1.31,1.23,1.26,1.09,1.31,1.09,0.96,1.18,1.27,-,Upgrade
7,P/TBV Ratio,0.90,0.90,1.05,0.93,0.99,1.01,1.22,1.09,1.83,1.85,-,1.31,1.23,1.26,1.09,1.31,1.09,0.96,1.18,1.27,-,Upgrade
8,P/FCF Ratio,9.79,-,2.16,3.48,-,0.94,-,0.37,-,0.70,0.21,-,0.17,0.19,-0.32,-,-0.89,-,0.13,-,-,Upgrade
