,Fiscal Quarter,Q4 2024,Q4 2023,Q4 2014,Q4 2013
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013"
0,Revenue,243733,129043,146692,182277
1,Cost of Revenue,230881,120648,135398,164416
2,Gross Profit,12852,8395,11294,17861
3,"Selling, General & Admin",8901,279.95,9601,5395
4,Operating Expenses,8901,279.95,9601,5395
5,Operating Income,3951,8115,1693,12466
6,Interest Expense,-2505,-1784,-110.6,-1786
7,Interest & Investment Income,311.71,87.01,967.31,311.62
8,Other Non Operating Income (Expenses),-901.39,-1238,1037,-100.12
9,Pretax Income,856.26,5180,3587,10891
10,Income Tax Expense,686.18,2095,800,2723
11,Net Income,170.08,3085,2787,8169
12,Net Income to Common,170.08,3085,2787,8169
13,Shares Outstanding (Basic),12,12,12,12
14,Shares Outstanding (Diluted),12,12,12,12
15,EPS (Basic),14.00,257.00,238.65,699.30
16,EPS (Diluted),14.00,257.00,238.65,699.30
17,Gross Margin,5.27%,6.51%,7.70%,9.80%
18,Operating Margin,1.62%,6.29%,1.15%,6.84%
19,Profit Margin,0.07%,2.39%,1.90%,4.48%
20,EBITDA,4597,8788,4237,-
21,EBITDA Margin,1.89%,6.81%,2.89%,-
22,D&A For EBITDA,645.33,673,2544,-
23,EBIT,3951,8115,1693,12466
24,EBIT Margin,1.62%,6.29%,1.15%,6.84%
25,Effective Tax Rate,80.14%,40.44%,22.30%,25.00%
26,Revenue as Reported,243733,129043,146692,182277
