,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+16 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+16 Quarters
0,Market Capitalization,1008951,1172305,1441354,1081019,879229,326708,321903,456430,451626,1081019,1186718,497269,319501,384362,158549,107531,146426,139562,139562,173795,182595,Upgrade
1,Market Cap Growth,258.82%,258.82%,347.76%,136.84%,94.68%,-69.78%,-72.87%,-8.21%,41.35%,181.25%,648.48%,362.44%,118.20%,175.41%,13.60%,-38.13%,-19.81%,-33.22%,20.84%,29.51%,-1.78%,Upgrade
2,Enterprise Value,1134835,1238935,1556085,1183308,1007231,442738,454409,620687,517021,1146415,1252114,562664,360438,425299,179550,96403,162679,152022,140903,174427,86970,Upgrade
3,Last Close Price,10500.00,12200.00,15000.00,19285.65,15685.66,5828.55,5742.84,8142.83,8057.12,19285.65,21171.36,14029.05,9013.84,10843.71,4473.03,3033.66,4130.94,3937.30,3937.30,4588.71,4821.05,Upgrade
4,PE Ratio,112.90,-,32.17,30.31,57.02,21.91,22.06,39.14,28.04,97.61,142.33,58.99,46.05,49.92,12.23,8.71,12.02,11.52,12.22,15.21,14.85,Upgrade
5,PS Ratio,3.42,3.01,4.21,3.35,2.74,0.94,0.90,1.50,1.80,5.69,8.28,3.92,2.41,3.44,1.06,0.79,1.13,1.09,1.44,1.73,1.73,Upgrade
6,PB Ratio,0.97,1.12,1.38,1.98,1.70,0.63,0.62,0.88,0.88,-,2.31,-,1.21,1.47,0.61,0.44,0.58,0.55,0.57,0.74,0.72,Upgrade
7,P/TBV Ratio,1.13,1.13,1.39,2.00,1.70,0.63,0.62,0.89,0.88,-,2.33,-,1.23,1.48,0.61,0.44,0.58,0.55,0.57,0.74,0.72,Upgrade
8,P/FCF Ratio,-,-,-,-,15.23,-19.06,-3.50,-1.88,-,-,-,-,-,-,-,-,0.59,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,12.55,-44.62,-3.80,-1.95,-,-,-,-,-18.41,1.64,-,-,0.59,-,-,-,-,Upgrade
10,EV/Sales Ratio,3.86,3.18,4.55,3.67,3.14,1.28,1.27,2.04,2.07,6.03,8.73,4.44,2.72,3.81,1.20,0.70,1.25,1.19,1.45,1.74,0.82,Upgrade
11,EV/EBITDA Ratio,34.66,29.12,37.18,30.46,29.54,13.47,14.35,38.89,46.49,284.87,-,-150.47,-36.73,-,-,-,-,-,7.63,10.43,4.79,Upgrade
12,EV/EBIT Ratio,54.07,39.96,49.57,39.17,37.97,17.47,18.80,71.29,125.80,-417.75,-,-,-23.86,-,-,-,-,-,15.92,24.82,10.06,Upgrade
13,EV/FCF Ratio,-19.58,-,-,-,17.45,-25.83,-4.94,-2.55,-,-,-,-,-,-,-,-,0.66,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.12,0.12,0.12,0.21,0.22,0.27,0.27,0.28,0.40,-,0.23,-,0.31,0.25,0.25,0.19,0.16,0.11,0.11,0.10,0.07,Upgrade
15,Debt / EBITDA Ratio,3.90,3.83,2.21,2.71,2.79,4.76,3.33,6.37,5.71,-,-,-,11.10,-,-,-,-,-,1.32,1.35,1.92,Upgrade
16,Debt / FCF Ratio,-,-,-,-,1.97,-8.31,-1.55,-0.60,-,-,-,-,-,-,-,-,0.16,-,-,-,-,Upgrade
17,Asset Turnover,-,0.40,0.38,-,-,0.46,0.37,-,-,-,-,-,-,-,0.26,0.22,0.59,0.14,0.22,0.20,Upgrade,
18,Inventory Turnover,6.34,-,8.38,6.13,-,-,9.22,7.31,-,-,-,-,-,-,-,3.94,3.19,12.43,1.09,1.92,2.48,Upgrade
19,Quick Ratio,1.01,1.01,0.97,0.69,0.67,-,0.82,0.75,0.67,-,0.99,-,0.94,-,0.82,0.58,0.70,1.78,1.83,1.67,1.62,Upgrade
20,Current Ratio,1.11,1.11,1.11,0.95,0.89,-,1.04,1.04,0.86,-,1.27,-,1.20,-,1.05,0.75,0.85,1.95,1.98,1.82,1.86,Upgrade
21,Return on Equity (ROE),-,7.48%,16.65%,4.87%,-,4.11%,0.79%,-,-,-,-,0.68%,0.55%,-,6.67%,1.99%,9.00%,2.21%,6.53%,1.87%,Upgrade,
22,Return on Assets (ROA),-,2.10%,2.18%,-,-,2.60%,1.09%,-,-,-,-,-,-,-,-3.22%,-2.48%,-14.62%,2.41%,1.71%,0.54%,Upgrade,
