,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 3, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Last Close Price,7700.00,8200.00,8400.00,7900.00,6400.00,7850.00,7800.00,11900.00,11000.00
1,Debt / Equity Ratio,0.02,0.02,0.02,0.08,0.08,0.02,0.02,-,-
2,Debt / EBITDA Ratio,0.29,-,0.51,0.74,0.74,0.57,0.97,-,-
3,Asset Turnover,0.22,0.64,0.61,-,0.54,-,-,-,
4,Inventory Turnover,8.00,1.41,7.33,12.50,-,26.88,-,-,-
5,Quick Ratio,0.84,0.84,0.84,2.41,2.41,2.84,2.84,-,-
6,Current Ratio,2.96,2.96,2.96,2.83,2.83,3.26,3.26,-,-
7,Return on Equity (ROE),0.29%,3.23%,6.86%,-,2.78%,-,-,-,
8,Return on Assets (ROA),-1.18%,0.77%,3.66%,-,0.39%,-,-,-,
9,Return on Capital (ROIC),-1.52%,0.97%,4.50%,-,0.48%,-,-,-,
10,Return on Capital Employed (ROCE),4.57%,-,4.36%,3.77%,1.29%,-1.23%,-,-,-
11,Buyback Yield / Dilution,9.92%,-91.56%,7.89%,11.87%,11.87%,-,-,-,-
12,Total Shareholder Return,9.92%,-91.56%,7.89%,11.87%,11.87%,-,-,-,-
