,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Market Capitalization,245734,250430,241038,262168,233212,215213,215213,215213,195648,219126,225387,211300,377992,211300,179996,157301,82955,113476,165910,198778,160431,Upgrade
1,Market Cap Growth,16.36%,16.36%,12.00%,21.82%,19.20%,-1.79%,-4.51%,1.85%,-48.24%,3.70%,25.22%,34.33%,355.66%,86.21%,8.49%,-20.87%,-48.29%,-24.87%,-17.83%,14.41%,-24.07%,Upgrade
2,Enterprise Value,1728547,1539016,1687722,2453164,2411474,2001135,2001135,1815735,1962766,1988288,1538044,1523957,2066072,1350976,1319672,1869427,1788406,1829361,1866025,2032312,1577853,Upgrade
3,Last Close Price,31400.00,32000.00,30147.00,32114.67,28567.68,25691.74,25691.74,25691.74,23356.12,26158.86,26906.25,25224.61,45124.03,25224.61,21487.63,18778.32,9247.17,12649.43,18494.34,22158.31,17883.68,Upgrade
4,PE Ratio,14.37,7.36,9.51,10.07,11.39,10.44,10.46,14.41,13.34,12.84,13.29,8.46,15.05,13.70,11.66,116.63,69.18,97.21,150.48,340.62,310.55,Upgrade
5,PS Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,Upgrade
6,PB Ratio,1.05,1.07,1.07,1.17,1.07,1.02,1.02,1.06,0.96,1.12,1.15,-,2.00,1.18,1.01,0.96,0.51,0.66,0.98,1.17,0.95,Upgrade
7,P/TBV Ratio,1.07,1.07,1.07,1.17,1.07,1.02,1.02,1.06,0.96,1.12,1.15,-,2.00,1.18,1.01,0.96,0.51,0.66,0.98,1.17,0.95,Upgrade
8,P/FCF Ratio,-,-,0.42,5.12,-,-,-,-,-0.65,-2.40,-,-,0.94,-,-,0.28,-,0.53,-,1.27,-,Upgrade
