,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020,Q4 2019,Q3 2019,Q1 2019,Q3 2018,+6 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019","Sep '18 Sep 30, 2018",+6 Quarters
0,Market Capitalization,6300000,6090000,5810000,6055000,6615000,6125000,4340000,4550000,5670000,6090000,7245000,7105000,5775000,5600000,5950000,5880000,5810000,-,-,-,-,Upgrade
1,Market Cap Growth,-0.57%,-0.57%,33.87%,33.08%,16.67%,0.57%,-40.10%,-35.96%,-1.82%,8.75%,21.76%,20.83%,-0.60%,-,-,-,-,-,-,-,-,Upgrade
2,Enterprise Value,4206869,3936658,3664247,3878030,4368510,4176546,2401209,2667843,3540862,3893596,5048596,4908596,3578596,3403596,3753596,3327645,3475434,-,-,-,-,Upgrade
3,Last Close Price,18000.00,17400.00,15815.97,16482.91,18007.34,16673.46,11159.40,11699.37,14579.21,15071.71,17930.14,17583.66,14292.14,13859.04,13941.36,13777.34,12171.91,-,-,-,-,Upgrade
4,PE Ratio,17.52,18.06,18.76,20.63,20.36,16.09,9.50,9.47,12.79,19.36,25.87,28.29,20.33,13.88,12.04,11.90,10.26,-,-,-,-,Upgrade
5,PS Ratio,3.81,3.70,3.82,3.81,3.78,3.57,2.31,2.34,3.07,3.34,3.80,3.58,2.84,2.68,2.97,3.28,3.27,-,-,-,-,Upgrade
6,PB Ratio,1.22,1.22,1.14,1.21,1.33,1.26,0.84,0.90,1.14,1.26,1.50,1.47,-,-,1.21,1.20,1.08,-,-,-,-,Upgrade
7,P/TBV Ratio,1.24,1.24,1.17,1.24,1.35,1.29,0.87,0.92,1.17,1.29,1.54,1.51,-,-,1.24,1.22,1.10,-,-,-,-,Upgrade
8,P/FCF Ratio,-,-,-,70.75,46.53,64.10,52.56,54.50,-,-,-40.09,-,-,-,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,58.05,52.28,37.35,44.23,35.90,38.93,-,-,-51.40,-,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,2.63,2.39,2.41,2.44,2.50,2.44,1.28,1.37,1.91,2.13,2.65,2.47,1.76,1.63,1.87,1.86,1.96,-,-,-,-,Upgrade
11,EV/EBITDA Ratio,15.71,-,-427.33,-,-300.94,-,321.60,-,73.77,93.12,103.66,-,190.63,110.21,171.90,-,71.13,-,-,-,-,Upgrade
12,EV/EBIT Ratio,19.15,-,-70.27,-,-75.83,-,-56.76,-,-470.02,-,-891.39,-,-,-,-110.74,-,-284.60,-,-,-,-,Upgrade
13,EV/FCF Ratio,-71.01,-,-,45.32,30.73,43.71,29.08,31.95,-,-,-27.94,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,-,-,0.04,0.04,0.03,0.04,0.03,-,0.02,Upgrade
15,Debt / EBITDA Ratio,-,-,1.28,-,1.47,-,2.37,-,3.06,16.10,1.34,-,-,-,2.23,-,1.99,59.51,1.70,-,-,Upgrade
16,Debt / FCF Ratio,-,-,-,1.44,0.87,1.39,1.66,1.97,-,-,-1.07,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Turnover,-,0.26,0.27,0.34,0.23,0.30,0.38,0.31,-,-,-,-,-,-,-,-,0.34,-,-,-,Upgrade,
18,Inventory Turnover,1.35,-,1.13,1.26,1.40,0.94,1.25,1.56,1.27,-,-,-,-,-,-,-,-,1.71,-,-,-,Upgrade
19,Quick Ratio,6.39,6.39,7.08,6.20,6.20,3.64,6.17,4.81,4.59,3.49,-,4.42,-,-,-,5.21,6.64,5.50,6.36,-,-,Upgrade
20,Current Ratio,9.03,9.03,9.90,8.69,8.69,5.16,9.03,7.26,6.95,5.13,-,6.66,-,-,-,7.23,8.74,7.33,8.52,-,-,Upgrade
21,Return on Equity (ROE),-,9.42%,4.82%,5.87%,2.65%,8.03%,8.81%,11.19%,-,10.54%,-,-,-,7.99%,-,-,12.97%,-,-,14.55%,Upgrade,
22,Return on Assets (ROA),-,0.36%,-1.64%,0.50%,-1.56%,0.05%,-1.55%,0.11%,-,-,-,-,-,-,-,-,-0.60%,-,-,-,Upgrade,
23,Return on Capital (ROIC),-,0.38%,-1.76%,0.55%,-1.71%,0.06%,-1.67%,0.12%,-,1.05%,-,-,-,0.48%,-,-,-0.64%,-,-,-1.56%,Upgrade,
24,Return on Capital Employed (ROCE),-,-,-1.01%,-,-1.14%,-,-0.81%,-,-0.15%,-,-,-,-,-,-,-,-0.23%,-,-1.07%,-,-,Upgrade
25,Earnings Yield,5.71%,5.54%,5.33%,4.85%,4.91%,6.22%,10.53%,10.56%,7.82%,5.17%,3.87%,3.53%,4.92%,7.21%,8.30%,8.40%,9.74%,-,-,-,-,Upgrade
26,FCF Yield,-0.94%,-,1.30%,1.41%,2.15%,1.56%,1.90%,1.83%,-1.09%,-,-2.49%,-3.14%,-2.89%,-1.58%,-1.95%,-,-0.49%,-,-,-,-,Upgrade
27,Dividend Yield,5.17%,-,-,-,-,-,-,7.06%,-,-,-,-,-,-,-,6.45%,-,-,-,-,-,Upgrade
28,Payout Ratio,90.04%,-,-,184.72%,179.06%,7.13%,-,-,167.11%,-,-,-,25.48%,208.33%,164.26%,-,0.24%,-,-,0.12%,188.67%,Upgrade
29,Buyback Yield / Dilution,-,-,-,-,-,-,7.09%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
30,Total Shareholder Return,5.17%,-,-,-,-,-,-,14.15%,-,-,-,-,-,-,-,6.45%,-,-,-,-,-,Upgrade
