,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 30, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Revenue,233041,198351,191884,180616,163013,174322,157281,165743,128302,166093,134825,158225,131573,164307,148857,146716,119048,152893,148366,138595,Upgrade
1,Revenue Growth (YoY),42.96%,13.78%,22.00%,8.97%,27.05%,4.95%,16.66%,4.75%,-2.49%,1.09%,-9.43%,7.84%,10.52%,7.47%,0.33%,5.86%,-3.24%,8.46%,-0.23%,-2.01%,Upgrade
2,Cost of Revenue,189503,163461,150425,145829,130903,139734,129968,132909,97740,132341,115034,121711,105384,127691,126356,110318,94180,125721,116856,110523,Upgrade
3,Gross Profit,43537,34890,41459,34787,32111,34588,27313,32835,30562,33752,19790,36514,26188,36616,22501,36397,24868,27171,31510,28072,Upgrade
4,"Selling, General & Admin",34327,24688,30958,23701,20520,23396,15804,21517,18342,25018,11038,23572,15286,22193,12470,22955,15857,17221,19176,17505,Upgrade
5,Operating Expenses,34327,24688,30958,23701,20520,23396,15804,21517,18342,25018,11038,23572,15286,22193,12470,22955,15857,17221,19176,17505,Upgrade
6,Operating Income,9210,10202,10501,11086,11591,11192,11510,11317,12220,8733,8753,12942,10903,14422,10031,13442,9011,9950,12334,10567,Upgrade
7,Interest Expense,-44.98,-28.46,-22.03,-,-,-221.67,-194.09,-234.06,-208.21,-232.7,-252.92,-258.92,-265.08,-276.19,-350.14,-379.49,-416.83,-443.16,-491.91,-525.28,Upgrade
8,Interest & Investment Income,1404,781.38,950.32,645.03,486.81,1334,617.48,388.94,250.51,334.29,101.66,202.4,108.67,150.29,155.72,223.44,274.72,-,2590,348.56,Upgrade
