,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Revenue,484693,404475,336695,266511,183051,198670,233162,306744,1329109,1915900,1085263,1090967,803748,873150,705627,597250,292722,365787,442391,356521,Upgrade
1,Revenue Growth (YoY),164.79%,103.59%,44.40%,-13.12%,-86.23%,-89.63%,-78.52%,-71.88%,65.36%,119.42%,53.80%,82.66%,174.58%,138.70%,59.50%,67.52%,-33.46%,-18.88%,9.87%,-26.41%,Upgrade
2,Cost of Revenue,436168,368514,309943,251205,172237,189550,216379,279486,1281548,1826121,1048070,1048931,777602,855857,693177,586586,284339,353616,426987,344309,Upgrade
3,Gross Profit,48524,35961,26752,15305,10814,9121,16784,27258,47561,89779,37193,42036,26146,17293,12450,10664,8383,12171,15405,12212,Upgrade
4,"Selling, General & Admin",18839,17511,14390,9809,9456,9661,11127,16278,15642,36020,12797,16963,9677,12254,8879,6061,6849,8201,10246,8619,Upgrade
5,Operating Expenses,18839,17511,14390,9809,9456,9661,11127,16278,15642,36020,12797,16963,9677,12254,8879,6061,6849,8201,10246,8619,Upgrade
6,Operating Income,29685,18450,12362,5496,1358,-540.73,5657,10980,31919,53758,24396,25073,16470,5040,3571,4604,1534,3969,5158,3593,Upgrade
7,Interest Expense,-273.07,-425.15,-318.42,-190.09,-55.87,-161.16,-231.74,-,-2563,-1227,-1239,-803,-1086,-1100,-947.1,-1241,-1163,-1251,-1661,-1228,Upgrade
8,Interest & Investment Income,6226,5032,4454,6495,3239,8616,6979,13141,11880,15162,10976,8228,4828,6125,4975,8852,3085,2966,4104,2923,Upgrade
9,Earnings From Equity Investments,-8248,-7590,-7652,-5495,-6050,-7974,-8234,-8202,-7939,-2116,-9160,-9185,-14687,-19581,1383,566.38,1289,627.43,-19.49,878.22,Upgrade
10,Other Non Operating Income (Expenses),-4242,-171.61,-1375,-1354,-29.26,-5115,-3975,-6223,-3319,-6846,-1450,-1946,-1493,-427.66,-11.24,-626.48,-1538,-210,-619.21,226.29,Upgrade
11,EBT Excluding Unusual Items,23148,15295,7471,4951,-1539,-5175,195.25,9696,29979,58731,23524,21366,4032,-9945,8970,12154,3207,6102,6962,6392,Upgrade
12,Pretax Income,23148,15295,7471,4951,-1539,-5175,195.25,9696,29979,58731,23524,21366,4032,-9945,8970,12154,3207,6102,6962,6392,Upgrade
