,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Market Capitalization,475738,551856,266413,298129,301301,279417,294814,427464,488154,844374,551482,490040,324180,145755,291511,259679,262192,217795,226172,174236,163347,Upgrade
1,Market Cap Growth,97.50%,97.50%,-9.63%,-30.26%,-38.28%,-66.91%,-46.54%,-12.77%,50.58%,479.31%,89.18%,88.71%,23.64%,-33.08%,28.89%,49.04%,60.51%,36.36%,-26.63%,-32.03%,-43.86%,Upgrade
2,Enterprise Value,146150,356682,94149,110669,111619,18646,-13937,103427,187437,786207,248283,149452,-16407,102514,248270,216438,235641,182375,197500,118793,107904,Upgrade
3,Last Close Price,15000.00,17400.00,7893.10,8832.76,8320.05,7707.00,8144.89,11823.23,13501.84,22716.43,14836.67,13183.64,8721.49,11763.87,13875.25,12154.13,12271.75,10193.79,10585.86,8155.03,7268.72,Upgrade
4,PE Ratio,6.35,15.77,23.82,-125.63,-42.69,-,-,-,6.20,9.83,8.28,32.03,49.54,-,-,11.01,11.99,12.75,9.78,6.90,5.82,Upgrade
5,PS Ratio,0.27,0.37,0.22,0.30,0.34,0.30,0.14,0.11,0.11,0.16,0.11,0.13,0.09,0.05,0.12,0.13,0.15,0.15,0.14,0.10,0.10,Upgrade
6,PB Ratio,0.77,0.89,0.46,0.52,0.51,0.46,0.49,0.71,0.78,1.34,0.93,0.89,-,0.41,0.82,0.71,0.72,0.61,0.64,0.52,-,Upgrade
7,P/TBV Ratio,0.90,0.90,0.47,0.53,0.52,0.47,0.50,0.73,0.81,1.39,0.96,0.91,-,0.42,0.84,0.73,0.73,0.62,0.65,0.53,-,Upgrade
8,P/FCF Ratio,2.93,-,-25.09,-25.50,-,-,1.01,8.11,10.63,-3.75,-,-,-,0.45,15.87,12.65,41.98,-,-5.26,-,-,Upgrade
9,P/OCF Ratio,3.38,-,-29.70,-36.95,-,-,1.00,7.62,10.31,-3.78,-,-,-,0.45,15.84,12.62,41.72,-,-5.26,-,-,Upgrade
10,EV/Sales Ratio,0.08,0.24,0.08,0.11,0.13,0.02,-,0.03,0.04,0.15,0.05,0.04,-,0.03,0.10,0.11,0.14,0.13,0.12,0.07,0.07,Upgrade
11,EV/EBITDA Ratio,1.56,5.31,2.43,5.62,8.62,1.02,-,1.00,1.54,5.79,2.06,2.08,-,3.34,15.72,14.90,14.55,11.94,9.32,5.61,5.53,Upgrade
12,EV/EBIT Ratio,1.58,5.40,2.50,5.93,9.32,1.07,-,1.01,1.55,5.82,2.07,2.11,-,3.45,16.83,15.82,15.44,12.79,9.82,5.92,5.86,Upgrade
13,EV/FCF Ratio,0.90,-,-8.87,-9.47,-,-,-,1.96,4.08,-3.50,-,-,-,0.32,13.52,10.54,37.73,-,-4.59,-,-,Upgrade
14,Debt / Equity Ratio,0.08,0.08,0.06,0.06,0.03,0.01,0.01,0.01,0.11,0.21,0.39,0.21,-,0.34,0.35,0.28,0.28,0.23,0.31,0.33,-,Upgrade
15,Debt / EBITDA Ratio,0.40,0.40,0.48,0.71,0.70,0.72,-,0.20,1.49,1.05,1.08,1.20,-,1.79,5.61,6.77,5.31,11.71,6.43,5.09,-,Upgrade
16,Debt / FCF Ratio,0.29,-,-3.37,-3.06,-,-,0.02,0.09,1.44,-0.60,-,-,-,0.37,6.71,4.97,16.33,-,-2.53,-,-,Upgrade
17,Asset Turnover,-,1.88,1.59,1.28,0.89,0.97,1.01,1.01,3.83,5.69,-,-,-,-,-,3.07,-,2.00,-,-,Upgrade,
18,Quick Ratio,1.50,1.50,1.65,1.65,1.73,1.75,2.00,2.00,1.77,1.38,1.39,1.32,-,1.05,1.08,-,1.12,1.18,1.11,1.12,-,Upgrade
19,Current Ratio,1.72,1.72,1.70,1.70,1.84,1.88,2.13,2.13,1.81,1.40,1.39,1.33,-,1.06,1.09,-,1.13,1.20,1.13,1.13,-,Upgrade
20,Return on Equity (ROE),-,7.25%,2.90%,2.06%,-1.86%,-3.47%,-0.86%,4.35%,14.59%,32.24%,-,-,-,-13.34%,8.01%,11.43%,-,5.53%,-,-,Upgrade,
21,Return on Assets (ROA),-,5.36%,3.64%,1.65%,0.41%,-0.16%,1.53%,2.25%,5.75%,9.98%,-,-,-,-,-,1.48%,-,1.36%,-,-,Upgrade,
22,Return on Capital (ROIC),-,7.50%,5.04%,2.25%,0.56%,-0.22%,2.18%,3.78%,10.03%,17.99%,-,-,-,2.67%,1.92%,2.54%,-,2.18%,-,-,Upgrade,
23,Return on Capital Employed (ROCE),18.62%,10.52%,6.44%,3.20%,1.97%,2.84%,-,16.81%,19.16%,21.30%,19.90%,12.80%,-,8.22%,4.09%,-,4.12%,3.91%,5.60%,5.85%,-,Upgrade
24,Earnings Yield,15.75%,6.34%,4.20%,-0.80%,-2.34%,-1.32%,6.03%,14.39%,16.12%,10.17%,12.08%,3.12%,2.02%,2.19%,2.26%,9.09%,8.34%,7.85%,10.23%,14.50%,17.17%,Upgrade
25,FCF Yield,34.17%,-,-3.99%,-3.92%,-4.16%,1.10%,98.85%,12.33%,9.41%,-26.64%,-40.22%,-,17.01%,222.69%,6.30%,7.91%,2.38%,-29.68%,-19.03%,-,-54.71%,Upgrade
26,Dividend Yield,4.43%,-,8.87%,-,-,-,8.59%,-,-,-,2.81%,-,-,-,-,-,-,-,-,-,-,Upgrade
27,Payout Ratio,37.55%,-,123.61%,357.91%,117.57%,-,-,-,67.46%,-,-,-,-,-,-,16.34%,-,-,204.35%,-,-,Upgrade
28,Buyback Yield / Dilution,-14.41%,0.24%,-51.77%,-50.03%,18.42%,5.77%,22.92%,25.03%,-114.61%,-429.09%,-137.93%,-129.04%,-49.57%,44.15%,21.41%,-79.33%,12.81%,-43.20%,-74.46%,13.71%,-68.94%,Upgrade
29,Total Shareholder Return,-9.98%,0.24%,-42.91%,-50.03%,18.42%,5.77%,31.51%,25.03%,-114.61%,-429.09%,-135.12%,-129.04%,-49.57%,44.15%,21.41%,-79.33%,12.81%,-43.20%,-74.46%,13.71%,-68.94%,Upgrade
