,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Investments in Debt Securities,-,1357465,1270765,1270765,1133750,760000,725000,1837095,695000,624490,609490,514490,464490,883427,304909,284909,244100,824000,165000,160000,Upgrade
1,Investments in Equity & Preferred Securities,685910,680643,678846,684241,671659,658128,639733,637820,622936,665112,657459,662181,650140,649060,643621,654309,655000,660610,679406,665431,Upgrade
2,Other Investments,4963220,2992150,3042900,2788050,2825250,3039077,3071500,2002450,2785400,2619700,2614500,2789300,2861800,2468342,2845800,2919000,2969500,2048500,2909000,2817300,Upgrade
3,Total Investments,5650085,5031667,4994375,4745374,4633431,4460432,4439915,4481501,4107927,3914348,3886950,3971927,3982840,4007644,3801551,3865844,3876631,3541547,3762187,3651826,Upgrade
4,Cash & Equivalents,95429,77603,52206,16543,67490,85257,79895,55677,62300,87200,261269,73328,25282,128883,146430,82425,55424,173036,55453,41740,Upgrade
5,Reinsurance Recoverable,2277028,2500883,2353754,2449082,2189634,2464406,2402017,2352193,1975696,2437806,2439980,2244575,2165905,2348707,2213839,1954756,1996329,2168958,2336770,2193952,Upgrade
6,Other Receivables,187236,275630,327122,348531,354517,325009,264389,290098,199433,222506,200979,183087,200666,254237,283891,215453,166510,254131,331118,367379,Upgrade
7,"Property, Plant & Equipment",16374,15934,16366,17515,18154,25646,24535,33824,28782,28738,24517,24536,24872,23802,23165,23401,23673,23528,22746,22772,Upgrade
8,Other Intangible Assets,10163,10944,11726,12508,13290,8114,8565,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,Other Current Assets,497550,543895,592654,558093,556494,558436,516002,472596,530098,615135,647980,613740,583484,514131,641360,708069,728659,740685,729297,609701,Upgrade
10,Long-Term Deferred Tax Assets,2676,2933,588.88,305.17,2430,809.29,498.47,248.69,741.62,812.99,1517,1250,950.95,988.14,1123,-,-,-,-,-,Upgrade
