,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Revenue,384474,171894,261744,241195,187376,209761,297346,386681,517041,602517,829705,663063,597510,454067,388619,316530,294456,239365,266156,236879,Upgrade
1,Revenue Growth (YoY),105.19%,-18.05%,-11.97%,-37.62%,-63.76%,-65.19%,-64.16%,-41.68%,-13.47%,32.69%,113.50%,109.48%,102.92%,89.70%,46.01%,33.62%,23.53%,25.06%,-0.55%,-22.65%,Upgrade
2,Cost of Revenue,368092,165958,252303,231850,177150,189800,278018,367922,491881,575602,797378,638745,572826,436008,371943,299917,282974,228397,250826,225168,Upgrade
3,Gross Profit,16382,5936,9441,9346,10225,19961,19328,18759,25160,26915,32327,24318,24685,18059,16676,16613,11482,10968,15330,11712,Upgrade
4,"Selling, General & Admin",7070,5292,6537,6272,8784,9032,7007,11462,12603,10558,9504,9816,10890,9348,6851,8235,7377,7175,6874,7695,Upgrade
5,Operating Expenses,7070,5292,6537,6272,8784,9032,7007,11462,12603,10558,9504,9816,10890,9348,6851,8235,7377,7175,6874,7695,Upgrade
6,Operating Income,9312,644.23,2904,3073,1441,10929,12321,7297,12557,16358,22823,14503,13794,8711,9825,8377,4105,3792,8456,4016,Upgrade
7,Interest Expense,-4386,-2185,-3154,-3458,-3316,-4225,-5258,-4724,-4174,-4356,-5725,-6292,-5735,-5166,-4192,-3650,-3399,-3750,-3729,-3346,Upgrade
8,Interest & Investment Income,16378,3056,5350,5144,4058,2288,4878,5036,5063,1830,27112,2275,2589,1075,2050,1696,2363,1143,1427,1750,Upgrade
9,Earnings From Equity Investments,-14061,-,-8742,-8607,-6338,-7297,-9071,-8953,-10125,-10484,-8746,-11953,-12142,-11974,-18451,-5194,139.73,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),-524.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,Other Non Operating Income (Expenses),263.06,594.03,-1469,-1441,526.23,-1603,-6455,-948.01,-997.08,-570.07,-1193,-1485,-1114,-213.63,-246.24,-1076,-499.97,-513.48,-1038,-83.77,Upgrade
12,EBT Excluding Unusual Items,6981,2109,-5110,-5290,-3629,92.45,-3583,-2291,2325,2777,34271,-2952,-2608,-7567,-11014,154.62,2708,671.95,5117,2337,Upgrade
13,Pretax Income,6981,2109,-5110,-5290,-3629,92.45,-3583,-2291,2325,2777,34271,-2952,-2608,-7567,-11014,154.62,2708,671.95,5117,2337,Upgrade
14,Income Tax Expense,4229,424.11,363.01,390.89,-40.89,1851,3383,1452,2061,2646,5983,2130,2187,-170.89,1170,-52.59,875.78,137.35,4187,398.56,Upgrade
15,Net Income,2753,1685,-5473,-5681,-3588,-1758,-6966,-3743,263.98,130.81,28288,-5081,-4794,-7396,-12184,207.21,1832,534.6,929.9,1938,Upgrade
16,Preferred Dividends & Other Adjustments,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Net Income to Common,2628,1685,-5473,-5681,-3588,-1758,-6966,-3743,263.98,130.81,28288,-5081,-4794,-7396,-12184,207.21,1832,534.6,929.9,1938,Upgrade
18,Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-89.31%,-15.60%,22.73%,-76.21%,18.53%,Upgrade
19,Shares Outstanding (Basic),17,17,16,16,16,14,12,12,12,-,12,12,12,12,12,14,14,14,12,14,Upgrade
20,Shares Outstanding (Diluted),17,17,16,16,16,14,12,12,12,-,12,12,12,12,12,14,14,14,12,14,Upgrade
21,Shares Change (YoY),3.45%,17.39%,36.13%,42.52%,35.28%,-,-2.16%,-0.74%,2.71%,-,1.48%,-16.61%,-17.19%,-16.82%,-1.02%,-0.23%,-0.14%,0.12%,-9.02%,33.03%,Upgrade
22,EPS (Basic),157.87,101.22,-344.00,-346.13,-223.00,-124.00,-596.00,-325.00,22.20,-,2368.00,-438.00,-414.00,-632.00,-1035.00,14.89,131.00,38.00,78.18,139.00,Upgrade
23,EPS (Diluted),157.87,101.22,-344.00,-346.13,-223.00,-124.00,-596.00,-325.00,22.20,-,2368.00,-438.00,-414.00,-632.00,-1035.00,14.89,131.00,38.00,78.18,139.00,Upgrade
24,EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-89.28%,-15.48%,22.58%,-73.85%,-10.90%,Upgrade
25,Free Cash Flow,-,-52712,-3311,-3311,4194,-6381,4188,28007,56334,63504,-,8964,32804,-39005,3168,-27989,-,-12348,18674,-17560,Upgrade
26,Free Cash Flow Per Share,-,-3167.01,-208.13,-201.76,260.70,-450.04,358.32,2431.98,4736.47,-,-,772.67,2832.73,-3333.11,269.11,-2011.84,-,-877.73,1570.07,-1259.27,Upgrade
27,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,1000.000,-,-,-,-,-,-,-,-,-,Upgrade
28,Gross Margin,4.26%,3.45%,3.61%,3.87%,5.46%,9.52%,6.50%,4.85%,4.87%,4.47%,3.90%,3.67%,4.13%,3.98%,4.29%,5.25%,3.90%,4.58%,5.76%,4.94%,Upgrade
29,Operating Margin,2.42%,0.37%,1.11%,1.27%,0.77%,5.21%,4.14%,1.89%,2.43%,2.71%,2.75%,2.19%,2.31%,1.92%,2.53%,2.65%,1.39%,1.58%,3.18%,1.70%,Upgrade
30,Profit Margin,0.68%,0.98%,-2.09%,-2.36%,-1.91%,-0.84%,-2.34%,-0.97%,0.05%,0.02%,3.41%,-0.77%,-0.80%,-1.63%,-3.14%,0.07%,0.62%,0.22%,0.35%,0.82%,Upgrade
31,Free Cash Flow Margin,-,-30.67%,-1.27%,-1.37%,2.24%,-3.04%,1.41%,7.24%,10.90%,10.54%,-,1.35%,5.49%,-8.59%,0.82%,-8.84%,-,-5.16%,7.02%,-7.41%,Upgrade
32,EBITDA,10323,1577,3973,4142,2501,12097,13535,8547,13803,17605,24052,15724,15020,9956,11149,9761,5729,5454,10125,5713,Upgrade
