,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+18 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+18 Quarters
0,Cash & Equivalents,221258,221258,226444,201737,187194,201320,240499,-,243546,311200,483219,448574,287336,344804,289611,-,209764,-,200823,182957,Upgrade
1,Short-Term Investments,26620,34086,26220,24220,24220,24220,23220,-,23220,23220,9000,11220,30000,33220,63220,-,23220,-,1000,1000,Upgrade
2,Cash & Short-Term Investments,247878,255344,252664,225957,211414,225540,263719,266766,266766,334420,492219,459794,317336,378024,352831,-,232984,-,201823,183957,Upgrade
3,Cash Growth,17.25%,13.21%,-4.19%,-15.30%,-20.75%,-32.56%,-46.42%,-41.98%,-15.94%,-11.53%,39.51%,-,36.21%,-,74.82%,-,28.87%,-,-21.59%,-27.94%,Upgrade
4,Accounts Receivable,147663,147663,178466,172074,223553,221355,336041,-,171749,231905,181304,226960,222013,200055,214781,-,162939,-,169292,149697,Upgrade
5,Other Receivables,60442,49941,62674,55216,4880,21833,21705,-,4606,64855,23185,14737,13185,21309,30616,-,16497,-,29288,29071,Upgrade
6,Receivables,208105,197604,241141,227290,228434,243187,357746,-,176354,296759,204489,241698,235198,221364,245397,-,179436,-,198581,178769,Upgrade
7,Inventory,-,-,-,-,-,-,-,-,15158,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Prepaid Expenses,4949,4949,3534,2708,2831,1097,2042,-,2830,2670,3034,39614,39856,379.91,344,-,251.96,-,448.57,519.16,Upgrade
9,Other Current Assets,24587,27623,51374,41956,47152,21862,23313,-,41210,40961,25838,24314,21580,28142,24001,-,25000,-,14990,19693,Upgrade
10,Total Current Assets,485519,485519,548713,497911,489831,491686,646819,-,502318,674810,725581,765419,613970,627910,622573,-,437673,-,415842,382937,Upgrade
11,"Property, Plant & Equipment",40590,40590,41668,43046,44614,46193,47795,-,47815,42402,43848,45336,46955,48655,50387,-,54315,-,58549,60570,Upgrade
12,Long-Term Investments,3649,3649,4522,4522,4522,5026,12275,-,12275,12291,12291,12694,12694,12455,11995,-,13542,-,13522,14148,Upgrade
13,Other Intangible Assets,17221,17221,18404,17972,18125,18278,18430,-,17168,17245,16885,16941,16996,17052,17108,-,17219,-,17336,17396,Upgrade
14,Long-Term Deferred Tax Assets,42.61,42.61,42.61,42.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Other Long-Term Assets,70179,70179,72478,73313,75750,84575,86723,-,103116,101267,102561,104255,93766,93998,95305,-,97851,-,100713,102327,Upgrade
16,Total Assets,617202,617202,685827,636806,632842,645758,812043,-,682693,848014,901165,944645,784380,800071,797367,-,620600,-,605962,577379,Upgrade
17,Accounts Payable,105860,105860,94316,72161,93379,86969,220475,-,115905,132927,119706,151588,154090,169942,150240,-,91832,-,86009,78803,Upgrade
18,Accrued Expenses,43449,42858,33230,17585,38325,20827,20976,-,46033,32686,30666,29165,53920,43290,34456,-,30700,-,24317,24728,Upgrade
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,105,Upgrade
20,Current Income Taxes Payable,7829,1974,10923,10699,4661,16918,13224,-,2593,10726,11840,13770,16157,16376,12812,-,5656,-,9245,7077,Upgrade
21,Current Unearned Revenue,148.55,148.55,2256,3102,1104,4657,7945,-,737.95,14560,17861,41669,164.24,10819,293.33,-,2112,-,27601,18922,Upgrade
22,Other Current Liabilities,115457,121903,163365,153979,121774,150282,150859,-,147385,287906,365505,322855,189137,199380,207823,-,111747,-,103092,97546,Upgrade
23,Total Current Liabilities,272742,272742,304089,257526,259242,279653,413479,-,312656,478805,545577,559048,413468,439807,405624,-,242047,-,250294,227181,Upgrade
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135,75,Upgrade
25,Long-Term Deferred Tax Liabilities,-,-,-,42.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Other Long-Term Liabilities,1816,1816,1518,1518,1518,754.33,887.33,-,887.33,1467,1387,1387,1387,1392,1356,-,1349,-,1359,1359,Upgrade
27,Total Liabilities,274559,274559,305608,259087,260760,280407,414367,-,313543,480273,546965,560435,414856,441199,406980,-,243396,-,251788,228615,Upgrade
28,Common Stock,140965,140965,140965,140965,140965,140965,140965,-,140965,140965,140965,140965,140965,140965,140965,-,140965,-,140965,140965,Upgrade
29,Retained Earnings,201678,201678,239255,236754,231117,224386,256638,-,228185,226776,213236,228429,213744,203089,234606,-,221422,-,198392,193697,Upgrade
30,Comprehensive Income & Other,-,-,-,-,-,-,73.59,-,-,-,-,14816,14816,14817,14817,-,14817,-,14817,14101,Upgrade
31,Total Common Equity,342643,342643,380220,377719,372081,365351,397676,370692,369150,367741,354201,384209,369524,358871,390388,-,377204,-,354174,348763,Upgrade
32,Shareholders' Equity,342643,342643,380220,377719,372081,365351,397676,370692,369150,367741,354201,384209,369524,358871,390388,-,377204,-,354174,348763,Upgrade
33,Total Liabilities & Equity,617202,617202,685827,636806,632842,645758,812043,-,682693,848014,901165,944645,784380,800071,797367,-,620600,-,605962,577379,Upgrade
34,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,180,Upgrade
35,Net Cash (Debt),247878,255344,252664,225957,211414,225540,263719,266766,266766,334420,492219,459794,317336,378024,352831,-,232984,-,201658,183777,Upgrade
36,Net Cash Growth,17.25%,13.21%,-4.19%,-15.30%,-20.75%,-32.56%,-46.42%,-41.98%,-15.94%,-11.53%,39.51%,-,36.21%,-,74.97%,-,29.01%,-,-21.50%,-27.85%,Upgrade
37,Net Cash Per Share,17566.59,63514.42,19722.37,19883.08,14983.39,16002.42,18711.52,18928.03,18921.09,23715.21,35016.00,32599.59,22526.04,26809.57,25026.42,-,16526.01,-,9833.47,13043.11,Upgrade
38,Filing Date Shares Outstanding,14.1,14.1,12.81,11.36,14.1,14.09,14.09,14.09,14.1,14.1,14.06,14.1,14.09,14.1,14.1,14.09,14.1,14.09,20.51,14.09,Upgrade
