,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,3842645,3193400,2782480,2963831,2684409,3529079,2791313,3616713,3407418,3280335,4574860,4027684,4187567,3407180,3264746,2283617,2118457,1927157,1810596,1572347,Upgrade
1,Revenue Growth (YoY),43.15%,-9.51%,-0.32%,-18.05%,-21.22%,7.58%,-38.99%,-10.20%,-18.63%,-3.72%,40.13%,76.37%,97.67%,76.80%,80.31%,45.24%,14.42%,-18.49%,-25.49%,-39.81%,Upgrade
2,Cost of Revenue,3389271,2848064,2424146,2632000,2376645,3209329,2556304,3370542,3366875,2972146,4231028,3634009,3807070,3089424,2900721,2044520,1910864,1719946,1627230,1393582,Upgrade
3,Gross Profit,453374,345336,358334,331831,307764,319749,235009,246170,40543,308188,343832,393676,380496,317757,364025,239097,207593,207211,183366,178766,Upgrade
4,"Selling, General & Admin",375626,374787,249587,196594,223720,218458,178726,175434,207265,198952,238950,268539,311596,244986,236110,140598,137699,98026,90898,96187,Upgrade
5,Operating Expenses,375626,374787,249587,196594,223720,218458,178726,175434,207265,198952,238950,268539,311596,244986,236110,140598,137699,98026,90898,96187,Upgrade
6,Operating Income,77748,-29451,108746,135237,84044,101291,56284,70737,-166721,109237,104883,125137,68901,72770,127916,98499,69894,109185,92468,82578,Upgrade
7,Interest Expense,-51718,-36377,-44801,-35049,-66295,-48684,-50704,-45135,-61112,-41938,-37563,-41345,-40382,-34859,-46419,-39330,-49467,-50297,-54812,-51758,Upgrade
8,Interest & Investment Income,30305,20849,9047,47863,58081,39963,31169,47003,45760,11591,32042,11314,45086,18538,25732,19411,28019,32367,42500,26911,Upgrade
9,Earnings From Equity Investments,3972,7564,21456,23728,22884,11922,3570,14565,16426,16495,8438,16319,7178,8615,3161,3919,15422,810.92,280.17,191.02,Upgrade
10,Currency Exchange Gain (Loss),37325,11699,76720,-,9443,19821,12640,-,9514,12924,11536,12316,8421,15321,12479,9041,7566,9332,-1338,4866,Upgrade
11,Other Non Operating Income (Expenses),-6953,-2199,6066,-3848,-12017,2744,11057,-7926,739.02,-3430,-4828,-824.85,-40216,13156,-5638,14515,-14208,-1376,-3085,11122,Upgrade
12,EBT Excluding Unusual Items,90679,-27915,177235,167931,96138,127058,64017,79244,-155393,104879,114508,122916,48988,93540,117230,106055,57226,100022,76013,73911,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,29000,-,-,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,2392,-,-,-,-1846,-,-,-,2052,-,-,-,133.66,-,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,9046,-,-,-,1001,-,-,-,1003,-,-,-,11444,-,-,-,Upgrade
16,Pretax Income,90679,-27915,177235,167931,107577,127058,64017,79244,-156238,104879,114508,122916,81042,93540,117230,106055,68803,100022,76013,73911,Upgrade
17,Income Tax Expense,36659,-2213,39321,24037,15597,23511,14147,15447,-7217,28262,21301,26428,9688,26267,21233,16537,8569,13944,1810,11252,Upgrade
18,Earnings From Continuing Operations,54021,-25702,137914,143894,91980,103547,49870,63797,-149021,76617,93207,96488,71354,67273,95998,89518,60234,86078,74203,62658,Upgrade
19,Minority Interest in Earnings,15419,47501,-2026,-9188,2210,-4498,-7594,-9902,48243,3249,-7782,-8402,-5096,-4758,-9671,-14377,-2727,-7513,-6518,-4174,Upgrade
20,Net Income,69440,21800,135888,134707,94190,99050,42275,53895,-100778,79866,85425,88086,66258,62515,86327,75142,57507,78565,67684,58484,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,8757,-,-,-,52916,-,-,-,45932,-,-,-,Upgrade
22,Net Income to Common,69440,21800,135888,134707,94190,99050,42275,53895,-109535,79866,85425,88086,13342,62515,86327,75142,11575,78565,67684,58484,Upgrade
23,Net Income Growth,-26.28%,-77.99%,221.44%,149.94%,-,24.02%,-50.51%,-38.81%,-,27.76%,-1.04%,17.23%,15.22%,-20.43%,27.54%,28.48%,12.69%,23.34%,-48.61%,-72.68%,Upgrade
24,Shares Outstanding (Basic),382,382,382,382,382,382,382,382,382,382,326,326,326,326,326,244,244,244,198,-,Upgrade
25,Shares Outstanding (Diluted),382,382,382,382,382,382,382,382,382,382,326,326,326,326,326,244,244,244,198,-,Upgrade
26,Shares Change (YoY),-,-,-,-,-,-,17.11%,17.11%,17.11%,17.11%,-0.00%,33.82%,33.82%,33.82%,65.09%,-,23.36%,-,-,-,Upgrade
27,EPS (Basic),181.65,57.03,355.47,352.38,246.39,259.11,110.59,140.99,-286.54,208.92,261.69,269.84,40.87,191.51,264.45,308.04,47.45,322.07,342.30,-,Upgrade
28,EPS (Diluted),181.65,57.03,355.47,352.38,246.32,259.11,110.59,140.99,-286.66,208.92,261.69,269.84,40.87,191.51,264.45,308.04,47.11,322.07,342.30,-,Upgrade
29,EPS Growth,-26.25%,-77.99%,221.44%,149.94%,-,24.02%,-57.74%,-47.75%,-,9.09%,-1.04%,-12.40%,-13.23%,-40.54%,-22.74%,-,-29.20%,-,-48.61%,-,Upgrade
30,Free Cash Flow,-74418,-161084,145820,-54988,882058,127058,99502,454454,413876,-62976,-371178,-50952,352892,-290563,-68036,-219285,-43755,72205,334528,-21872,Upgrade
31,Free Cash Flow Per Share,-194.67,-421.38,381.45,-143.84,2307.39,332.37,260.29,1188.82,1082.67,-164.74,-1137.07,-156.09,1081.05,-890.11,-208.42,-898.94,-179.37,296.00,1691.79,-,Upgrade
32,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,454.546,-,-,-,Upgrade
33,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.00%,-,-,-,Upgrade
34,Gross Margin,11.80%,10.81%,12.88%,11.20%,11.46%,9.06%,8.42%,6.81%,1.19%,9.40%,7.52%,9.77%,9.09%,9.33%,11.15%,10.47%,9.80%,10.75%,10.13%,11.37%,Upgrade
35,Operating Margin,2.02%,-0.92%,3.91%,4.56%,3.13%,2.87%,2.02%,1.96%,-4.89%,3.33%,2.29%,3.11%,1.65%,2.14%,3.92%,4.31%,3.30%,5.67%,5.11%,5.25%,Upgrade
36,Profit Margin,1.81%,0.68%,4.88%,4.55%,3.51%,2.81%,1.51%,1.49%,-3.21%,2.43%,1.87%,2.19%,0.32%,1.83%,2.64%,3.29%,0.55%,4.08%,3.74%,3.72%,Upgrade
37,Free Cash Flow Margin,-1.94%,-5.04%,5.24%,-1.86%,32.86%,3.60%,3.56%,12.57%,12.15%,-1.92%,-8.11%,-1.27%,8.43%,-8.53%,-2.08%,-9.60%,-2.07%,3.75%,18.48%,-1.39%,Upgrade
38,EBITDA,210342,52230,194914,226574,173114,101291,136187,149667,-87973,186281,182349,202877,150054,151523,207549,174895,146319,185331,159899,149706,Upgrade
39,EBITDA Margin,5.47%,1.64%,7.00%,7.64%,6.45%,2.87%,4.88%,4.14%,-2.58%,5.68%,3.99%,5.04%,3.58%,4.45%,6.36%,7.66%,6.91%,9.62%,8.83%,9.52%,Upgrade
40,D&A For EBITDA,132594,81681,86168,91337,89071,-,79903,78930,78749,77045,77467,77740,81153,78753,79633,76396,76425,76146,67430,67127,Upgrade
41,EBIT,77748,-29451,108746,135237,84044,101291,56284,70737,-166721,109237,104883,125137,68901,72770,127916,98499,69894,109185,92468,82578,Upgrade
42,EBIT Margin,2.02%,-0.92%,3.91%,4.56%,3.13%,2.87%,2.02%,1.96%,-4.89%,3.33%,2.29%,3.11%,1.65%,2.14%,3.92%,4.31%,3.30%,5.67%,5.11%,5.25%,Upgrade
43,Effective Tax Rate,40.43%,-,22.19%,14.31%,14.50%,18.50%,22.10%,19.49%,-,26.95%,18.60%,21.50%,11.95%,28.08%,18.11%,15.59%,12.45%,13.94%,2.38%,15.22%,Upgrade
44,Revenue as Reported,3842645,3193400,2782480,2963831,2684409,3529079,2791313,3616713,3407418,3280335,4574860,4027684,4187567,3407180,3264746,2283617,2118457,1927157,1810596,1572347,Upgrade
