,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,141822,151758,158605,121934,139756,134430,134565,123913,144069,160925,178262,133383,130860,70960,77679,62149,77554,76317,88893,75347,Upgrade
1,Revenue Growth (YoY),1.48%,12.89%,17.86%,-1.60%,-2.99%,-16.46%,-24.51%,-7.10%,10.09%,126.78%,129.49%,114.62%,68.73%,-7.02%,-12.62%,-17.52%,26.34%,-10.58%,-19.96%,-27.10%,Upgrade
2,Cost of Revenue,113136,122056,130159,101212,119842,114407,111715,103109,118292,132663,142497,106411,97556,59192,66830,53293,67839,67291,78471,67383,Upgrade
3,Gross Profit,28686,29702,28446,20722,19914,20023,22850,20804,25777,28261,35765,26972,33304,11768,10849,8857,9714,9026,10422,7964,Upgrade
4,"Selling, General & Admin",11396,10334,10850,10058,7901,7673,9390,11178,11477,13720,17621,18521,16381,11077,9442,8154,6844,6791,8141,7098,Upgrade
5,Operating Expenses,11396,10334,10850,10058,7901,7673,9390,11178,11477,13720,17621,18521,16381,11077,9442,8154,6844,6791,8141,7098,Upgrade
6,Operating Income,17291,19368,17596,10664,12013,12350,13460,9626,14300,14542,18144,8451,16923,690.19,1407,703.17,2870,2234,2281,865.99,Upgrade
7,Interest Expense,-1196,-894.67,-214.81,-1873,-610.58,-1334,-2863,-1100,-910.82,-1028,-793.79,-473.31,-675.18,-453.91,-1397,-502,-725.41,-584.46,-599.65,-1009,Upgrade
8,Interest & Investment Income,4762,3069,20128,535.33,2154,4806,19509,1181,842.12,2742,14820,132.82,82.68,1160,-,16285,200.53,912.95,7699,370.22,Upgrade
9,Currency Exchange Gain (Loss),-,-,-,3369,606.71,-,-,714.16,107.92,-,-1183,375.28,320.36,-,680.45,169.01,254.48,-,-71.27,558.41,Upgrade
10,Other Non Operating Income (Expenses),-643.03,-761.34,77.35,0.85,185.22,-244.75,-9.7,2.01,-330.6,-2599,2647,202.83,255,-113,844.44,-0,-8.03,303.19,-73.53,13.92,Upgrade
11,EBT Excluding Unusual Items,20213,20781,37587,12696,14348,15578,30096,10423,14009,13656,33634,8689,16905,1283,1535,16655,2591,2866,9235,800.05,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,133.92,-,-,-133.92,-,-,-281.82,281.82,-,-,872.73,-,Upgrade
13,Pretax Income,20213,20781,37587,12696,14348,15578,30096,10423,14143,13656,33634,8555,16905,1283,1253,16937,2591,2866,10108,800.05,Upgrade
14,Income Tax Expense,1847,2286,3863,1525,2004,1619,1725,1226,1598,1399,1823,878.95,2138,205.51,148.87,93.17,1279,446.98,261.89,88.92,Upgrade
15,Earnings From Continuing Operations,18366,18495,33724,11171,12344,13959,28371,9197,12545,12257,31811,7676,14767,1078,1104,16844,1312,2419,9846,711.12,Upgrade
16,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,336.11,-135.63,-200.47,-,Upgrade
17,Net Income,18366,18495,33724,11171,12344,13959,28371,9197,12545,12257,31811,7676,14767,1078,1104,16844,1648,2283,9646,711.12,Upgrade
18,Preferred Dividends & Other Adjustments,-,-,-,-,6159,-,-,-,8612,-,-,-,2448,-,-,-,560,-,-,-,Upgrade
19,Net Income to Common,18366,18495,33724,11171,6185,13959,28371,9197,3933,12257,31811,7676,12320,1078,1104,16844,1088,2283,9646,711.12,Upgrade
20,Net Income Growth,48.78%,32.50%,18.87%,21.46%,-1.60%,13.88%,-10.81%,19.82%,-15.05%,1037.45%,2781.11%,-54.43%,796.00%,-52.80%,-88.55%,2268.65%,-52.21%,-87.83%,-36.82%,-93.66%,Upgrade
21,Shares Outstanding (Basic),12,12,12,12,12,12,12,12,11,12,12,11,12,11,12,11,11,11,11,11,Upgrade
22,Shares Outstanding (Diluted),12,12,12,12,12,12,12,12,11,12,12,11,12,11,12,11,11,11,11,11,Upgrade
23,Shares Change (YoY),0.01%,0.01%,0.02%,-0.01%,2.44%,0.04%,-2.37%,2.48%,-0.02%,2.71%,4.65%,-0.06%,0.22%,5.44%,2.50%,0.24%,-0.18%,-5.49%,-2.20%,-0.21%,Upgrade
24,EPS (Basic),1559.00,1570.00,2863.00,948.70,525.11,1185.00,2409.00,781.00,342.03,1041.00,2637.11,668.00,1071.17,94.00,95.79,1465.00,94.82,210.00,857.76,62.00,Upgrade
25,EPS (Diluted),1559.00,1570.00,2863.00,948.70,524.77,1185.00,2409.00,781.00,341.54,1041.00,2637.11,668.00,1070.83,94.00,95.79,1465.00,94.79,210.00,857.76,62.00,Upgrade
26,EPS Growth,197.08%,32.49%,18.85%,21.47%,53.65%,13.83%,-8.65%,16.92%,-68.10%,1007.45%,2652.97%,-54.40%,1029.69%,-55.24%,-88.83%,2262.90%,13.85%,-87.12%,-35.40%,-93.65%,Upgrade
27,Free Cash Flow,32123,21369,11081,-14140,4637,54374,6316,-17510,17985,54737,15754,21934,6922,-13122,-12833,-12902,4409,-21379,17677,-8015,Upgrade
28,Free Cash Flow Per Share,2726.77,1814.01,940.77,-1200.76,393.66,4615.97,536.27,-1486.88,1564.11,4648.85,1306.00,1908.76,601.88,-1144.66,-1113.34,-1122.13,384.16,-1966.38,1571.96,-698.80,Upgrade
29,Dividend Per Share,-,-,-,-,-,2000.000,500.000,-,500.000,500.000,2000.000,-,1000.000,1000.000,-,-,-,-,-,-,Upgrade
