,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,116579772,115239774,115016441,106306458,110695435,92828804,84866500,85643310,84435877,73965829,74979059,81058442,89299384,93217209,85246462,96459546,71979897,60739793,48635065,37910410,29485972,Upgrade
1,Market Cap Growth,24.14%,24.14%,35.53%,24.13%,31.10%,25.50%,13.19%,5.66%,-5.45%,-20.65%,-12.04%,-15.97%,24.06%,53.47%,75.28%,154.44%,144.12%,60.82%,28.19%,5.18%,-21.97%,Upgrade
2,Last Close Price,26100.00,25800.00,25750.00,23800.00,23939.66,20075.72,18353.74,18521.74,17541.69,15366.52,15577.02,16840.02,18552.09,19366.03,17710.09,20039.63,14953.94,12618.79,10104.01,7875.95,6148.77,Upgrade
3,PE Ratio,7.11,6.86,7.14,6.53,7.07,5.84,5.75,5.99,5.87,5.46,5.73,6.98,8.71,9.86,8.86,10.05,8.44,8.01,7.37,6.25,4.85,Upgrade
4,PS Ratio,3.74,3.61,3.65,3.36,3.57,3.00,2.78,2.89,2.86,2.58,2.90,3.42,4.18,4.61,4.23,4.92,3.91,3.53,2.79,2.24,1.73,Upgrade
5,PB Ratio,1.40,1.38,1.46,1.42,1.48,1.31,1.27,1.36,1.35,1.27,1.35,1.56,1.85,2.08,2.01,2.39,1.90,1.71,1.48,1.23,1.00,Upgrade
6,P/FCF Ratio,-,-,-1.39,-,-,-,-,-,-,-,-,-,-,-,-10.16,-,-1.86,-,-,-,-1.17,Upgrade
7,P/OCF Ratio,-,-,-1.42,-,-,-,-,-,-,-,-,-,-,-,-10.93,-,-1.88,-,-,-,-1.19,Upgrade
8,Debt / Equity Ratio,1.55,1.55,1.32,1.11,0.80,0.86,0.83,0.77,0.86,0.90,0.83,0.73,0.86,0.97,0.88,0.78,0.74,0.81,0.73,0.79,0.95,Upgrade
9,Debt / FCF Ratio,-,-,-1.27,-,-,-,-,-,-,-,-,-,-,-,-4.45,-,-0.73,-,-,-,-1.10,Upgrade
10,Return on Equity (ROE),22.40%,20.15%,23.90%,21.44%,23.26%,24.91%,24.66%,27.35%,20.11%,26.62%,31.46%,28.25%,22.23%,20.30%,26.44%,27.08%,29.83%,26.03%,20.21%,21.51%,Upgrade,
11,Return on Assets (ROA),2.22%,2.00%,2.39%,2.16%,2.34%,2.52%,2.49%,2.71%,1.96%,2.60%,2.94%,2.49%,1.93%,1.77%,2.25%,2.22%,2.36%,2.03%,1.55%,1.59%,Upgrade,
12,Earnings Yield,14.40%,14.57%,14.13%,15.44%,14.29%,17.28%,17.57%,16.88%,17.22%,18.51%,17.67%,14.51%,11.65%,10.30%,11.41%,10.05%,11.99%,12.65%,13.77%,16.28%,20.96%,Upgrade
13,FCF Yield,-59.39%,-60.08%,-71.69%,-83.60%,-66.51%,-58.77%,-26.36%,-24.99%,-26.60%,-36.12%,-59.20%,-36.98%,-31.68%,-19.26%,-9.84%,-48.48%,-53.81%,-64.60%,-84.38%,-61.18%,-85.52%,Upgrade
14,Dividend Yield,3.78%,-,-,-,-,-,-,-,-,4.92%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Payout Ratio,23.13%,-,-,86.92%,-,-,-,87.37%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Buyback Yield / Dilution,-2.45%,-3.61%,-2.09%,-1.10%,-3.08%,-0.41%,0.14%,0.06%,0.22%,-2.35%,0.72%,0.52%,0.92%,0.40%,-0.20%,1.93%,0.15%,-1.65%,-1.59%,-3.53%,-2.19%,Upgrade
17,Total Shareholder Return,1.33%,-3.61%,-2.09%,-1.10%,-3.08%,-0.41%,0.14%,0.06%,0.22%,2.57%,0.72%,0.52%,0.92%,0.40%,-0.20%,1.93%,0.15%,-1.65%,-1.59%,-3.53%,-2.19%,Upgrade
