,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,+16 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010",+16 Quarters
0,Revenue,284044,345865,222611,251045,170071,209575,223799,264156,230975,274734,217348,353650,250432,301764,233127,353650,309449,373359,251583,296999,Upgrade
1,Revenue Growth (YoY),67.01%,65.03%,-0.53%,-4.96%,-26.37%,-23.72%,2.97%,-25.31%,-7.77%,-8.96%,-6.77%,0%,-19.07%,-19.18%,-7.34%,19.07%,18.16%,39.57%,-0.18%,18.04%,Upgrade
2,Cost of Revenue,229207,288554,200405,226417,137120,172480,196293,217902,196125,228019,190812,314498,218470,256110,208353,314498,240171,281100,211354,253847,Upgrade
3,Gross Profit,54836,57311,22206,24627,32951,37095,27506,46253,34850,46715,26536,39152,31962,45654,24774,39152,69278,92259,40229,43153,Upgrade
4,"Selling, General & Admin",33831,33309,14687,16930,22767,24924,21662,29976,28421,37627,27656,25304,24156,23884,17870,26930,28468,33734,22477,25901,Upgrade
5,Operating Expenses,33831,33309,14687,16930,22767,24924,21662,29976,28421,37627,27656,25304,24156,23884,17870,26930,28468,33734,22477,25901,Upgrade
6,Operating Income,21005,24003,7519,7698,10184,12171,5844,16277,6429,9087,-1121,13848,7806,21771,6904,12221,40810,58525,17752,17252,Upgrade
7,Interest Expense,-9713,-11286,-5931,-7815,-5009,-5000,-3975,-7682,-7065,-8204,-6338,-8395,-5126,-6816,-10054,-43268,-5297,-14263,-16092,-34636,Upgrade
8,Interest & Investment Income,794.24,5053,67.24,-,102.74,89.61,261.51,-,14.75,57.12,63.63,3429,279.11,771.14,821.55,-,378.93,526.18,144.41,-,Upgrade
9,Currency Exchange Gain (Loss),1380,-1896,515.67,-1753,616.06,-1988,467.87,1694,1978,-225.42,90.38,-,307.21,582.57,3640,35916,55.48,12089,22025,16852,Upgrade
10,Other Non Operating Income (Expenses),-139.71,-4104,-679.51,2687,-66.44,48.04,-474.37,1132,-606.83,126.84,-249.63,-5448,-569.93,360.18,-752.62,2647,-2686,-692.75,-192.73,8054,Upgrade
11,EBT Excluding Unusual Items,13327,11769,1492,816.98,5827,5321,2124,11420,750.59,841.76,-7554,3433,2697,16669,558.5,7516,33262,56184,23637,7522,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-42.17,-,-,-,-,Upgrade
13,Pretax Income,13327,11769,1492,816.98,5827,5321,2124,11420,750.59,841.76,-7554,3433,2697,16669,558.5,7474,33262,56184,23637,7522,Upgrade
14,Income Tax Expense,889.18,63.43,149.17,-201.03,518.14,1146,313.44,1654,-,-1344,-,-6428,534.17,1565,75.21,-6428,3620,5081,3402,-3958,Upgrade
15,Earnings From Continuing Operations,12438,11705,1342,1018,5309,4175,1810,9766,750.59,2185,-7554,9861,2162,15104,483.29,13902,29642,51104,20235,11480,Upgrade
16,Net Income,12438,11705,1342,1018,5309,4175,1810,9766,750.59,2185,-7554,9861,2162,15104,483.29,13902,29642,51104,20235,11480,Upgrade
17,Net Income to Common,12438,11705,1342,1018,5309,4175,1810,9766,750.59,2185,-7554,9861,2162,15104,483.29,13902,29642,51104,20235,11480,Upgrade
18,Net Income Growth,134.28%,180.37%,-25.84%,-89.58%,607.30%,91.04%,-,-0.96%,-65.29%,-85.53%,-,-29.07%,-92.70%,-70.44%,-97.61%,21.10%,558.33%,156.15%,-14.49%,-51.85%,Upgrade
19,Shares Outstanding (Basic),40,41,40,41,40,40,41,40,40,41,40,40,40,40,41,42,40,40,40,40,Upgrade
20,Shares Outstanding (Diluted),40,41,40,41,40,40,41,40,40,41,40,40,40,40,41,42,40,40,40,40,Upgrade
21,Shares Change (YoY),0.16%,0.30%,-0.45%,0.07%,0.34%,-0.33%,0.51%,0.03%,-0.10%,1.15%,-1.12%,-3.92%,0.98%,0.31%,2.44%,5.40%,10.90%,13.04%,22.18%,22.40%,Upgrade
22,EPS (Basic),307.27,288.94,33.18,25.13,131.36,103.55,44.55,241.23,18.64,53.93,-186.82,243.64,53.64,377.00,11.82,330.02,742.42,1279.51,506.89,287.22,Upgrade
23,EPS (Diluted),307.27,288.94,33.18,25.13,131.36,103.36,44.55,241.23,18.64,53.93,-186.82,243.64,53.64,377.00,11.82,330.02,742.42,1279.51,506.89,287.22,Upgrade
