,Fiscal Quarter,Current,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,+8 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018",+8 Quarters
0,Debt / Equity Ratio,-,-,-,0.01,-,-,-,-,-,0.00,0.03,-,-,0.05,0.06,0.05,0.06,0.06,0.07,0.07,0.08,Upgrade
1,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-,-,0.39,3.20,-,Upgrade
2,Asset Turnover,1.25,1.79,1.50,1.59,1.69,1.26,1.05,1.27,1.54,-,-,-,1.85,1.76,-,-,-,-,1.71,1.72,Upgrade,
3,Inventory Turnover,6.05,4.52,6.53,4.88,5.91,7.24,4.43,2.94,3.35,4.52,-,-,-,6.06,5.33,-,-,-,-,5.72,6.15,Upgrade
4,Quick Ratio,3.21,3.21,2.76,3.30,2.15,2.97,3.77,4.14,3.52,2.73,2.70,-,-,2.33,2.09,1.86,-,1.55,-,1.42,1.64,Upgrade
5,Current Ratio,4.59,4.59,3.64,4.76,3.14,3.81,5.12,5.97,6.11,4.07,4.16,-,-,3.57,3.32,3.27,-,2.75,-,2.54,2.63,Upgrade
6,Return on Equity (ROE),13.61%,18.03%,13.31%,14.39%,12.47%,15.49%,12.96%,19.68%,24.99%,-,-,-,19.53%,17.93%,-,17.98%,11.37%,13.18%,15.00%,15.76%,Upgrade,
7,Return on Assets (ROA),7.62%,8.89%,6.76%,7.07%,7.51%,8.09%,8.28%,11.49%,15.47%,-,-,-,12.11%,10.04%,-,-,-,-,8.07%,9.29%,Upgrade,
8,Return on Capital (ROIC),9.67%,11.19%,8.75%,9.41%,9.29%,9.49%,9.53%,13.69%,18.78%,-,-,-,14.51%,12.07%,-,13.35%,7.43%,9.35%,9.95%,11.46%,Upgrade,
9,Return on Capital Employed (ROCE),15.99%,16.04%,15.74%,14.98%,15.09%,16.08%,20.20%,25.83%,33.55%,36.80%,34.73%,-,-,21.79%,19.60%,18.63%,-,16.96%,-,19.26%,21.34%,Upgrade
10,Payout Ratio,64.72%,144.58%,17.62%,-,172.12%,-,78.67%,-,1.42%,85.30%,-,24.74%,42.90%,0.97%,-,-,-,39.34%,19.85%,90.91%,-,Upgrade
11,Buyback Yield / Dilution,7.71%,0.00%,0.01%,-0.05%,0.10%,-50.04%,-50.05%,-49.84%,-49.99%,-0.01%,0.02%,-0.02%,-0.07%,-0.06%,-0.09%,0.02%,0.12%,0.11%,0.02%,-0.03%,-0.05%,Upgrade
12,Total Shareholder Return,15.35%,0.00%,0.01%,-0.05%,0.10%,-50.04%,-50.05%,-49.84%,-49.99%,-0.01%,0.02%,-0.02%,-0.07%,-0.06%,-0.09%,0.02%,0.12%,0.11%,0.02%,-0.03%,-0.05%,Upgrade
