,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,167280,212304,772408,174633,722796,1662252,397638,436136,518612,-
1,Short-Term Investments,30104,36813,54530,53490,68150,116880,127213,256094,111845,-
2,Cash & Short-Term Investments,197384,249117,826938,228123,790946,1779132,524851,692230,630457,-
3,Cash Growth,-76.13%,9.20%,4.55%,-87.18%,50.70%,157.01%,-16.75%,-,126.44%,-
4,Accounts Receivable,509575,511610,436016,407750,324471,331769,229338,170039,274619,-
5,Other Receivables,1306354,1497575,1466057,1399845,1115418,564966,592157,81180,52851,-
6,Receivables,4373987,5305520,4833472,4277055,3198628,2717477,2530161,1233299,1047136,-
7,Inventory,775944,1084267,2014478,3353083,3722765,5050584,6729655,7031975,5734218,-
8,Prepaid Expenses,111949,137583,260359,354674,539546,686105,671870,650253,731730,-
9,Other Current Assets,359783,369405,367151,346295,448932,583235,633263,886171,872775,-
10,Total Current Assets,5819047,7145892,8302398,8559231,8700817,10816533,11089800,10493928,9016316,-
11,"Property, Plant & Equipment",10069,11423,14271,30296,31739,41546,39973,38289,35816,-
12,Long-Term Investments,-,89425,89425,115863,161032,196182,229994,223759,327426,-
13,Other Intangible Assets,10082,12803,15624,1707,2135,974.5,1258,1505,1221,-
14,Long-Term Deferred Tax Assets,73577,96995,93923,80758,92301,96234,65432,31565,27408,-
15,Other Long-Term Assets,862299,685243,659617,501153,962087,443896,148372,371613,345203,-
16,Total Assets,7035484,8197170,9293398,9609039,11098528,12629582,12564828,11925659,9753392,-
17,Accounts Payable,285989,328831,476963,600797,862438,507915,685244,720524,842306,-
18,Accrued Expenses,742029,929051,882227,959560,752136,667935,366211,294523,260718,-
19,Short-Term Debt,232876,381527,437854,640219,739353,1037396,1341700,252216,326463,-
20,Current Portion of Long-Term Debt,813153,597644,331410,312384,200887,974753,5339,626082,182939,-
21,Current Income Taxes Payable,172019,292188,191047,134866,266351,216215,71095,24232,60806,-
22,Current Unearned Revenue,479873,766673,1899507,2652217,3117739,3744968,3336704,3169801,2560255,-
23,Other Current Liabilities,484890,1136194,1065692,323750,76596,198371,256842,214172,227557,-
24,Total Current Liabilities,3210829,4432107,5284699,5623793,6015500,7347554,6063135,5301551,4461044,-
25,Long-Term Debt,371117,251840,691055,708120,872931,823530,1641835,2180821,2488864,-
26,Long-Term Deferred Tax Liabilities,129224,236257,265758,243455,342789,316954,475476,491977,440787,-
27,Other Long-Term Liabilities,187226,185115,175765,162813,1141689,1086310,1708793,1500281,41959,-
28,Total Liabilities,3898395,5105318,6417277,6738182,8372910,9574349,9889239,9474630,7432654,-
29,Common Stock,1625281,1251184,1251184,1251184,1251184,1117132,827506,827506,824925,-
30,Additional Paid-In Capital,179039,179039,179039,179039,179039,179039,179314,179314,179620,-
31,Retained Earnings,1291766,1594112,1368363,1052436,925127,1140870,1103498,879515,704122,-
32,Treasury Stock,-,-,-,-,-,-,-,-,-1300,-
33,Total Common Equity,3096086,3024335,2798586,2482659,2355350,2437041,2110317,1886335,1707368,-
34,Minority Interest,41002,67516,77536,388198,370269,618192,565272,564693,613371,-
35,Shareholders' Equity,3137089,3091852,2876121,2870857,2725619,3055233,2675589,2451029,2320738,-
36,Total Liabilities & Equity,7035484,8197170,9293398,9609039,11098528,12629582,12564828,11925659,9753392,-
37,Total Debt,1417146,1231010,1460319,1660723,1813171,2835679,2988874,3059120,2998266,-
38,Net Cash (Debt),-1219762,-981894,-633381,-1432600,-1022225,-1056547,-2464023,-2366890,-2367809,-
39,Net Cash Per Share,-11191.31,-6278.20,-4049.80,-9160.01,-6524.48,-7453.75,-19686.92,-18913.35,-17411.73,-
40,Filing Date Shares Outstanding,67.41,156.4,156.4,156.4,156.68,153.61,125.16,125.16,124.62,113.39
41,Total Common Shares Outstanding,67.41,156.4,156.4,156.4,156.68,153.61,125.16,125.16,124.62,113.39
42,Working Capital,2608218,2713785,3017699,2935437,2685317,3468979,5026665,5192377,4555273,-
43,Book Value Per Share,45927.72,19337.43,17894.01,15873.99,15033.31,15865.57,16860.92,15071.36,13700.64,-
44,Tangible Book Value,3086005,3011532,2782961,2480952,2353215,2436067,2109060,1884830,1706147,-
45,Tangible Book Value Per Share,45778.17,19255.57,17794.10,15863.07,15019.68,15859.23,16850.88,15059.34,13690.84,-
46,Machinery,-,24210,27899,27899,29733,39703,43311,43311,42112,-
47,Construction In Progress,-,-,-,14224,13106,13331,8510,4018,-,-
