,Fiscal Quarter,Current,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019
,Period Ending,"Mar '25 Mar 10, 2025","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019"
0,Market Capitalization,1731578,7248241,11433296,10424312,-,-,-
1,Market Cap Growth,-74.67%,-30.47%,-,-,-,-,-
2,Enterprise Value,7185560,12608752,16489488,15907045,-,-,-
3,Last Close Price,7100.00,29720.00,46880.00,45309.65,-,-,-
4,PE Ratio,-,136.23,192.72,337.59,-,-,-
5,PS Ratio,0.10,0.49,1.03,1.23,-,-,-
6,PB Ratio,0.62,1.22,2.08,2.37,-,-,-
7,P/TBV Ratio,0.89,3.94,6.63,8.98,-,-,-
8,P/FCF Ratio,-,-16.99,-,38.92,-,-,-
9,P/OCF Ratio,6.80,17.07,-,15.12,-,-,-
10,EV/Sales Ratio,0.41,0.85,1.49,1.87,-,-,-
11,EV/EBITDA Ratio,10.03,14.30,19.67,22.08,-,-,-
12,EV/EBIT Ratio,29.84,31.57,39.17,46.01,-,-,-
13,EV/FCF Ratio,-,-29.56,-,59.39,-,-,-
14,Debt / Equity Ratio,0.72,0.83,0.91,1.09,1.10,1.17,-
15,Debt / FCF Ratio,-,-11.60,-,17.80,9.44,-27.11,-
16,Return on Capital Employed (ROCE),2.89%,4.89%,5.84%,5.73%,5.81%,10.05%,-
17,Earnings Yield,-1.46%,0.81%,0.81%,0.74%,-,-,-
18,FCF Yield,-1.66%,-5.88%,-4.11%,2.57%,-,-,-
19,Buyback Yield / Dilution,-43.83%,-10.81%,-11.41%,-38.13%,-39.68%,-,-
20,Total Shareholder Return,-43.83%,-10.81%,-11.41%,-38.13%,-39.68%,-,-
