,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Market Capitalization,1611428,1384466,1622776
1,Enterprise Value,1911087,1990674,2228983
2,Last Close Price,17750.00,18300.00,19499.98
3,PE Ratio,55.71,-,440.00
4,PS Ratio,0.81,1.33,3.16
5,PB Ratio,1.23,0.68,0.88
6,P/TBV Ratio,1.21,1.21,1.69
7,EV/Sales Ratio,1.00,1.91,4.34
8,EV/EBITDA Ratio,9.58,42.74,-
9,EV/EBIT Ratio,22.58,54.52,119.32
10,Debt / Equity Ratio,0.38,0.38,0.40
11,Debt / EBITDA Ratio,3.80,4.16,-
12,Quick Ratio,1.62,1.62,2.28
13,Current Ratio,1.80,1.80,2.58
14,Return on Capital Employed (ROCE),3.86%,1.59%,0.79%
15,Earnings Yield,1.74%,0.19%,0.23%
