,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,671218,172509,280806,155588,183114,109957,138635,76451,152013,55907,175437,207434,202817,138992,281809,156309,112812,282744,154779,189631,Upgrade
1,Short-Term Investments,174967,225181,176781,120516,118966,79190,302095,412095,194095,296671,1500,217044,6595,27144,89373,74195,99290,65195,85195,105688,Upgrade
2,Trading Asset Securities,3106,3717,4096,4136,4269,3823,3569,3113,2927,3345,3741,4261,3883,3584,3560,3493,3244,2400,2400,2492,Upgrade
3,Cash & Short-Term Investments,849291,401407,461682,280240,306349,192970,444300,491659,349035,355924,180677,428739,213296,169720,374741,233997,215346,350339,242373,297811,Upgrade
4,Cash Growth,177.23%,108.02%,3.91%,-43.00%,-12.23%,-45.78%,145.91%,14.68%,63.64%,109.71%,-51.79%,83.22%,-0.95%,-51.56%,54.61%,-21.43%,-59.89%,-1.72%,-23.01%,-19.05%,Upgrade
5,Accounts Receivable,111388,109011,82035,101551,124868,117879,71099,77846,141100,125888,98433,176354,183801,118382,144498,179362,204936,67867,47502,86045,Upgrade
6,Other Receivables,40826,41948,22312,16213,28891,20317,26361,39009,33280,23003,21381,17833,20870,50894,13856,29301,20432,20556,20655,53861,Upgrade
7,Receivables,167214,425960,279347,501764,764759,508196,97460,116855,174381,148891,119814,194186,204671,169276,158354,208663,225367,88424,68157,139906,Upgrade
8,Inventory,125915,158271,113048,110838,125552,166725,130215,133921,112525,150122,118545,101281,85604,74040,66700,66520,126217,120505,124306,126915,Upgrade
9,Prepaid Expenses,4848,4706,6526,6572,4723,5187,7147,7754,6319,4899,3819,2497,3087,2107,2906,6123,4654,6564,7660,5893,Upgrade
10,Other Current Assets,43044,41784,49982,60949,40838,36611,52411,64503,52479,80922,123506,71485,71574,183023,159396,142793,146007,97858,121528,33280,Upgrade
11,Total Current Assets,1190311,1032127,910586,960363,1242220,909690,731532,814692,694738,740758,546361,798188,578231,598166,762097,658098,717590,663688,564025,603806,Upgrade
12,"Property, Plant & Equipment",598226,615477,627528,643238,659750,672748,688729,706036,723256,734303,754053,764285,806180,591473,465933,459932,474120,491460,510779,551820,Upgrade
13,Long-Term Investments,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,249961,-,-,-,-,200000,200000,200000,200000,-,Upgrade
14,Other Intangible Assets,1762,841.04,936.5,1032,1186,1255,1436,1620,1808,2013,2364,2715,2770,2257,2518,2784,3049,3315,3581,2382,Upgrade
15,Long-Term Deferred Tax Assets,2065,2232,2459,2342,2492,1949,2209,2679,2679,-,2341,-,2600,2552,2881,2629,4665,5484,2797,3068,Upgrade
16,Other Long-Term Assets,215122,216617,216948,219613,222142,225414,224963,226396,227896,227235,220347,226026,249757,159324,161059,141523,143677,147111,151394,147149,Upgrade
17,Total Assets,2207510,2067293,1958457,2026588,2327791,2011056,1848870,1951422,1850378,1904308,1775427,1791213,1639538,1353773,1394488,1464965,1543102,1511058,1432576,1308224,Upgrade
18,Accounts Payable,118965,95412,75723,79473,126666,135531,69238,88409,161998,126560,92472,99158,143495,70951,52584,111907,115909,102234,71290,82025,Upgrade
19,Accrued Expenses,209208,150404,76737,84032,138132,99780,52319,67333,159189,113522,71775,119680,105345,68085,48885,79392,96124,97746,46132,73387,Upgrade
20,Short-Term Debt,313887,303766,331780,384892,601871,391000,336700,383318,123618,300000,243820,-,15900,-,-,149345,182459,199984,186332,-,Upgrade
21,Current Income Taxes Payable,12253,12902,4772,-,11731,-,513.55,7516,5694,12112,16267,33648,26645,-934.92,10930,191.47,9405,8995,2686,-,Upgrade
22,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13610,-,-,-,Upgrade
23,Other Current Liabilities,44455,22943,21299,34326,21971,27099,18414,22679,21967,22717,17449,182116,228856,161833,168890,4293,13337,27421,58833,129441,Upgrade
24,Total Current Liabilities,698768,585427,510311,582724,900371,653410,477185,569254,472466,574911,441783,434602,520240,299934,281290,345128,430845,436380,365272,284853,Upgrade
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,22400,-,-,-,-,-,-,-,Upgrade
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3311,3311,-,3489,3487,-,Upgrade
27,Other Long-Term Liabilities,13566,13688,14041,14114,15087,15124,15149,15845,14590,14676,15006,15088,115434,16071,12831,13334,16536,13230,14599,18396,Upgrade
28,Total Liabilities,712334,599115,524352,596838,915458,668534,492334,585099,487056,589587,456789,449691,658074,316005,297432,361773,447380,453099,383358,303248,Upgrade
29,Common Stock,187527,187527,187527,187527,187527,187527,187527,187527,187527,187527,187527,187527,154208,154208,154208,154208,154208,154208,154208,154208,Upgrade
30,Additional Paid-In Capital,485821,485821,485821,485821,485821,485821,485821,485821,485821,469248,485821,469248,302577,302727,302727,302727,302727,302727,302727,302727,Upgrade
31,Retained Earnings,905519,878526,844452,840309,822897,753087,767100,776889,773886,734109,729203,760910,600842,580834,640122,646257,638788,601025,592283,548042,Upgrade
32,Comprehensive Income & Other,-83896,-83896,-83896,-83913,-83913,-83913,-83913,-83913,-83913,-76162,-83913,-76162,-76162,-,-,-,-,-,-,-,Upgrade
33,Total Common Equity,1494971,1467978,1433904,1429744,1412332,1342522,1356535,1366324,1363321,1314721,1318638,1341522,981464,1037768,1097056,1103191,1095722,1057959,1049217,1004976,Upgrade
34,Minority Interest,205.09,200.13,200.7,6.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
35,Shareholders' Equity,1495176,1468178,1434105,1429750,1412332,1342522,1356535,1366324,1363321,1314721,1318638,1341522,981464,1037768,1097056,1103191,1095722,1057959,1049217,1004976,Upgrade
36,Total Liabilities & Equity,2207510,2067293,1958457,2026588,2327791,2011056,1848870,1951422,1850378,1904308,1775427,1791213,1639538,1353773,1394488,1464965,1543102,1511058,1432576,1308224,Upgrade
37,Total Debt,313887,303766,331780,384892,601871,391000,336700,383318,123618,300000,243820,-,38300,-,-,149345,182459,199984,186332,-,Upgrade
38,Net Cash (Debt),535403,97641,129903,-104652,-295523,-198030,107600,108341,225417,55924,-63143,428739,174996,169720,374741,84653,32887,150355,56041,297811,Upgrade
39,Net Cash Growth,-,-,20.73%,-,-,-,-,-74.73%,28.81%,-67.05%,-,406.47%,432.11%,12.88%,568.69%,-71.58%,-93.87%,-57.82%,-82.20%,-19.05%,Upgrade
40,Net Cash Per Share,28313.02,4945.95,6266.51,-5583.76,-15006.59,-8922.25,15520.19,2892.38,11416.93,2833.44,-3199.76,21718.87,10783.79,10444.75,66706.00,5213.42,2026.10,9264.33,3435.74,18432.54,Upgrade
41,Filing Date Shares Outstanding,18.91,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,15.42,15.42,15.42,15.42,15.42,15.42,15.42,16.16,Upgrade
42,Total Common Shares Outstanding,18.91,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,15.42,15.42,15.42,15.42,15.42,15.42,15.42,16.16,Upgrade
43,Working Capital,491544,446700,400275,377639,341850,256279,254347,245438,222272,165847,104578,363586,57991,298233,480808,312970,286746,227308,198753,318953,Upgrade
44,Book Value Per Share,79056.54,78280.95,76463.93,76242.08,75313.60,71590.90,72338.19,72860.16,72700.06,70108.43,70317.31,71537.61,63645.56,67296.73,71141.42,71539.26,71054.90,68606.08,68039.17,62201.32,Upgrade
45,Tangible Book Value,1493209,1467137,1432968,1428712,1411146,1341266,1355099,1364704,1361513,1312709,1316275,1338808,978694,1035511,1094538,1100408,1092673,1054644,1045636,1002594,Upgrade
46,Tangible Book Value Per Share,78963.34,78236.10,76413.99,76187.05,75250.35,71523.95,72261.60,72773.79,72603.63,70001.09,70191.26,71392.86,63465.93,67150.36,70978.13,71358.74,70857.14,68391.10,67806.95,62053.89,Upgrade
47,Buildings,323709,323709,323784,323709,323709,323709,323709,323485,323485,329875,319293,318525,374817,245663,245663,245663,245663,244097,244097,135867,Upgrade
48,Machinery,832312,826996,826431,816485,816490,819272,821077,813761,815018,784360,655214,656371,882173,796234,796184,796950,796831,793697,792450,553841,Upgrade
49,Construction In Progress,60005,64526,60526,64444,64253,61666,61200,66198,67657,62177,222669,217678,201919,168897,26515,4384,2450,7634,10192,370658,Upgrade
