,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1087656,1007019,920757,947011,963888,939510,1042649,1121411,1050150,1008895,1134538,1517092,1404576,973051,977678,1025482,942210,1080997,755618,747908,678514,Upgrade
1,Market Cap Growth,7.19%,7.19%,-11.69%,-15.55%,-8.21%,-6.88%,-8.10%,-26.08%,-25.23%,3.68%,16.04%,47.94%,49.07%,-9.99%,29.39%,37.11%,38.86%,20.45%,-21.60%,-27.93%,-30.05%,Upgrade
2,Enterprise Value,552457,909579,791055,1051669,1107410,1137539,935050,1013070,824734,952971,1197681,1088353,1229580,803331,602937,940829,731960,930642,699577,450097,141665,Upgrade
3,Last Close Price,58000.00,53700.00,49100.00,49008.86,49882.28,48620.67,53958.27,56070.32,52507.32,50444.53,56726.66,74787.46,69240.80,58332.37,58609.70,58862.59,54082.77,62049.13,43372.43,42929.86,38946.67,Upgrade
4,PE Ratio,9.40,8.63,7.34,8.25,9.09,10.28,18.11,19.94,19.25,5.50,6.65,-,9.67,45.73,-,-,9.60,11.78,7.11,6.39,8.41,Upgrade
5,PS Ratio,0.62,0.57,0.54,0.57,0.60,0.63,0.68,0.74,0.68,0.63,0.82,1.36,1.33,0.89,0.85,0.75,0.70,0.89,0.57,0.54,0.48,Upgrade
6,PB Ratio,0.73,0.67,0.63,0.66,0.67,0.67,0.78,0.83,0.77,0.74,0.86,1.15,1.05,0.99,0.94,0.93,0.85,0.99,0.71,0.71,0.68,Upgrade
7,P/TBV Ratio,0.67,0.67,0.63,0.66,0.67,0.67,0.78,0.83,0.77,0.74,0.86,1.15,1.05,0.99,0.94,0.94,0.86,0.99,0.72,0.72,0.68,Upgrade
8,P/FCF Ratio,3.31,3.06,3.18,-,4.19,12.39,-,-,-,-8.98,9.04,-,-,3.07,-,11.69,-10.54,-,-14.50,-,-,Upgrade
9,P/OCF Ratio,2.95,2.95,3.03,-,3.99,10.82,-92.01,-,-,-12.45,7.38,-,-,1.93,-,9.14,-10.75,-,30.38,-,-,Upgrade
10,EV/Sales Ratio,0.31,0.51,0.46,0.63,0.69,0.76,0.61,0.67,0.53,0.59,0.87,0.98,1.16,0.74,0.52,0.69,0.54,0.76,0.52,0.33,0.10,Upgrade
11,EV/EBITDA Ratio,3.10,5.11,4.16,5.99,6.44,7.41,7.40,8.06,6.93,7.60,11.87,14.72,15.86,9.75,6.87,9.06,7.17,10.86,6.22,3.85,1.17,Upgrade
12,EV/EBIT Ratio,5.30,8.72,6.85,10.45,11.68,14.51,19.46,-,-,19.43,42.73,-,-,64.01,-,-,35.51,83.55,15.29,-,-,Upgrade
13,EV/FCF Ratio,1.68,2.77,2.73,-,4.81,15.00,-,-,-,-8.48,9.54,-,-,2.54,-,10.72,-8.19,-,-13.42,-,-,Upgrade
14,Debt / Equity Ratio,0.21,0.21,0.21,0.23,0.27,0.43,0.29,0.25,0.28,0.09,0.23,0.18,-,0.04,-,-,0.14,0.17,0.19,0.18,-,Upgrade
15,Debt / EBITDA Ratio,1.76,1.04,1.41,4.10,3.36,1.72,2.50,5.03,9.36,0.51,1.95,6.09,-,0.27,-,-,1.73,1.11,1.81,3.94,-,Upgrade
16,Debt / FCF Ratio,0.95,0.95,1.05,-,1.67,7.93,-,-,-,-1.10,2.39,-,-,0.12,-,-,-1.67,-,-3.84,-,-,Upgrade
17,Asset Turnover,1.28,0.95,0.52,0.66,1.13,0.89,0.44,0.50,1.43,0.87,0.55,0.70,1.17,0.39,0.51,0.89,1.30,0.94,0.50,0.57,Upgrade,
18,Inventory Turnover,9.22,12.01,8.74,6.65,8.47,11.18,7.37,4.24,5.50,15.25,8.01,6.06,8.60,14.90,5.81,8.26,9.75,11.41,7.57,5.23,4.65,Upgrade
19,Quick Ratio,1.43,1.43,0.94,1.11,0.68,0.51,0.51,1.14,1.07,1.11,0.88,0.68,1.43,0.80,1.13,1.90,1.28,1.02,1.01,0.85,1.54,Upgrade
20,Current Ratio,1.70,1.70,1.76,1.78,1.65,1.38,1.39,1.53,1.43,1.47,1.29,1.24,1.84,1.11,1.99,2.71,1.91,1.67,1.52,1.54,2.12,Upgrade
21,Return on Equity (ROE),15.19%,9.39%,2.50%,4.90%,20.28%,6.93%,0.07%,0.80%,12.22%,6.69%,-0.43%,45.26%,7.78%,-1.27%,-0.47%,2.72%,13.77%,3.58%,19.09%,0.44%,Upgrade,
22,Return on Assets (ROA),6.49%,4.56%,0.05%,1.35%,7.68%,2.83%,-0.72%,-0.61%,4.84%,2.85%,-0.87%,-0.30%,2.56%,-1.03%,-0.44%,0.90%,3.86%,1.58%,-3.22%,-0.71%,Upgrade,
23,Return on Capital (ROIC),7.75%,5.19%,0.05%,1.54%,8.89%,3.19%,-0.80%,-0.72%,5.86%,3.30%,-1.06%,-0.44%,3.73%,-1.33%,-0.53%,1.06%,4.65%,1.86%,-3.94%,-1.02%,Upgrade,
