,Fiscal Quarter,Current,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018
,Period Ending,"Mar '25 Mar 10, 2025","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018"
0,Debt / Equity Ratio,0.93,0.93,0.97,0.97,1.21,1.39,-,1.46,-,2.04,-
1,Debt / EBITDA Ratio,-,9.99,9.90,5.36,10.71,6.16,-,5.38,-,12.90,-
2,Debt / FCF Ratio,-,-,-,7.10,-,7.16,-,18.65,-,-,-
3,Asset Turnover,-,-,0.32,0.13,-,-,-,-,-,-,
4,Inventory Turnover,-,-,-,0.37,0.13,-,-,-,-,-,-
5,Quick Ratio,0.20,0.20,-,0.24,0.30,0.34,-,0.38,-,0.38,-
6,Current Ratio,1.23,1.23,-,1.28,1.49,1.50,-,1.38,-,1.51,-
7,Return on Equity (ROE),6.53%,7.74%,25.16%,15.14%,-,-,-,-,-,-,
8,Return on Assets (ROA),-,-,3.52%,1.94%,-,-,-,-,-,-,
9,Return on Capital (ROIC),2.53%,3.56%,5.04%,2.70%,-,-,-,-,-,-,
10,Return on Capital Employed (ROCE),-,7.43%,-,10.07%,9.64%,9.72%,-,8.93%,-,3.21%,-
11,Payout Ratio,0.00%,-,-,21.03%,106.16%,2.75%,2.90%,-,47.20%,1.78%,1.73%
12,Buyback Yield / Dilution,3.75%,10.33%,4.45%,-3.81%,-16.12%,-,-,-,-,-,-
13,Total Shareholder Return,5.78%,10.33%,4.45%,-3.81%,-16.12%,-,-,-,-,-,-
