,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest Income on Loans,36469268,34326293,33896893,33595982,37496113,38104286,39425710,37735207,33993242,30624151,29431951,26951389,24788930,25989671,26171067,24058240,25959175,24735264,23457585,26535478,Upgrade
1,Interest Paid on Deposits,20830515,20336569,19059130,20054622,22627024,24321190,25878522,23799014,19565041,16525726,14824806,14125462,13929813,13785010,13241606,13228171,15394359,15590975,16518542,17386827,Upgrade
2,Net Interest Income,15638753,13989724,14837763,13541360,14869089,13783096,13547188,13936193,14428201,14098425,14607145,12825927,10859117,12204661,12929461,10830069,10564816,9144289,6939043,9148651,Upgrade
3,Net Interest Income Growth (YoY),5.18%,1.50%,9.53%,-2.83%,3.06%,-2.24%,-7.26%,8.66%,32.87%,15.52%,12.98%,18.43%,2.79%,33.47%,86.33%,18.38%,10.28%,4.49%,-23.76%,7.06%,Upgrade
4,Income From Trading Activities,103864,-549402,591273,-124243,3149538,-180464,113573,65565,171731,57197,-1812,-313,565382,149040,-40461,119711,507136,398202,1038000,51467,Upgrade
5,Gain (Loss) on Sale of Investments,5164422,-,-,-,-,-,28924,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Gain (Loss) on Sale of Equity Investments,-,-,189291,91705,65965,-,-,65968,40618,-,149922,45636,32805,-,100293,36693,46258,-,36278,44270,Upgrade
7,Other Non-Interest Income,5498291,3818266,4606536,3662412,2506007,4284229,3567476,3210670,2926259,3398906,3376187,3355550,3893101,2893075,4302371,3618571,4364023,2850077,2810170,2094464,Upgrade
8,Total Non-Interest Income,10766577,3268864,5387100,3629874,5721510,4103765,3709973,3342203,3138608,3456103,3524297,3400873,4491288,3042115,4362203,3774975,4917417,3248279,3884448,2190201,Upgrade
9,Non-Interest Income Growth (YoY),88.18%,-20.34%,45.21%,8.61%,82.29%,18.74%,5.27%,-1.73%,-30.12%,13.61%,-19.21%,-9.91%,-8.67%,-6.35%,12.30%,72.36%,14.83%,14.52%,35.61%,1.39%,Upgrade
10,Revenues Before Loan Losses,26405330,17258588,20224863,17171234,20590599,17886861,17257161,17278396,17566809,17554528,18131442,16226800,15350405,15246776,17291664,14605044,15482233,12392568,10823491,11338852,Upgrade
