,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Investments in Debt Securities,151000,100000,59299,50000,102701,51701,51701,51701,186701,101701,251701,101701,243701,198701,386000,150000,342000,100000,263000,100000,Upgrade
1,Investments in Equity & Preferred Securities,296515,199615,199615,199615,200105,200010,200105,200105,200197,200197,200715,200715,201986,201986,201986,201986,202965,202731,202965,202965,Upgrade
2,Other Investments,3322000,3441000,3356000,3242000,3027000,3145000,3237000,3227300,2972140,3120195,3079195,3091195,2583195,2457140,2467690,2504690,2068903,2172903,2132903,2095903,Upgrade
3,Total Investments,4014637,3961251,3853813,3712769,3557991,3609505,3699996,3687942,3585413,3655372,3746902,3634058,3286100,3118242,3316205,3161475,2810414,2656685,2816081,2736658,Upgrade
4,Cash & Equivalents,256413,177507,341815,181629,210148,272360,152970,168725,246537,86031,181742,220659,257772,215058,251175,149829,299507,274680,236765,236268,Upgrade
5,Reinsurance Recoverable,2090444,1512748,1325974,1672629,1514585,1751622,1721718,1950378,1722708,2285457,2114303,2540433,2315027,1348914,2233583,2305228,1855594,1961951,1667276,1778204,Upgrade
6,Other Receivables,669259,360917,632802,385942,749634,324539,855821,233844,660670,257916,538329,150714,548383,540467,170266,234807,528348,271816,521347,309835,Upgrade
7,"Property, Plant & Equipment",98243,97721,101743,99894,99611,103145,105551,102151,104685,107356,109282,111950,113744,116283,109731,112484,101758,102326,104225,105689,Upgrade
8,Other Intangible Assets,181847,181694,182498,183456,184426,183450,184355,185252,186170,187114,188132,189139,190339,191538,192725,193898,291640,292299,292482,198653,Upgrade
9,Other Current Assets,724305,746058,799353,693076,662237,589368,582177,653080,628875,540378,526765,482464,366305,420941,357558,322772,290383,270962,299065,324063,Upgrade
10,Long-Term Deferred Tax Assets,16963,16963,16122,17658,13140,17154,16599,19195,20124,19452,22412,23604,25079,26509,27241,29711,18249,18249,10359,10359,Upgrade
11,Other Long-Term Assets,47165,48722,48992,57140,50134,44614,83211,36315,38987,38890,35698,34192,35433,40888,42917,41349,45106,48866,44338,39175,Upgrade
12,Total Assets,8099277,7103580,7303111,7004195,7041907,6895758,7402397,7036881,7194168,7177968,7463565,7387212,7138182,6018840,6701399,6551552,6241000,5897834,5991939,5738904,Upgrade
13,Accounts Payable,-,-,-,-,-,-,-,-,48818,-,-,-,33441,33048,42030,-,-,-,52260,-,Upgrade
14,Accrued Expenses,680328,635113,717577,685579,622068,667534,783536,717151,696794,757348,711785,719989,643574,508951,630562,584955,278160,245638,197668,679129,Upgrade
