,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,9847871,10731969,9708707,8186094,9004703,8538096,7040041,7563951,4780679,4911656,4715190,4723376,5026262,4903470,4322258,4854354,4772493,5124495,4985331,4248583,2779179,Upgrade
1,Market Cap Growth,25.70%,25.70%,37.91%,8.23%,88.36%,73.83%,49.31%,60.14%,-4.89%,0.17%,9.09%,-2.70%,5.32%,-4.31%,-13.30%,14.26%,71.72%,38.50%,18.95%,21.83%,-30.07%,Upgrade
2,Enterprise Value,7988598,8495619,8011031,5991741,7046504,6557864,5006420,5607132,3507989,3711812,3740680,3829008,4095597,4143269,3486359,3736254,3422065,3874474,3864979,3349642,2145439,Upgrade
3,Last Close Price,120300.00,131100.00,113462.16,95667.92,99844.86,94671.08,72775.18,78191.01,46337.98,47607.51,43357.52,43432.79,45115.54,43082.46,37975.86,42650.91,40876.25,42475.29,39410.51,32964.33,20639.89,Upgrade
4,PE Ratio,9.94,10.83,9.55,8.75,9.48,8.20,6.83,7.59,5.64,7.07,8.38,13.07,19.49,22.87,-,12.45,9.47,9.81,9.85,8.98,6.40,Upgrade
5,Forward PE,10.10,10.90,10.07,8.56,9.22,10.43,8.18,11.31,8.04,8.37,9.06,10.45,12.10,14.73,14.11,10.73,11.23,10.90,10.92,9.55,6.99,Upgrade
6,PS Ratio,2.13,2.33,1.94,1.80,1.91,1.66,1.38,1.33,0.81,0.85,0.81,0.97,1.06,1.08,0.97,0.97,0.99,1.09,1.10,0.94,0.63,Upgrade
7,PB Ratio,3.65,3.97,3.30,3.09,3.13,3.17,2.37,2.74,1.65,1.87,1.79,1.93,2.08,2.14,1.89,2.10,2.00,2.07,2.11,1.74,1.08,Upgrade
8,P/TBV Ratio,3.98,3.98,3.31,3.10,3.13,3.18,2.38,2.75,1.65,1.88,1.80,1.93,2.08,2.15,1.90,2.11,2.00,2.08,2.12,1.75,1.09,Upgrade
9,P/FCF Ratio,12.44,13.56,8.61,-,8.32,5.53,-,4.48,3.21,6.74,8.02,18.49,-,-25.80,-,-,-,6.23,4.43,4.83,3.24,Upgrade
10,P/OCF Ratio,12.07,12.07,7.91,11.93,7.91,5.33,-,4.39,3.08,6.15,5.63,11.23,-,-159.78,-,-,-,5.58,4.13,3.98,2.60,Upgrade
11,EV/Sales Ratio,1.73,1.84,1.60,1.32,1.49,1.27,0.98,0.99,0.59,0.64,0.64,0.79,0.86,0.91,0.79,0.74,0.71,0.83,0.85,0.74,0.48,Upgrade
12,EV/EBITDA Ratio,5.61,5.97,5.41,4.44,5.15,4.36,3.33,3.75,2.63,3.24,3.77,5.35,6.99,7.88,6.82,4.47,3.52,3.89,3.84,3.99,2.71,Upgrade
13,EV/EBIT Ratio,6.09,6.47,5.95,4.97,5.82,4.92,3.75,4.25,3.02,3.81,4.56,7.09,10.17,12.37,-,6.86,5.05,5.55,5.73,5.22,3.57,Upgrade
14,EV/FCF Ratio,10.09,10.73,7.10,-,6.51,4.24,-,3.32,2.36,5.09,6.36,14.99,-,-21.80,-,-,-,4.71,3.43,3.81,2.50,Upgrade
15,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,Upgrade
16,Debt / EBITDA Ratio,0.04,0.04,0.03,0.03,0.05,0.04,0.05,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.76,0.11,0.08,0.07,0.04,0.05,0.07,Upgrade
17,Debt / FCF Ratio,0.07,0.07,0.05,-,0.05,0.04,-,0.03,0.04,0.08,0.09,0.22,-,-0.30,-,-,-,0.07,0.05,0.06,0.06,Upgrade
18,Asset Turnover,1.25,1.71,1.40,1.19,1.73,1.06,1.54,1.78,1.84,1.99,2.13,1.88,2.11,0.79,2.05,1.56,1.66,1.43,1.68,1.41,Upgrade,
19,Inventory Turnover,6.35,5.76,7.88,6.43,6.35,7.87,4.39,7.45,7.47,6.30,6.65,6.66,6.18,7.37,3.28,9.01,8.39,9.73,7.23,8.61,7.04,Upgrade
20,Quick Ratio,4.30,4.30,4.41,4.65,4.01,3.96,4.54,3.08,4.40,3.86,3.64,2.76,2.64,2.27,4.06,2.60,2.96,3.10,2.00,2.69,3.45,Upgrade
