,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Investments in Debt Securities,92536740,87428564,81252363,79038199,73184586,64824548,64363505,61458914,58708131,50645834,49272862,50903264,48176954,39202458,36249800,33952843,31859316,30286591,31453239,32085378,Upgrade
1,Investments in Equity & Preferred Securities,4073567,4051927,4023033,3893523,3872981,3862775,3869837,3926230,3808187,3808548,3838288,3975114,4052998,3970181,3774559,3802384,2837443,3533882,2871379,3777056,Upgrade
2,Other Investments,113727912,111598492,115977485,107951215,100573120,121229517,127193772,112969963,105533966,116098031,99628774,89378213,77592953,84320610,83789649,83376660,88704780,83310566,76903481,68588108,Upgrade
3,Total Investments,213963150,206614237,204460946,193989119,180436959,192946656,198187779,181025781,170816284,173307397,155695660,147098216,132349204,129435204,125838776,123470700,125781670,119532548,113725538,107065013,Upgrade
4,Cash & Equivalents,2492005,5992291,7527515,4783514,12343768,7054396,2647941,2206498,2252599,3138065,10762739,5354092,15871857,2860227,4378343,6780742,3177060,1896259,2902042,4742602,Upgrade
5,Reinsurance Recoverable,4611957,3771667,3717126,3817655,3772721,3683789,3771426,3486052,3268291,3012432,2798326,2593324,2917913,2944700,2978759,3091767,2894009,3848698,4102866,4173569,Upgrade
6,Other Receivables,10055179,11446265,11330009,11396283,11781497,10295359,9188835,8424850,8420790,7952357,8605601,8706210,8439477,8284785,7677968,7374408,7504560,7124967,7331361,6867779,Upgrade
7,"Property, Plant & Equipment",1012112,1013345,1108483,1331113,1370530,1380926,1397817,1416466,1419899,1412204,1420185,1416004,1385615,1374637,1425360,1421576,1415612,1387336,1318421,1364425,Upgrade
8,Other Intangible Assets,1043503,1067173,1078264,858977,866172,886789,888456,904305,912993,935752,940197,960215,938805,957508,912616,929007,944766,961597,978609,977787,Upgrade
9,Other Current Assets,4779476,4681303,4798963,4657735,4462395,4240139,4109306,3912856,3523512,3309170,3284060,3145485,3033632,3000163,3129049,3043597,2918121,2779059,2680101,2631321,Upgrade
10,Long-Term Deferred Tax Assets,11347,11003,11285,11406,19150,18280,18080,17776,18821,19146,19339,18415,12557,13116,12817,12137,14581,25183,30689,43189,Upgrade
11,Other Long-Term Assets,250377,246359,238987,255801,240020,264693,251384,269393,209139,208264,198750,212638,208891,231621,249760,288865,310565,319801,362457,372552,Upgrade
12,Total Assets,238219106,234843642,234271578,221101603,215293212,220771027,220461025,201663976,190842328,193294789,183724857,169504599,165157950,149101961,146603447,146412801,144960944,137875448,133432083,128238238,Upgrade
13,Accounts Payable,44373,55237,25551,42701,20672,23657,27456,57162,41125,52745,59654,68257,25693,21676,25823,58830,32265,33723,290818,45978,Upgrade
14,Accrued Expenses,2664296,2258419,1969142,2619552,2612099,2216647,1974686,2528854,2846728,2558261,2443924,2855488,3063265,2311560,1728622,2064414,1978465,1727269,1329791,1670661,Upgrade
