,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Revenue,1190521,942459,1034301,791699,1127886,840493,876877,680630,1043251,860139,847031,733326,1017223,651686,774480,675478,859767,740550,691902,733119,Upgrade
1,Revenue Growth (YoY),5.55%,12.13%,17.95%,16.32%,8.11%,-2.28%,3.52%,-7.19%,2.56%,31.99%,9.37%,8.56%,18.31%,-12.00%,11.94%,-7.86%,11.84%,14.88%,7.94%,49.22%,Upgrade
2,"Selling, General & Admin",174724,171374,156833,140614,176698,142275,137004,126412,142271,125246,132374,102264,142360,101314,114561,112032,147517,118013,111630,111899,Upgrade
3,Other Operating Expenses,695388,547810,623107,399464,648560,473712,494251,347965,705869,510529,460748,385534,633497,345791,456333,368465,512032,431059,394199,451968,Upgrade
4,Total Operating Expenses,870112,719184,779940,540077,825258,615987,631255,474378,848140,635775,593123,487798,775857,447105,570894,480497,659550,549072,505829,563868,Upgrade
5,Operating Income,320409,223275,254361,251621,302628,224506,245621,206253,195112,224364,253909,245527,241366,204581,203586,194981,200217,191479,186073,169251,Upgrade
6,Interest Expense,-111362,-78964,-56914,-81532,-128897,-85628,-56645,-73152,-47763,-49222,-35912,-37544,-60683,-41051,-49399,-26715,-39899,-41964,-38889,-35523,Upgrade
7,Interest Income,15623,52702,40241,21074,19403,43978,17116,38006,24620,40249,34159,5563,14709,31268,15029,22890,6968,18335,15277,1877,Upgrade
8,Net Interest Expense,-95739,-26262,-16673,-60458,-109495,-41649,-39529,-35146,-23143,-8974,-1753,-31980,-45974,-9783,-34369,-3825,-32931,-23629,-23612,-33646,Upgrade
