,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2014,Q2 2013
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '14 Jun 30, 2014","Jun '13 Jun 30, 2013"
0,Cash & Equivalents,10975,2174.0,-,-
1,Short-Term Investments,21,20.0,-,-
2,Cash & Short-Term Investments,10996,2194.0,-,-
3,Accounts Receivable,167119,130752.0,-,-
4,Other Receivables,105539,185629.0,-,-
5,Receivables,272658,316382.0,-,-
6,Inventory,254588,274216.0,-,-
7,Other Current Assets,389618,369402.0,-,-
8,Total Current Assets,927860,962194.0,-,-
9,"Property, Plant & Equipment",108303,80296.0,-,-
10,Long-Term Investments,-,610.0,-,-
11,Other Intangible Assets,2348,2348.0,-,-
12,Long-Term Accounts Receivable,85.79,85.79,-,-
13,Other Long-Term Assets,93012,93535.0,-,-
14,Total Assets,1131608,1139068.0,-,-
15,Accounts Payable,7477,1740.0,-,-
16,Accrued Expenses,46045,38313.0,-,-
17,Short-Term Debt,92977,81346.0,-,-
18,Current Portion of Long-Term Debt,41565,31315.0,-,-
19,Current Income Taxes Payable,13904,15322.0,-,-
20,Current Unearned Revenue,28835,66.0,-,-
21,Other Current Liabilities,22470,88510.0,-,-
22,Total Current Liabilities,253274,256613.0,-,-
23,Long-Term Debt,152061,191551.0,-,-
24,Long-Term Deferred Tax Liabilities,2290,5050.0,-,-
25,Total Liabilities,407625,453213.0,-,-
26,Common Stock,595814,595814.0,-,-
27,Retained Earnings,128169,90041.0,-,-
28,Shareholders' Equity,723983,685855.0,-,-
29,Total Liabilities & Equity,1131608,1139068.0,-,-
30,Total Debt,286603,304212.0,-,-
31,Net Cash (Debt),-275607,-302018.0,-,-
32,Net Cash Per Share,-4625.72,-5513.55,-,-
33,Filing Date Shares Outstanding,59.58,54.78,-,-
34,Total Common Shares Outstanding,59.58,54.78,-,-
35,Working Capital,674586,705581.0,-,-
36,Book Value Per Share,12151.16,12520.79,-,-
37,Tangible Book Value,721635,683507.0,-,-
38,Tangible Book Value Per Share,12111.75,12477.93,-,-
39,Construction In Progress,102574,73764.0,-,-
