,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2014,Q2 2013
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '14 Jun 30, 2014","Jun '13 Jun 30, 2013"
0,Revenue,51308,78625,9520,18658
1,Cost of Revenue,33697,51960,7924,17784
2,Gross Profit,17611,26665,1596,874.09
3,"Selling, General & Admin",3323,6346,-,-
4,Operating Expenses,3323,6346,-,-
5,Operating Income,14288,20319,1596,874.09
6,Interest Expense,-8031,-7888,-,-
7,Interest & Investment Income,121.19,-,-,-
8,Other Non Operating Income (Expenses),-2703,-1792,-,-
9,Pretax Income,3675,10639,1596,874.09
10,Income Tax Expense,686.27,1202,343.92,123.28
11,Net Income,2989,9437,1252,750.81
12,Net Income to Common,2989,9437,1252,750.81
13,Shares Outstanding (Basic),60,55,-,-
14,Shares Outstanding (Diluted),60,55,-,-
15,EPS (Basic),50.17,172.28,-,-
16,EPS (Diluted),50.17,172.28,-,-
17,Gross Margin,34.32%,33.91%,16.76%,4.68%
18,Operating Margin,27.85%,25.84%,16.76%,4.68%
19,Profit Margin,5.83%,12.00%,13.15%,4.02%
20,EBITDA,14898,-,-,-
21,EBITDA Margin,29.04%,-,-,-
22,D&A For EBITDA,609.78,-,-,-
23,EBIT,14288,20319,1596,874.09
24,EBIT Margin,27.85%,25.84%,16.76%,4.68%
25,Effective Tax Rate,18.67%,11.30%,21.55%,14.10%
26,Revenue as Reported,51308,78625,-,-
