,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,743834,706560,699294,878055,766306,732067,843287,748051,1857468,2183825,994949,711748,636672,258740,1001073,963548,2425174,1821064,655833,472022,Upgrade
1,Revenue Growth (YoY),-2.93%,-3.48%,-17.08%,17.38%,-58.74%,-66.48%,-15.24%,5.10%,191.75%,744.02%,-0.61%,-26.13%,-73.75%,-85.79%,52.64%,104.13%,610.25%,309.96%,44.25%,-17.60%,Upgrade
2,Cost of Revenue,373202,287622,296110,406602,354284,466341,641622,472395,1553969,1854611,542696,452747,555906,189241,641503,649414,2063771,1484089,393345,288181,Upgrade
3,Gross Profit,370632,418938,403184,471453,412022,265726,201665,275656,303500,329214,452252,259001,80766,69499,359570,314134,361403,336975,262488,183841,Upgrade
4,"Selling, General & Admin",163414,116487,136024,211072,244897,81047,120486,101877,155032,106573,157379,119858,139915,119647,166880,130741,194235,219878,144548,131367,Upgrade
5,Operating Expenses,163414,116487,136024,211072,244897,81047,120486,101877,155032,106573,157379,119858,139915,119647,166880,130741,194235,219878,144548,131367,Upgrade
6,Operating Income,207218,302451,267160,260380,167125,184679,81179,173780,148468,222641,294874,139143,-59149,-50147,192691,183393,167168,117096,117940,52474,Upgrade
7,Interest Expense,-567095,-347350,-295366,-376604,-1047659,-371770,-364116,-287948,-293781,-322911,-212175,-290289,-319710,-257524,-294690,-261882,-202665,-255079,-214968,-228401,Upgrade
8,Interest & Investment Income,-,179203,82547,101482,-,270621,291542,216363,222298,177433,193607,112340,135456,373959,217012,95378,260209,289194,101920,94408,Upgrade
9,Earnings From Equity Investments,-,-,-,120.53,-62225,23724,-2011,20133,46502,20610,-11607,20303,-21038,20508,-11943,18006,2814,12146,-368.98,-10660,Upgrade
10,Other Non Operating Income (Expenses),747689,-18496,149699,-61342,1286276,-3280,-48856,-48790,-134913,1743,-80354,-24708,-178867,-21147,-120631,63951,-43156,-49547,5015,10200,Upgrade
11,EBT Excluding Unusual Items,387813,115808,204040,-75963,343517,103973,-42261,73536,-11426,99516,184345,-43211,-443307,65649,-17561,98846,184369,113811,9539,-81979,Upgrade
12,Gain (Loss) on Sale of Investments,-392465,-,-74638,415607,-,-,-51769,-,879620,-,-25568,-44015,39210,-,-59638,-1261,-102061,-,46850,406005,Upgrade
13,Gain (Loss) on Sale of Assets,-6188,-,3096,-,-172370,-,172390,-,-805905,-,8701,797203,10446,-,208111,-,-3077,-,34325,7039,Upgrade
14,Other Unusual Items,18238,-,-1887,-,-7626,-,7561,-,2167,-,-2167,2055,-11524,-,4650,564.82,3447,-,757.96,2999,Upgrade
15,Pretax Income,7398,115808,130610,339644,163522,103973,85920,73536,64455,99516,165312,712032,-405174,65649,135563,98150,82678,113811,91471,334064,Upgrade
16,Income Tax Expense,-71917,20341,9987,16764,7666,7747,2892,38695,56305,47838,49817,26806,-37185,55001,68375,50072,71164,32611,-13011,59236,Upgrade
17,Earnings From Continuing Operations,79315,95467,120623,322880,155856,96226,83028,34842,8150,51678,115495,685226,-367990,10647,67188,48078,11514,81200,104482,274827,Upgrade
