,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,312075,20030,120602,28509,169252,25743,71181,26767,173594,-,417554,-,85722,29415,50503,194968,154591,125856,45048,21361,Upgrade
1,Short-Term Investments,44250,43550,38200,37550,24800,-,-,-,-,-,-,-,-,252400,147000,-,66000,-,38,-,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,100000,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,356325,63580,158802,66059,194052,25743,171182,26767,173594,-,417554,85722,85722,281815,197503,194968,220591,125856,45086,21361,Upgrade
4,Cash Growth,83.62%,146.98%,-7.23%,146.79%,11.78%,-,-59.00%,-68.77%,102.51%,-,111.42%,-56.03%,-61.14%,123.92%,338.06%,812.71%,179.79%,70.47%,33.60%,-71.05%,Upgrade
5,Accounts Receivable,218422,370108,321493,282183,243719,162829,109850,107592,78213,-,34888,-,8577,43152,6826,18656,7380,5017,8060,13739,Upgrade
6,Other Receivables,1074454,1152081,1114600,1045346,1116874,1030638,791869,1001397,937478,-,725402,-,998598,2084,1347,872.36,1835,81.91,299.43,2661,Upgrade
7,Receivables,1292876,1522188,1436093,1327529,1360594,1193467,1051719,1258988,1165691,-,760290,-,1007176,45235,8173,19528,9215,5099,8360,16400,Upgrade
8,Inventory,897660,767653,788806,751531,627895,908693,1011664,1008376,670560,-,602474,-,498592,488152,439995,435172,514674,468526,483287,524550,Upgrade
9,Prepaid Expenses,4585,13971,23498,31451,6295,35349,46451,75132,2264,-,5858,-,1329,-,-,-,-,-,-,-,Upgrade
10,Other Current Assets,36339,64114,70392,54966,182570,215029,224716,55078,325050,-,472799,-,69730,96979,64406,43414,51751,30739,27151,27939,Upgrade
11,Total Current Assets,2587785,2431506,2477590,2231536,2371406,2378282,2505731,2424341,2337160,-,2258975,-,1662549,912181,710078,693081,796232,630220,563884,590251,Upgrade
12,"Property, Plant & Equipment",714650,745331,774181,830287,858380,883038,909117,924206,951674,-,848444,-,748836,695362,644887,625433,585100,569924,590006,599121,Upgrade
