,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,66281,87994,115254,102046,463442,150969,134279,162365,229856,203388,198290,136959,115943,296057,339191,200586,353827,131726,206388,172952,Upgrade
1,Short-Term Investments,483207,409249,402889,382083,216623,389284,405082,370749,320079,385379,399779,383507,387807,196894,209072,286963,164889,217263,102117,163188,Upgrade
2,Cash & Short-Term Investments,549488,497242,518143,484129,680065,540252,539361,533114,549935,588767,598069,520466,503751,492950,548264,487549,518716,348989,308505,336140,Upgrade
3,Cash Growth,-19.20%,-7.96%,-3.93%,-9.19%,23.66%,-8.24%,-9.82%,2.43%,9.17%,19.44%,9.08%,6.75%,-2.89%,41.25%,77.72%,45.04%,13.89%,-5.35%,-15.18%,1.99%,Upgrade
4,Accounts Receivable,416433,581806,441690,623465,358167,558414,498515,605843,567981,532383,412517,573921,469398,288514,305409,368956,346127,418097,359792,425072,Upgrade
5,Other Receivables,7110,1749,2042,1626,5596,3195,4552,6223,9453,4470,7589,21716,7957,6899,7691,9131,11593,11857,11233,18909,Upgrade
6,Receivables,423543,583555,443732,625091,363763,561608,503067,612066,577433,536853,420106,595637,477356,295412,313100,378087,357720,429953,371025,443981,Upgrade
7,Inventory,97970,89666,69419,92197,56715,92206,122582,55314,79434,55636,130713,130229,110683,56820,84589,68204,107219,124908,158810,96791,Upgrade
8,Prepaid Expenses,-,42.22,123.78,20.73,28.5,6.39,20.22,34.06,47.89,8.12,4.21,15.28,26.35,26.9,41.87,22.65,44.63,2096,127.18,33.89,Upgrade
9,Other Current Assets,144364,63698,90512,44435,31286,16453,17054,40094,79650,27943,84631,54750,60064,173430,105375,96807,112077,113473,178169,211074,Upgrade
10,Total Current Assets,1215365,1234204,1121930,1245872,1131857,1210526,1182084,1240622,1286500,1209208,1233523,1301097,1151880,1018640,1051370,1030670,1095776,1019419,1016636,1088020,Upgrade
11,"Property, Plant & Equipment",167947,178187,188276,198608,208902,222390,226882,237212,247541,256369,266585,281315,276029,291076,308087,311206,320150,329615,334821,280420,Upgrade
12,Long-Term Investments,-,-,-,-,-,6052,6052,6052,16052,16419,16419,16419,16419,16419,32229,42229,42229,36419,26419,26419,Upgrade
13,Other Intangible Assets,32842,33092,33171,33412,33653,33894,34135,34376,34617,34858,35099,35340,35581,35821,36062,36303,36544,36785,37026,37267,Upgrade
