,Fiscal Quarter,Q2 2020,Q1 2020,Q4 2019,Q2 2019,Q1 2019,Q4 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,+20 Quarters
,Period Ending,"Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014",+20 Quarters
0,Cash & Equivalents,19491,18629,31035,-,16595,15079,36128,13016,1752,1754,-,8429,-,826.49,-,8503,3997,2653,-,6579,Upgrade
1,Short-Term Investments,10000,10000,11000,-,10000,10000,0.49,0.49,0.49,-,-,0.49,-,0.49,-,-,-,0.49,-,0.49,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,0.49,-,-,-,-,-,0.49,0.49,-,-,-,Upgrade
3,Cash & Short-Term Investments,29491,28630,42036,-,26595,25080,36129,13016,1752,1754,-,8430,-,826.98,-,8504,3997,2654,6579,6579,Upgrade
4,Cash Growth,10.89%,14.16%,16.35%,-,1417.83%,1329.45%,-,54.41%,-,112.16%,-,-0.87%,-,-68.84%,-,29.25%,158.44%,-47.87%,231.79%,-53.74%,Upgrade
5,Accounts Receivable,134477,103022,163037,-,16623,61823,75327,96885,50817,44830,-,76469,-,123042,-,101368,64970,68253,-,71839,Upgrade
6,Other Receivables,17962,18640,17330,-,14079,12754,14441,15575,14214,35017,-,12814,-,12072,-,12442,14399,1068,-,12164,Upgrade
7,Receivables,152439,121662,180367,-,30702,74577,89768,112459,65031,79847,-,89284,-,135114,-,113810,79369,69321,-,84003,Upgrade
8,Inventory,329978,339960,309261,-,225514,205322,212005,193274,209435,152502,-,97882,-,70740,-,99885,110766,103008,-,107027,Upgrade
9,Prepaid Expenses,468.22,510.66,1555,-,237.02,344.72,63.07,70.54,63.1,63.25,-,83.72,-,49.37,-,17.34,6.27,-,-,18.15,Upgrade
10,Other Current Assets,7525,6596,3942,-,10483,8533,10187,8765,12638,10837,-,4078,-,1966,-,1739,4936,2501,-,4771,Upgrade
11,Total Current Assets,519901,497358,537161,-,293531,313856,348152,327586,288920,245005,-,199758,-,208696,-,223954,199075,177483,-,202399,Upgrade
12,"Property, Plant & Equipment",38676,39236,41323,-,19616,20955,13592,12840,13706,10577,-,9060,-,9629,-,8449,8511,6576,-,8212,Upgrade
13,Long-Term Investments,1000,1000,-,-,48.4,76.05,102.46,102.46,100.77,100.77,-,112.88,-,98.48,-,98.48,109.21,897.94,-,1109,Upgrade
14,Goodwill,63544,65216,67608,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Other Intangible Assets,1443,1826,725.23,-,-,-,-,1188,1188,1188,-,1188,-,1188,-,1188,1188,1188,-,1188,Upgrade
16,Long-Term Deferred Tax Assets,681.56,588.98,588.98,-,569.69,552.98,120.94,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Other Long-Term Assets,11336,12195,13210,-,12713,13333,5308,3877,4051,3415,-,4134,-,2020,-,1731,2604,10209,-,327.3,Upgrade
18,Total Assets,636581,617420,660616,-,326478,348774,367275,345594,307965,260285,-,214252,-,221631,-,235421,211487,196353,-,213235,Upgrade
19,Accounts Payable,61691,69076,87167,-,37591,68194,86448,107273,94527,88624,-,36303,-,37703,-,65275,48634,30259,-,40386,Upgrade
20,Accrued Expenses,7811,4128,11909,-,655.48,8394,1821,7442,11971,7254,-,7031,-,4971,-,8523,4299,3877,-,10816,Upgrade
21,Short-Term Debt,73157,61986,70970,-,15415,22465,50205,67300,75335,41684,-,56371,-,55203,-,60064,59562,46491,-,56267,Upgrade
22,Current Income Taxes Payable,5389,2653,10395,-,231.79,3972,2082,3347,1566,832.15,-,1996,-,7811,-,2084,1003,2399,-,3367,Upgrade
23,Current Unearned Revenue,87621,79561,80352,-,70771,58382,29904,-,-,-,-,6802,-,947.36,-,2752,-,-,-,-,Upgrade
24,Other Current Liabilities,30428,36439,46013,-,39383,27026,36950,45615,15115,13754,-,16689,-,27056,-,8628,13726,11350,-,21360,Upgrade
