,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,510263,235615,282979,277940,389058,259342,258765,236781,344972,244408,208920,217386,194787,149517,188744,170586,202986,136416,146556,185288,Upgrade
1,Revenue Growth (YoY),31.15%,-9.15%,9.36%,17.38%,12.78%,6.11%,23.86%,8.92%,77.10%,63.46%,10.69%,27.43%,-4.04%,9.60%,28.79%,-7.93%,-7.29%,-23.91%,-19.82%,8.36%,Upgrade
2,Cost of Revenue,444283,200261,243080,214468,307497,224330,216559,185645,251862,173989,144793,162941,131845,105783,131657,124198,150065,90979,105158,137407,Upgrade
3,Gross Profit,65980,35354,39898,63472,81561,35011,42206,51135,93109,70419,64127,54445,62943,43735,57088,46387,52921,45437,41398,47881,Upgrade
4,"Selling, General & Admin",43775,35937,34898,30264,47033,35012,21708,35435,42305,37747,36827,36936,29640,28119,29038,36575,31652,34960,34145,38975,Upgrade
5,Operating Expenses,43775,35937,34898,30264,47033,35012,21708,35435,42305,37747,36827,36936,29640,28119,29038,36575,31652,34960,34145,38975,Upgrade
6,Operating Income,22205,-583.21,5000,33208,34528,-0.55,20498,15701,50805,32672,27300,17509,33303,15616,28050,9813,21268,10477,7253,8906,Upgrade
7,Interest Expense,-6000,-5980,-6454,-6953,-8123,-7630,-,-14778,-12686,-9801,-7908,-9232,-10531,-3941,-10398,-11395,-7228,-8253,-8971,-8812,Upgrade
8,Interest & Investment Income,7940,8691,15238,2410,9239,9767,-,20665,13491,14028,13338,11973,8540,10625,23735,9170,16980,17681,18572,18238,Upgrade
9,Currency Exchange Gain (Loss),-,-,163.87,12.71,-605.77,-,-,-1170,-29.74,-,-,0.05,-2091,-,-,1859,1067,-,6968,-8208,Upgrade
10,Other Non Operating Income (Expenses),-19.36,190.15,330.26,-623.47,1607,-1170,1870,-2286,3475,134.22,229.26,-3743,1725,-1104,-232.57,5670,-149.67,519.31,147.39,-340.68,Upgrade
11,EBT Excluding Unusual Items,24126,2319,14278,28054,36644,966.23,22368,18132,55056,37033,32960,16507,30946,21196,41154,15116,31939,20425,23969,9783,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,1872,-,-,-,-,-,-,-,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,-370.64,-,-,370.64,-250.12,-,-,236.98,-,-,-,-,-171.36,-,-35,35,Upgrade
14,Pretax Income,24126,2319,14278,28054,36273,966.23,22368,18503,54806,37033,32960,16744,32818,21196,41154,15116,31768,20425,23934,9818,Upgrade
15,Income Tax Expense,5055,755.23,3053,5768,7335,268.46,4546,3827,10973,7463,6911,3280,6712,4264,8474,3078,5813,4391,4739,2073,Upgrade
16,Earnings From Continuing Operations,19071,1563,11224,22286,28938,697.77,17822,14676,43833,29569,26048,13464,26106,16932,32681,12038,25954,16033,19195,7745,Upgrade
17,Minority Interest in Earnings,-146.73,-149.11,-132.91,-145.65,-94.16,-122.23,-113.23,-87.34,-118.86,-286.1,-391.58,-476.53,-416.12,-416.21,-468.68,-494.64,-680.47,-506.03,-706.59,-643.57,Upgrade
18,Net Income,18925,1414,11091,22141,28844,575.53,17709,14589,43714,29283,25657,12987,25690,16516,32212,11543,25274,15527,18488,7102,Upgrade
19,Preferred Dividends & Other Adjustments,-,-,1000,-,-,-,-,1000,-,-,-,3000,-,-,-,2000,2110,-,-,-,Upgrade
20,Net Income to Common,18925,1414,10091,22141,28844,575.53,17709,13589,43714,29283,25657,9987,25690,16516,32212,9543,23164,15527,18488,7102,Upgrade
21,Net Income Growth,-34.39%,145.75%,-37.37%,51.76%,-34.02%,-98.03%,-30.98%,12.34%,70.16%,77.30%,-20.35%,12.51%,1.64%,6.37%,74.23%,62.53%,-70.83%,169.14%,-,-,Upgrade
22,Shares Outstanding (Basic),73,74,72,73,73,72,73,73,73,72,72,63,62,57,57,57,57,57,57,57,Upgrade
23,Shares Outstanding (Diluted),73,74,72,73,73,72,73,73,73,72,72,63,62,57,57,57,57,57,94,57,Upgrade
24,Shares Change (YoY),0.03%,3.47%,-2.10%,0.19%,0.26%,-0.50%,1.82%,16.59%,16.85%,27.39%,26.50%,9.99%,9.71%,-0.21%,-39.64%,0.04%,0.02%,0.56%,66.71%,-,Upgrade
25,EPS (Basic),259.00,19.00,140.86,303.13,394.88,8.00,242.00,186.40,600.00,405.00,357.00,159.71,412.00,291.00,567.00,167.85,407.58,273.00,325.30,124.96,Upgrade
26,EPS (Diluted),259.00,19.00,140.86,303.13,394.88,8.00,242.00,186.40,599.55,405.00,357.00,159.71,411.82,291.00,567.00,167.85,407.53,273.00,230.59,124.96,Upgrade
27,EPS Growth,-34.41%,137.50%,-41.79%,62.63%,-34.14%,-98.02%,-32.21%,16.71%,45.59%,39.18%,-37.04%,-4.85%,1.05%,6.59%,145.90%,34.32%,-72.61%,167.65%,-,-,Upgrade
28,Free Cash Flow,34149,-56046,5661,-86801,-104548,12273,-61544,-46524,-403832,-64894,-17363,-197010,-40437,173081,-147969,-107849,49481,-43479,-73055,58471,Upgrade
29,Free Cash Flow Per Share,467.36,-752.91,79.02,-1188.39,-1431.31,170.60,-841.02,-638.16,-5542.83,-897.51,-241.60,-3150.55,-648.52,3049.50,-2604.57,-1896.93,870.64,-764.45,-776.25,1028.83,Upgrade
30,Gross Margin,12.93%,15.00%,14.10%,22.84%,20.96%,13.50%,16.31%,21.60%,26.99%,28.81%,30.69%,25.05%,32.31%,29.25%,30.25%,27.19%,26.07%,33.31%,28.25%,25.84%,Upgrade
31,Operating Margin,4.35%,-0.25%,1.77%,11.95%,8.87%,-0.00%,7.92%,6.63%,14.73%,13.37%,13.07%,8.05%,17.10%,10.44%,14.86%,5.75%,10.48%,7.68%,4.95%,4.81%,Upgrade
32,Profit Margin,3.71%,0.60%,3.57%,7.97%,7.41%,0.22%,6.84%,5.74%,12.67%,11.98%,12.28%,4.59%,13.19%,11.05%,17.07%,5.59%,11.41%,11.38%,12.61%,3.83%,Upgrade
33,Free Cash Flow Margin,6.69%,-23.79%,2.00%,-31.23%,-26.87%,4.73%,-23.78%,-19.65%,-117.06%,-26.55%,-8.31%,-90.63%,-20.76%,115.76%,-78.40%,-63.22%,24.38%,-31.87%,-49.85%,31.56%,Upgrade
34,EBITDA,31657,8849,14475,42706,44067,9645,30056,25141,59962,42365,36955,27137,42940,25276,35725,17113,28317,17493,14322,16053,Upgrade
35,EBITDA Margin,6.20%,3.76%,5.12%,15.37%,11.33%,3.72%,11.62%,10.62%,17.38%,17.33%,17.69%,12.48%,22.04%,16.91%,18.93%,10.03%,13.95%,12.82%,9.77%,8.66%,Upgrade
36,D&A For EBITDA,9452,9432,9475,9498,9539,9646,9558,9440,9158,9693,9655,9629,9637,9661,7675,7300,7048,7016,7069,7147,Upgrade
37,EBIT,22205,-583.21,5000,33208,34528,-0.55,20498,15701,50805,32672,27300,17509,33303,15616,28050,9813,21268,10477,7253,8906,Upgrade
38,EBIT Margin,4.35%,-0.25%,1.77%,11.95%,8.87%,-0.00%,7.92%,6.63%,14.73%,13.37%,13.07%,8.05%,17.10%,10.44%,14.86%,5.75%,10.48%,7.68%,4.95%,4.81%,Upgrade
39,Effective Tax Rate,20.95%,32.57%,21.39%,20.56%,20.22%,27.78%,20.32%,20.68%,20.02%,20.15%,20.97%,19.59%,20.45%,20.12%,20.59%,20.36%,18.30%,21.50%,19.80%,21.11%,Upgrade
40,Revenue as Reported,510263,235615,282979,277940,389058,259342,258765,236781,344972,244408,208920,217386,194787,149517,188744,170586,202986,136416,146556,185288,Upgrade
