,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,115782,248489,474023,113196,1060575,73178,71511,158429,1535475,65116,112409,59672,123958,80609,52027,56888,282320,62779,58250,44110,Upgrade
1,Short-Term Investments,10352839,11117861,9765149,9456508,9342001,9593694,8520925,8736947,7471319,7382837,5984349,4981692,3631680,2351400,1903908,1749310,1557535,1613416,1381459,960837,Upgrade
2,Cash & Short-Term Investments,10468621,11366349,10239172,9569704,10402576,9666872,8592436,8895376,9006794,7447953,6096758,5041364,3755638,2432009,1955935,1806198,1839855,1676195,1439709,1004948,Upgrade
3,Cash Growth,0.63%,17.58%,19.16%,7.58%,15.50%,29.79%,40.93%,76.45%,139.82%,206.25%,211.71%,179.11%,104.13%,45.09%,35.86%,79.73%,138.81%,193.51%,519.41%,126.01%,Upgrade
4,Accounts Receivable,495478,420890,426084,535306,712694,664246,559389,460226,514033,1023129,993421,713670,630346,792604,800603,791454,750356,839666,776630,847805,Upgrade
5,Other Receivables,227673,194946,314051,267620,284683,282816,308875,252574,203614,138228,153977,99057,80025,44976,49272,63498,50508,33345,29470,14525,Upgrade
6,Receivables,723151,615836,740135,802926,997377,947062,868264,712800,717647,1161357,1147398,812727,710371,837580,849876,854952,800863,873011,806100,862331,Upgrade
7,Inventory,984728,738172,977032,859035,854909,857650,997173,953905,999984,1532148,1591519,995878,1386432,742828,935995,732927,697143,638537,647730,584711,Upgrade
8,Prepaid Expenses,6901,8334,10245,18141,9354,14274,17174,15183,12763,6596,6086,4168,6656,7646,7201,9426,10394,4451,6319,5299,Upgrade
9,Other Current Assets,517153,302330,249992,218655,202431,124350,799133,226620,248106,172529,78980,82641,138251,211014,112914,100928,85245,144970,161365,60212,Upgrade
10,Total Current Assets,12700554,13031022,12216575,11468462,12466647,11610209,11274181,10803883,10985294,10320582,8920741,6936778,5997348,4231077,3861920,3504431,3433499,3337163,3061224,2517501,Upgrade
11,"Property, Plant & Equipment",2313544,2402813,2466476,2302103,2330600,2376225,2032833,2025018,2015169,2017524,2063450,2094365,2148464,2220767,2198369,2270578,2209714,2219527,2178387,2206555,Upgrade
12,Goodwill,57341,59143,296349,304693,64550,357538,94834,3585,3171,3309,3447,4136,3722,3860,3998,4136,4274,4412,4550,4687,Upgrade
13,Other Intangible Assets,343215,345312,10733,10739,351606,1073,1079,1086,92.32,98.91,120.23,126.82,155.5,162.09,105729,106435,228.94,107868,108596,109301,Upgrade
14,Long-Term Deferred Tax Assets,321.01,3053,855.79,742.54,423.06,297.61,2067,2669,100.26,11186,7250,1240,381.24,1356,827.63,-,-,-,-,-,Upgrade
15,Other Long-Term Assets,406284,355625,358520,371877,386688,347992,359547,379198,401356,399257,405836,395187,370322,344784,209215,120200,228435,94732,146796,96152,Upgrade
16,Total Assets,15821259,16196969,15349509,14458616,15600514,14693334,13764541,13215437,13405183,12751957,11400843,9431832,8520393,6802006,6380059,6005779,5876150,5763702,5499552,4934197,Upgrade
17,Accounts Payable,313174,222174,247175,261296,190111,295131,242316,285273,326043,132444,229470,372295,683398,251972,201819,352196,137024,162085,220059,190644,Upgrade
18,Accrued Expenses,632767,678779,664437,640962,587000,642554,614484,309559,385231,426711,457717,318084,242861,251939,212579,190480,195382,206622,203068,161665,Upgrade
19,Short-Term Debt,864649,791561,818250,920570,1328013,978167,1002605,967139,467625,876823,987175,860301,841909,869229,1181364,1078193,1148974,1250883,1141862,859740,Upgrade
20,Current Income Taxes Payable,113666,215537,150859,67129,60341,193660,134937,64502,77894,275169,188658,80799,42233,68455,40066,17922,46269,36849,24244,10571,Upgrade
21,Other Current Liabilities,129087,79913,75930,43727,1327442,76331,65576,551979,1314635,65499,39021,188662,377891,233346,105249,61134,280969,47564,86123,60366,Upgrade
22,Total Current Liabilities,2053343,1987963,1956650,1933683,3492907,2185843,2059918,2178452,2571429,1776646,1902041,1820142,2188291,1674941,1741076,1699925,1808619,1704005,1675357,1282986,Upgrade
23,Long-Term Deferred Tax Liabilities,66618,67571,13522,14656,70004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Other Long-Term Liabilities,281.22,280.72,285.19,270.93,270.93,270.93,260.93,260.93,100,100,100,100,100,100,100,100,100,100,100,100,Upgrade
25,Total Liabilities,2120242,2055815,1970458,1948610,3563181,2186114,2060179,2178713,2571529,1776746,1902141,1820242,2188391,1675041,1741176,1700025,1808719,1704105,1675457,1283086,Upgrade
26,Common Stock,3797793,3797793,3797793,3797793,3797793,3797793,3797793,3797793,3797793,3797793,3712421,1710806,1710806,1710806,1710806,1487669,1487669,1487669,1293636,1293636,Upgrade
27,Additional Paid-In Capital,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,1786667,Upgrade
28,Retained Earnings,8622732,9014992,8285620,7430144,6971811,7394258,6632900,6000469,5715984,5825595,4411711,4636968,3428432,2295320,2081652,1983181,1485892,1736397,1704909,1547234,Upgrade
29,Treasury Stock,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,-8.73,Upgrade
30,Comprehensive Income & Other,-849229,-849229,-849229,-849229,-849229,-849229,-849229,-849229,-849229,-849229,-849229,-849229,-849229,-849229,-1113960,-1113960,-849229,-1113960,-1113960,-1113960,Upgrade
31,Total Common Equity,13357954,13750215,13020843,12165367,11707033,12129481,11368123,10735692,10451206,10560818,9061562,7285203,6076667,4943556,4465157,4143549,3910992,3896765,3671244,3513569,Upgrade
32,Minority Interest,343062,390939,358209,344639,330299,377739,336239,301032,382447,414393,437141,326387,255335,183408,173726,162206,156439,162833,152851,137541,Upgrade
33,Shareholders' Equity,13701016,14141154,13379052,12510006,12037333,12507220,11704362,11036725,10833654,10975210,9498703,7611590,6332002,5126964,4638883,4305755,4067431,4059598,3824095,3651110,Upgrade
