,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q1 2018,Q1 2017
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Mar '18 Mar 31, 2018","Mar '17 Mar 31, 2017"
0,Market Capitalization,2998779,2897979,2497932,-,-
1,Enterprise Value,5026039,4993770,4593723,-,-
2,Last Close Price,47600.00,46000.00,38972.22,-,-
3,PE Ratio,13.43,12.87,19.44,-,-
4,Forward PE,11.36,11.11,11.69,-,-
5,PS Ratio,0.84,0.89,1.38,-,-
6,PB Ratio,1.53,1.11,1.06,-,-
7,P/TBV Ratio,1.48,1.48,1.38,-,-
8,EV/Sales Ratio,1.41,1.54,2.54,-,-
9,EV/EBITDA Ratio,8.45,15.33,-,-,-
10,EV/EBIT Ratio,11.20,11.34,17.39,-,-
11,Debt / Equity Ratio,0.94,0.94,1.08,2.46,1.98
12,Debt / EBITDA Ratio,4.15,2.90,-,10.81,4.68
13,Quick Ratio,0.74,0.74,0.77,0.85,-
14,Current Ratio,1.40,1.40,1.31,1.10,-
15,Return on Capital Employed (ROCE),11.40%,11.19%,6.93%,3.03%,-
16,Earnings Yield,7.45%,7.77%,5.14%,-,-
17,Dividend Yield,2.06%,-,2.57%,-,-
18,Payout Ratio,44.42%,-,-,88.31%,-
19,Total Shareholder Return,-10.28%,-,2.57%,-,-
