,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Cash & Equivalents,315521,237235,206946,319774,316427,156048,188534,311049,370636,447304,493179,593108,292702,293041,319431,366151,364996,154049,197112,312071,Upgrade
1,Short-Term Investments,1509648,1458490,1366352,1303016,1205399,444537,1267500,1208993,1082942,816993,705883,697840,628256,623900,409164,496323,506193,612271,766993,789303,Upgrade
2,Cash & Short-Term Investments,1825169,1695725,1573298,1622790,1521826,600585,1456034,1520042,1453578,1264297,1199062,1290948,920958,916940,728595,862474,871189,766320,964105,1101374,Upgrade
3,Cash Growth,19.93%,182.35%,8.05%,6.76%,4.70%,-52.50%,21.43%,17.75%,57.83%,37.88%,64.57%,49.68%,5.71%,19.66%,-24.43%,-21.69%,-16.09%,6.05%,29.65%,31.02%,Upgrade
4,Accounts Receivable,31347,22112,62258,46054,37409,20340,29623,22651,20483,39757,28711,8123,17146,22252,21425,28868,30685,20811,510.25,20597,Upgrade
5,Other Receivables,143852,124313,132859,123663,155481,92234,141206,89313,73459,55471,61166,61225,73467,56223,60658,65235,44892,59082,120108,117370,Upgrade
6,Receivables,175199,146425,195117,169717,192890,112575,170829,111964,93942,95228,89877,69348,90613,78475,82083,94102,75578,79892,120619,137967,Upgrade
7,Inventory,160312,176498,185558,163971,212912,133471,195614,194002,260142,231803,196831,213841,229500,217391,196717,162335,180828,161598,167429,128359,Upgrade
8,Prepaid Expenses,1562,4296,1578,754.66,799.19,10110,6817,464.61,1012,1561,2739,2445,2288,1303,1667,540.49,2000,11962,2274,1388,Upgrade
9,Other Current Assets,20737,52907,44187,48807,55544,7748,54809,48836,59080,49534,46890,41903,51634,45463,43341,108777,49910,51080,63771,42328,Upgrade
10,Total Current Assets,2182980,2075851,1999738,2006039,1983970,864489,1884104,1875308,1867755,1642423,1535398,1618486,1294992,1259574,1052403,1228229,1179505,1070853,1318198,1411417,Upgrade
11,"Property, Plant & Equipment",1561604,1604236,1601637,1596855,1566655,625214,1574157,1623291,1619155,1578915,1574543,1601860,1609921,1650337,1674772,1712891,1718068,1745099,1799252,1817201,Upgrade
12,Long-Term Investments,131937,155878,153878,119378,225162,899027,155148,124148,200138,174138,141138,141138,172112,148612,157292,139509,176265,171166,159443,173443,Upgrade
13,Other Intangible Assets,971.78,1028,1084,1140,1196,1126,1265,1319,1107,1148,1189,1230,1272,1313,1354,1395,1444,1328,1362,1395,Upgrade
14,Long-Term Deferred Tax Assets,-,-,3705,-,6286,-,6286,6286,7633,7633,7890,7890,7890,7813,-,-,-,-,-,-,Upgrade
15,Other Long-Term Assets,522094,527379,531829,534845,559409,6472,570319,566719,557888,585596,615930,658758,659436,680315,679773,689169,520992,520716,352755,332350,Upgrade
16,Total Assets,4399587,4364372,4291872,4258257,4342678,2396329,4193157,4198950,4255624,3992042,3879215,4032490,3748786,3751247,3569815,3775415,3600531,3513539,3632460,3737257,Upgrade
17,Accounts Payable,9282,9064,15363,7659,10389,11800,21051,7603,9614,33459,16169,11284,9384,7352,5396,10372,5186,13550,7021,15662,Upgrade
18,Accrued Expenses,131246,92867,98513,153544,136713,107597,93367,240913,191251,170465,110805,240701,209866,142705,141438,242522,157652,133269,81648,198319,Upgrade
