,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Market Capitalization,4122737,3762161,3553635,3701341,2745595,2736907,2519692,2215591,2270400,2816500,3087400,3659300,3117500,2958400,2427550,2006240,1779534,1715335,1572892,1390324,1574898,Upgrade
1,Market Cap Growth,37.46%,37.46%,41.03%,67.06%,20.93%,-2.83%,-18.39%,-39.45%,-27.17%,-4.80%,27.18%,82.40%,75.19%,72.47%,54.34%,44.30%,12.99%,13.40%,-11.21%,-6.35%,23.43%,Upgrade
2,Enterprise Value,3042112,2806435,2715471,2782832,1919475,2136322,1754836,1383788,1477696,2136979,2482362,2972944,2792749,2676354,2350822,1886140,1618690,1726964,1411780,1076166,1344282,Upgrade
3,Last Close Price,47450.00,41766.35,39451.36,41091.15,30480.76,30384.30,26808.93,23573.37,24405.37,28973.42,31760.18,37643.33,32069.82,29850.14,25592.81,21151.08,18761.01,17090.54,15671.32,13852.33,15691.31,Upgrade
4,PE Ratio,16.15,14.62,14.20,12.57,13.15,17.94,12.57,11.57,10.39,6.80,7.76,10.04,8.52,21.25,17.30,14.82,15.15,8.94,10.95,9.40,8.61,Upgrade
5,Forward PE,-,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,Upgrade
6,PS Ratio,3.47,3.14,3.13,3.03,2.64,2.79,2.43,2.01,1.88,2.12,2.39,3.00,2.56,2.40,1.92,1.62,1.56,1.65,1.57,1.45,1.52,Upgrade
7,PB Ratio,1.67,1.17,1.16,1.19,0.90,0.88,1.13,0.72,0.76,0.92,1.10,1.32,1.14,1.19,0.95,0.85,0.77,0.73,0.70,0.60,0.69,Upgrade
8,P/TBV Ratio,1.52,1.52,1.52,1.55,1.17,1.13,1.13,0.94,0.99,1.16,1.38,1.65,1.42,1.51,1.20,1.10,1.00,0.94,0.89,0.77,0.89,Upgrade
9,P/FCF Ratio,13.37,12.20,30.11,-,19.61,7.94,11.65,-,11.16,-,6.67,-,4.77,-36.87,8.78,51.53,-,4.11,-,-,6.27,Upgrade
10,P/OCF Ratio,9.72,9.72,19.06,-,11.93,6.41,7.86,-,8.03,-,5.80,-,4.41,-112.95,7.68,14.89,-,4.38,-,-,4.24,Upgrade
11,EV/Sales Ratio,2.54,2.34,2.39,2.28,1.84,2.17,1.69,1.26,1.22,1.61,1.92,2.44,2.30,2.17,1.86,1.52,1.42,1.66,1.41,1.12,1.30,Upgrade
12,EV/EBITDA Ratio,9.19,8.47,8.67,8.29,6.83,7.98,4.80,3.41,3.53,4.07,5.41,6.91,6.41,7.35,6.26,5.20,4.97,5.80,6.11,4.66,4.95,Upgrade
13,EV/EBIT Ratio,15.79,14.56,14.93,13.61,12.73,14.94,8.92,5.77,6.05,6.07,7.41,9.87,8.96,11.21,9.57,8.04,7.74,9.27,11.15,8.40,7.94,Upgrade
14,EV/FCF Ratio,9.86,9.10,23.01,-,13.71,6.20,8.11,-,7.26,-,5.36,-,4.27,-33.36,8.50,48.44,-,4.14,-,-,5.35,Upgrade
15,Debt / Equity Ratio,-,-,-,-,-,-,-,-,0.00,0.00,0.01,0.02,0.02,0.03,0.04,0.05,0.09,0.08,0.12,0.13,0.12,Upgrade
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,0.01,0.01,0.05,0.17,0.07,0.17,0.39,0.38,0.44,0.43,1.35,1.90,0.76,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,0.02,-,0.04,-,0.08,-0.86,0.36,2.98,-,0.48,-,-,1.12,Upgrade
18,Asset Turnover,0.32,0.13,0.26,0.40,0.34,0.28,0.09,0.35,0.33,0.30,0.21,0.50,0.32,0.25,0.22,0.55,0.38,0.22,0.11,0.44,Upgrade,
19,Inventory Turnover,4.69,6.33,2.56,4.00,6.76,5.14,4.49,0.85,4.83,3.56,3.77,2.89,5.13,3.68,3.13,3.00,8.69,5.28,3.76,1.73,8.82,Upgrade
20,Quick Ratio,9.19,9.19,5.79,8.77,7.49,7.09,4.08,7.42,4.58,4.96,3.75,4.77,2.92,2.47,3.40,2.53,1.70,3.08,2.55,2.62,2.09,Upgrade
21,Current Ratio,10.02,10.02,6.52,9.92,8.39,8.21,4.95,8.59,5.27,5.99,4.53,5.69,3.48,3.16,4.30,3.28,2.19,3.84,3.23,3.19,2.38,Upgrade
22,Return on Equity (ROE),7.78%,4.65%,13.70%,12.88%,8.50%,12.07%,2.43%,10.45%,13.28%,10.39%,6.77%,47.71%,12.06%,5.41%,8.82%,13.92%,13.64%,4.33%,4.77%,12.56%,Upgrade,
23,Return on Assets (ROA),2.75%,0.04%,4.86%,3.53%,2.77%,1.77%,1.74%,3.14%,5.51%,4.22%,2.13%,10.33%,4.94%,2.22%,3.02%,5.94%,5.71%,1.49%,1.28%,4.40%,Upgrade,
24,Return on Capital (ROIC),3.83%,0.06%,6.73%,4.93%,3.49%,2.21%,2.42%,4.38%,7.70%,5.88%,3.01%,15.02%,7.11%,3.16%,4.44%,8.64%,8.00%,2.08%,1.83%,6.17%,Upgrade,
25,Return on Capital Employed (ROCE),4.61%,4.61%,4.49%,5.00%,3.75%,3.49%,8.85%,6.03%,6.35%,8.92%,9.23%,8.34%,8.74%,7.15%,7.10%,7.22%,6.51%,5.66%,3.98%,3.98%,5.38%,Upgrade
26,Earnings Yield,6.24%,6.84%,7.04%,7.95%,7.61%,6.81%,9.30%,10.17%,11.11%,17.01%,14.99%,11.74%,13.83%,6.75%,8.27%,9.76%,10.00%,11.19%,9.13%,10.63%,11.61%,Upgrade
27,FCF Yield,7.48%,8.20%,3.32%,2.50%,5.10%,12.59%,8.58%,13.23%,8.96%,11.80%,15.00%,12.58%,20.96%,-2.71%,11.39%,1.94%,-0.44%,24.33%,15.26%,16.50%,15.94%,Upgrade
28,Dividend Yield,3.13%,-,-,-,-,-,-,-,6.15%,-,-,-,5.46%,-,2.93%,-,-,-,7.98%,-,-,Upgrade
29,Payout Ratio,47.99%,44.66%,-,0.12%,118.04%,50.65%,0.62%,77.77%,133.56%,22.36%,101.00%,-,9.86%,53.65%,103.29%,214.29%,-,0.02%,468.99%,475.35%,48.66%,Upgrade
