,Fiscal Quarter,Q2 2016,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q3 2013,Q2 2013,Q1 2013,Q3 2012,Q2 2012,Q1 2012
,Period Ending,"Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Cash & Equivalents,44913,51129,43195,37682,44223,-,-,-,35801,14653,23411,25134,7636,11303
1,Accounts Receivable,7552,2499,14241,7825,5590,-,-,-,5090,12054,1438,5210,13278,4180
2,Other Receivables,760.17,492.86,766.93,617.55,531.96,-,-,-,534.2,520.36,868.57,939.28,534.47,790.97
3,Inventory,1231,959.41,589.58,590.43,1064,-,-,-,1021,1021,997.58,1335,1067,953.22
4,Prepaid Expenses,-,-,956.43,956.43,-,-,-,-,-,-,-,-,-,-
5,Other Current Assets,108.8,1211,76.38,76.38,922.89,-,-,-,361,310,535,960.28,685.72,864.44
6,Total Current Assets,54565,56291,59825,47748,52332,-,-,-,42807,28558,27250,33579,23201,18092
7,"Property, Plant & Equipment",55106,57686,63578,66257,67866,-,-,-,82285,84873,87580,91771,94312,96869
8,Other Intangible Assets,-,-,-,-,-,-,-,-,-,-41.28,5,10.06,13.81,17.56
9,Other Long-Term Assets,817.72,69.22,953.96,953.96,830,-,-,-,-,-,-,-,-,-
10,Total Assets,110489,114046,124358,114959,121028,-,-,-,125092,113389,114835,125360,117527,114979
11,Accounts Payable,201.48,201.48,201.48,1725,211.93,-,-,-,207.39,241.67,311.68,209.67,203.45,243.28
12,Accrued Expenses,1981,669.9,1635,5234,3857,-,-,-,3825,3937,3630,4669,4914,2221
13,Current Income Taxes Payable,1812,602.25,2612,1317,843.57,-,-,-,2779,2454,1536,2280,1817,2140
14,Other Current Liabilities,65.53,51.55,74.06,73.58,49.78,-,-,-,60.08,28.51,18.18,39.3,42.54,20.55
15,Total Current Liabilities,4060,1525,4523,8349,4962,-,-,-,6872,6661,5496,7198,6977,4625
16,Total Liabilities,4060,1525,4523,8349,4962,-,-,-,6872,6661,5496,7198,6977,4625
17,Common Stock,95000,95000,95000,95000,95000,-,-,-,95000,95000,95000,95000,95000,95000
18,Additional Paid-In Capital,1462,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Retained Earnings,9967,16059,23373,10148,19603,-,-,-,21758,10266,12877,21700,14088,13891
20,Comprehensive Income & Other,-,1462,1462,1462,1462,-,-,-,1462,1462,1462,1462,1462,1462
21,Shareholders' Equity,106429,112521,119835,106610,116066,-,-,-,118220,106728,109339,118162,110550,110353
22,Total Liabilities & Equity,110489,114046,124358,114959,121028,-,-,-,125092,113389,114835,125360,117527,114979
23,Net Cash (Debt),44913,51129,43195,37682,44223,-,-,-,35801,14653,23411,25134,7636,11303
24,Net Cash Growth,1.56%,-,-,-,23.52%,-,-,-,368.82%,29.63%,-,-,-,-
25,Net Cash Per Share,3946.76,5385.47,4546.60,3363.49,4656.84,-,-,-,3768.25,1542.07,2460.86,2645.35,804.14,1189.27
26,Filing Date Shares Outstanding,11.38,9.49,9.5,11.2,9.5,9.5,9.51,9.5,9.5,9.5,9.51,9.5,9.5,9.5
27,Total Common Shares Outstanding,11.38,9.49,9.5,11.2,9.5,9.5,9.51,9.5,9.5,9.5,9.51,9.5,9.5,9.5
28,Working Capital,50505,54766,55302,39398,47370,-,-,-,35936,21896,21754,26381,16224,13467
29,Book Value Per Share,9352.53,11852.03,12613.62,9516.01,12222.15,-,-,-,12443.26,11232.35,11493.16,12436.60,11641.39,11611.12
30,Tangible Book Value,106429,112521,119835,106610,116066,-,-,-,118220,106769,109334,118152,110536,110336
31,Tangible Book Value Per Share,9352.53,11852.03,12613.62,9516.01,12222.15,-,-,-,12443.26,11236.69,11492.63,12435.55,11639.94,11609.27
32,Construction In Progress,-,-,-,-,246.8,-,-,-,246.8,246.8,246.8,246.8,246.8,246.8
