,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Cash & Equivalents,2226,1552,17509,26265,4762,4740,5789,4108,29923,38133,38747,5630,4571,4907,10144,4782,18799,25590,14426,43366,Upgrade
1,Short-Term Investments,-,-,-,1,-,1,-,26701,-,-,-,1,-,1,-,3011,-,-,-,3426,Upgrade
2,Cash & Short-Term Investments,2226,1552,17509,26266,4762,4741,5789,30809,29923,38133,38747,5631,4571,4908,10144,7793,18799,25590,14426,46792,Upgrade
3,Cash Growth,-53.26%,-67.26%,202.47%,-14.75%,-84.09%,-87.57%,-85.06%,447.12%,554.64%,676.91%,281.99%,-27.74%,-75.69%,-80.82%,-29.68%,-83.35%,-64.97%,-50.61%,-75.79%,0.69%,Upgrade
4,Accounts Receivable,379703,115297,211016,321700,271884,245353,249031,358047,162726,282744,293978,150860,238284,153703,44910,186907,107170,142227,173564,203469,Upgrade
5,Other Receivables,28628,26121,16303,14603,22726,26326,22593,21428,36500,35920,29414,12356,13424,12739,22919,10290,2284,1210,5794,5243,Upgrade
6,Receivables,408331,141419,227319,336304,294610,271679,271624,379474,199226,318664,323393,163215,251708,166442,67829,197198,109454,143437,179358,208712,Upgrade
7,Inventory,1147891,1142071,1085797,1122901,1158718,1203944,1229741,1240196,1570828,1424684,1217483,1006276,1047153,1274443,1390004,1492333,1524374,1585977,1651841,1715234,Upgrade
8,Prepaid Expenses,2796,3315,3847,1029,5600,1953,4103,2610,6343,3966,2597,1323,2166,5634,4705,1834,6105,6533,6645,7716,Upgrade
9,Other Current Assets,21056,73951,70130,59712,71457,70551,124534,123135,61378,46435,35598,10745,12776,3832,7520,3553,8628,11085,41921,36872,Upgrade
10,Total Current Assets,1582299,1362308,1404603,1546211,1535146,1552868,1635791,1776224,1867698,1831882,1617818,1187191,1318374,1455259,1480202,1702709,1667360,1772622,1894191,2015326,Upgrade
11,"Property, Plant & Equipment",593976,475011,465781,478895,483611,514609,519109,543989,570271,594667,620220,650200,660174,662318,684589,671494,691898,720067,736102,721214,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-14414,68.48,68.48,Upgrade
13,Other Intangible Assets,6058,6130,6201,6273,6344,6416,6487,6558,6630,6701,6773,6844,6915,6987,7017,7170,9698,9793,9889,9984,Upgrade
14,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,6.29,-,6.29,-,6.29,6.29,1439,1438,Upgrade
15,Other Long-Term Assets,36719,37005,37371,41426,37942,42897,38514,41839,36935,37221,37506,43140,42277,46257,45050,47670,45622,46212,43449,45351,Upgrade
16,Total Assets,2219053,1880454,1913956,2072804,2063044,2116789,2199901,2368610,2481534,2470471,2282317,1887375,2027747,2170821,2216865,2429043,2414584,2534287,2685139,2793381,Upgrade
17,Accounts Payable,390195,112783,96343,165354,113596,102333,119862,144925,275778,495242,492094,209770,183910,224689,119421,276564,309252,269960,240792,420782,Upgrade
18,Accrued Expenses,25359,26465,25341,27721,24925,26609,26958,29651,26973,27672,28106,33824,58466,37943,31606,37235,26426,26760,34194,28660,Upgrade
19,Short-Term Debt,875203,884956,933916,969089,1002153,1075781,1118090,1208919,1081678,831207,598324,415090,519859,624316,752953,834072,961422,1136670,1277480,1138795,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1550,-,-,-,63208,Upgrade
21,Current Portion of Leases,-,-,-,5529,-,5529,-,5529,-,-,-,9118,-,17803,-,22746,-,-,-,20826,Upgrade
22,Current Income Taxes Payable,1139,845.82,663.6,40.54,671.7,40.54,787.98,40.54,673.55,671.25,671.21,40.54,-,40.54,-,40.54,864.2,1104,-,40.54,Upgrade
23,Other Current Liabilities,55847,11328,60962,79538,68407,41954,18201,20383,17226,19359,75380,153324,226616,221667,210457,225019,199158,164486,168592,84816,Upgrade
24,Total Current Liabilities,1347744,1036378,1117225,1247273,1209753,1252247,1283899,1409447,1402328,1374151,1194575,821166,988851,1126458,1114438,1397225,1497122,1598979,1721058,1757128,Upgrade
25,Long-Term Debt,56165,24629,9693,-,167.1,-,11117,-,33838,1138,17.1,-,1054,7152,89584,333.33,73274,46839,69771,1883,Upgrade
26,Long-Term Leases,-,-,-,9676,-,12440,-,15205,-,-,-,-,-,9287,-,13739,-,-,-,40279,Upgrade
27,Long-Term Deferred Tax Liabilities,54642,54642,56639,57995,49215,49622,32316,32316,-,-,-,1839,-,6139,-,7079,-,-,-,4679,Upgrade
28,Other Long-Term Liabilities,-,-,-,2558,-,1658,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
