,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Market Capitalization,606310,739698,818518,873086,1015569,1321755,2203936,1673415,1606721,1515775,1564279,3274073,2728394,2182715,2079643,788203,660878,515363,612373,1097421,1503648,Upgrade
1,Market Cap Growth,-44.04%,-44.04%,-62.86%,-47.83%,-36.79%,-12.80%,40.89%,-48.89%,-41.11%,-30.56%,-24.78%,315.38%,312.84%,323.53%,239.60%,-28.18%,-56.05%,-66.86%,-65.59%,-55.85%,-38.31%,Upgrade
2,Enterprise Value,1535453,1647731,1744618,1831468,2013127,2410766,3327354,2767895,2692313,2309986,2123873,3692650,3244737,2853103,2912036,1652849,1676774,1673282,1945197,2316517,2713191,Upgrade
3,Last Close Price,10000.00,12200.00,13500.00,14400.00,16750.00,21800.00,36350.00,27600.00,26500.00,25000.00,25800.00,54000.00,45000.00,36000.00,34300.00,13000.00,10900.00,8500.00,10100.00,18100.00,24800.00,Upgrade
4,PE Ratio,-,-17.15,-20.61,-,-,-5.47,-,-,-,-,21.86,44.90,50.97,11.27,15.20,7.20,32.05,-,-,-,-,Upgrade
5,PS Ratio,0.31,0.38,0.46,0.48,0.52,0.58,1.12,0.90,1.00,1.27,1.17,2.24,1.98,1.11,1.11,0.44,0.33,0.31,0.34,0.48,0.60,Upgrade
6,PB Ratio,0.80,0.97,1.07,1.20,1.34,1.64,2.75,1.92,1.76,1.45,1.43,3.01,2.56,2.10,2.04,0.78,0.65,0.61,0.69,1.23,1.52,Upgrade
7,P/TBV Ratio,0.98,0.98,1.08,1.21,1.36,1.66,2.77,1.93,1.78,1.46,1.44,3.03,2.58,2.12,2.05,0.78,0.66,0.62,0.70,1.24,1.54,Upgrade
8,P/FCF Ratio,4.24,-,-,2.78,4.26,-,-7.02,-,-,-,-,-,6.13,3.64,4.42,1.32,1.78,-,-214.26,-,26.11,Upgrade
9,P/OCF Ratio,2.05,2.05,4.65,2.77,4.25,-,-7.30,-,-,-,-,-,5.53,3.40,3.92,1.24,1.58,0.93,113.34,-,19.06,Upgrade
10,EV/Sales Ratio,0.80,0.85,0.98,1.00,1.02,1.07,1.69,1.49,1.67,1.93,1.58,2.53,2.35,1.45,1.55,0.92,0.85,1.02,1.07,1.02,1.08,Upgrade
11,EV/EBITDA Ratio,30.42,32.65,140.92,-57.89,-,-,-,34.06,-,9.92,8.37,13.67,15.62,7.11,7.80,4.69,5.45,58.48,23.65,-,-,Upgrade
12,EV/EBIT Ratio,-,-588.92,-53.97,-,-,-,-,-,-,-,13.07,21.62,23.53,9.90,11.83,7.48,10.57,-,-31.92,-,-,Upgrade
13,EV/FCF Ratio,10.75,-,-,5.83,8.44,-,-10.59,-,-,-,-,-,7.29,4.76,6.19,2.76,4.51,-,-680.61,-,47.11,Upgrade
14,Debt / Equity Ratio,1.22,1.22,1.19,1.29,1.30,1.25,1.37,1.29,1.35,1.07,0.76,0.55,0.40,0.50,0.64,0.83,0.86,1.23,1.33,1.51,1.28,Upgrade
15,Debt / EBITDA Ratio,18.45,12.55,8.06,38.98,-,-,-,12.18,-,19.97,3.15,1.99,1.36,3.75,1.99,16.60,0.80,39.64,4.76,-,-,Upgrade
16,Debt / FCF Ratio,6.52,-,-,3.00,4.13,-,-3.48,-,-,-,-,-,0.95,0.87,1.40,1.41,2.35,-,-414.10,-,21.96,Upgrade
17,Asset Turnover,1.24,0.88,0.80,0.92,0.95,0.84,0.95,1.26,0.34,0.57,0.57,0.71,0.67,0.84,0.37,1.54,0.43,0.57,0.60,0.82,Upgrade,
18,Inventory Turnover,1.65,2.19,1.42,1.46,1.68,1.76,1.55,1.74,2.30,0.59,0.91,0.89,1.13,1.10,1.23,0.56,1.94,0.69,0.84,1.07,1.39,Upgrade
19,Quick Ratio,0.30,0.30,0.14,0.22,0.29,0.25,0.22,0.22,0.29,0.16,0.26,0.30,0.21,0.26,0.15,0.07,0.15,0.09,0.11,0.11,0.15,Upgrade
20,Current Ratio,1.17,1.17,1.31,1.26,1.24,1.27,1.24,1.27,1.26,1.33,1.33,1.35,1.45,1.33,1.29,1.33,1.22,1.11,1.11,1.10,1.15,Upgrade
21,Return on Equity (ROE),0.45%,21.61%,-19.37%,-24.83%,2.13%,-35.24%,-17.17%,-54.66%,-18.24%,3.44%,7.62%,10.74%,6.24%,4.23%,0.44%,71.80%,-18.87%,-7.43%,-37.29%,-41.63%,Upgrade,
22,Return on Assets (ROA),0.31%,1.81%,-1.07%,-1.27%,-3.23%,-2.59%,-0.15%,-5.45%,-1.65%,3.71%,5.33%,6.29%,3.98%,4.98%,1.24%,20.61%,-0.88%,1.78%,-4.65%,-5.71%,Upgrade,
23,Return on Capital (ROIC),0.37%,2.05%,-1.25%,-1.48%,-3.65%,-2.86%,-0.17%,-6.15%,-2.00%,4.89%,7.00%,8.09%,5.15%,6.18%,1.54%,26.53%,-1.10%,2.16%,-5.67%,-7.21%,Upgrade,
24,Return on Capital Employed (ROCE),-,-0.32%,-3.83%,-,-,-,-,-,-,-,14.82%,15.71%,12.93%,27.74%,23.57%,20.05%,15.37%,-,-6.51%,-,-,Upgrade
25,Earnings Yield,-7.11%,-5.83%,-4.85%,-17.62%,-15.37%,-18.27%,-13.36%,-12.64%,-9.50%,0.61%,4.74%,2.31%,2.06%,8.91%,6.61%,13.98%,3.22%,-49.25%,-33.65%,-18.44%,-9.34%,Upgrade
26,FCF Yield,23.56%,19.31%,15.36%,36.01%,23.48%,-3.94%,-14.25%,-40.44%,-48.67%,-39.35%,-6.16%,8.27%,16.31%,27.44%,22.62%,75.88%,56.25%,131.79%,-0.47%,-26.48%,3.83%,Upgrade
27,Buyback Yield / Dilution,0.15%,1.32%,-0.79%,0.39%,-0.02%,-0.65%,-45.91%,24.36%,0.09%,-0.01%,31.26%,-31.22%,-0.05%,0.05%,0.86%,-0.69%,-0.01%,0.38%,0.15%,-0.41%,0.01%,Upgrade
28,Total Shareholder Return,0.15%,1.32%,-0.79%,0.39%,-0.02%,-0.65%,-45.91%,24.36%,0.09%,-0.01%,31.26%,-31.22%,-0.05%,0.05%,0.86%,-0.69%,-0.01%,0.38%,0.15%,-0.41%,0.01%,Upgrade
