,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,3288000,3280000,2968000,3044000,3000000,2876000,2584000,2176000,2016000,1836000,2056000,2076000,2396000,2412000,2260000,2056000,1880000,1872000,1652000,1352000,1120000,Upgrade
1,Market Cap Growth,14.05%,14.05%,14.86%,39.89%,48.81%,56.64%,25.68%,4.82%,-15.86%,-23.88%,-9.03%,0.97%,27.45%,28.85%,36.80%,52.07%,67.86%,28.57%,-1.67%,-10.58%,-27.46%,Upgrade
2,Enterprise Value,2113719,2158155,1779970,1966985,1840374,1753548,1329902,992610,925523,860133,1080133,1033562,1339191,1413423,1264440,1115792,925735,973176,731330,542919,335763,Upgrade
3,Last Close Price,82200.00,79126.17,71599.53,73432.94,68360.76,65535.18,56616.73,47677.25,40603.59,36978.27,40509.02,40903.07,44364.12,43551.26,40806.74,35471.91,32435.40,31307.67,27628.35,21107.70,17485.67,Upgrade
4,PE Ratio,9.78,9.76,8.96,11.99,10.49,8.70,7.88,5.88,6.02,6.48,7.13,7.41,8.56,8.70,8.53,8.89,7.66,7.88,6.83,5.49,4.56,Upgrade
5,Forward PE,-,7.41,7.41,7.41,7.41,7.41,7.41,7.41,6.94,6.39,7.23,6.75,7.89,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,Upgrade
6,PS Ratio,4.74,4.72,4.47,4.84,5.25,5.24,4.75,3.98,3.53,3.14,3.43,3.41,3.87,3.96,3.80,3.55,3.46,3.61,3.21,2.66,2.09,Upgrade
7,PB Ratio,2.21,2.20,2.08,2.34,2.09,2.09,1.82,1.59,1.35,1.33,-,1.63,1.75,1.76,1.72,1.67,1.47,1.46,1.34,1.14,0.92,Upgrade
8,P/TBV Ratio,2.20,2.20,2.08,2.34,2.09,2.09,1.82,1.59,1.35,1.33,-,1.63,1.75,1.76,1.72,1.67,1.47,1.46,1.34,1.14,0.92,Upgrade
9,P/FCF Ratio,21.78,21.73,23.24,25.76,-,27.38,31.70,-,17.30,-,-,10.48,13.12,13.22,13.69,12.22,9.54,10.71,6.85,6.12,5.65,Upgrade
10,P/OCF Ratio,17.04,17.04,22.46,29.81,-,-,10.05,9.61,10.82,-,-,8.66,10.30,10.28,10.61,11.36,9.17,10.44,6.67,5.92,5.37,Upgrade
11,EV/Sales Ratio,3.04,3.11,2.68,3.12,3.22,3.19,2.44,1.81,1.62,1.47,1.80,1.70,2.16,2.32,2.13,1.92,1.70,1.88,1.42,1.07,0.63,Upgrade
