,Fiscal Quarter,Q4 2024,Q1 2024,null null,Q1 2023,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Mar '23 Mar 31, 2023","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,4360,1488,-,-,3311,2994,2453,-,-,-
1,Long-Term Investments,3728665,2566620,-,-,5730687,6164025,5617983,-,-,-
2,Trading Asset Securities,714205,662096,-,-,-,-,-,-,-,-
3,Loans & Lease Receivables,46306649,30895276,-,-,13119302,13793522,12155089,-,-,-
4,Other Receivables,3381321,2339903,-,-,673617,2984201,633505,-,-,-
5,"Property, Plant & Equipment",23642,26347,-,-,31520,31670,33356,-,-,-
6,Other Intangible Assets,41667,45278,-,-,51047,43580,44008,-,-,-
7,Other Current Assets,4891725,11620590,-,-,12240625,5838248,9786384,-,-,-
8,Other Long-Term Assets,506327,-170303,-,-,57573,658168,49135,-,-,-
9,Total Assets,59598561,47987295,-,-,31907682,29516408,28321913,-,-,-
10,Interest Bearing Deposits,14080923,6643214,-,-,13373171,15263693,15792886,-,-,-
11,Non-Interest Bearing Deposits,-,832,-,-,3928943,2404600,1956715,-,-,-
12,Total Deposits,14080923,6644046,-,-,17302114,17668293,17749601,-,-,-
13,Accrued Expenses,1036166,1055663,-,-,299366,286121,227341,-,-,-
14,Short-Term Debt,164717,-,-,-,-,207,433,-,-,-
15,Current Portion of Long-Term Debt,-,17485425,-,-,-,-,-,-,-,-
16,Long-Term Debt,35007767,14094934,-,-,10212771,7582708,6346245,-,-,-
17,Current Income Taxes Payable,-,34313,-,-,-,-,-,-,-,-
18,Other Current Liabilities,-,99291,-,-,-,-,-,-,-,-
19,Other Long-Term Liabilities,301800,-,-,-,203536,177725,214941,-,-,-
20,Total Liabilities,50591373,39413672,-,-,28017787,25715054,24538561,-,-,-
21,Common Stock,7607986,7044811,-,-,3049404,2652141,2652141,-,-,-
22,Additional Paid-In Capital,350562,350562,-,-,-,-,-,-,-,-
23,Retained Earnings,568500,1006056,-,-,436518,744419,760602,-,-,-
24,Comprehensive Income & Other,480140,172194,-,-,403973,404794,370609,-,-,-
25,Shareholders' Equity,9007188,8573623,-,4335080,3889895,3801354,3783352,-,-,3450551
26,Total Liabilities & Equity,59598561,47987295,-,-,31907682,29516408,28321913,-,-,-
27,Total Debt,35172484,31580359,-,23982993,10212771,7582915,6346678,-,-,4368543
28,Net Cash (Debt),-34453919,-30916775,-,-23980360,-10209460,-7579921,-6344225,-,-,-4364671
29,Net Cash Per Share,-,-40648.51,-,-63247.83,-20078.81,-20832.28,-19249.99,-,-,-14032.69
30,Filing Date Shares Outstanding,-,760.59,-,379.15,508.47,363.85,329.57,345.85,388.21,311.04
31,Total Common Shares Outstanding,-,760.59,-,379.15,508.47,363.85,329.57,345.85,388.21,311.04
32,Working Capital,40016454,20200615,-,-,8435375,4664344,4600056,-,-,-
33,Book Value Per Share,-,11272.36,-,11433.71,7650.20,10447.46,11479.65,-,-,11092.74
34,Tangible Book Value,8965521,8528345,-,4283624,3838848,3757774,3739344,-,-,3402245
35,Tangible Book Value Per Share,-,11212.83,-,11297.99,7549.81,10327.68,11346.12,-,-,10937.44
