,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,398022,468304,408847,564931,458107,387240,335489,478658,430589,651237,356725,326928,277871,298051,317710,335396,313214,241426,298391,331386,Upgrade
1,Revenue Growth (YoY),-13.12%,20.93%,21.87%,18.02%,6.39%,-40.54%,-5.95%,46.41%,54.96%,118.50%,12.28%,-2.52%,-11.28%,23.45%,6.47%,1.21%,19.28%,-23.93%,10.47%,-24.46%,Upgrade
2,Cost of Revenue,309111,374328,315069,441782,369519,309202,276946,343265,314072,535339,265559,235603,206354,218642,253498,259752,250417,178996,233006,254352,Upgrade
3,Gross Profit,88911,93976,93778,123149,88588,78038,58543,135393,116516,115899,91166,91325,71517,79409,64212,75644,62797,62430,65385,77034,Upgrade
4,"Selling, General & Admin",85723,89096,73259,100507,82082,45707,92671,125079,110229,111166,105222,87812,81065,60443,61297,56914,57436,58936,61739,80711,Upgrade
5,Operating Expenses,85723,89096,73259,100507,82082,45707,92671,125079,110229,111166,105222,87812,81065,60443,61297,56914,57436,58936,61739,80711,Upgrade
6,Operating Income,3188,4881,20520,22642,6506,32332,-34128,10314,6287,4732,-14055,3514,-9548,18966,2916,18730,5361,3494,3646,-3677,Upgrade
7,Interest Expense,-12583,-11607,-15619,-17400,-203337,-15728,-16066,-40018,-14666,-66910,-15581,-209663,-7318,-12420,-15352,-15037,-9458,-10144,-12561,-6473,Upgrade
8,Interest & Investment Income,47437,61600,38809,25284,73935,-,13705,-,48642,-,83708,-,56427,1141,34687,-,31764,20328,29355,104287,Upgrade
9,Earnings From Equity Investments,-2931,-2713,-2291,-3508,-2632,-2774,-3354,-4367,-2290,2233,-5474,-708.14,-471.2,-4978,-3759,-4869,-2113,1444,398.49,-2382,Upgrade
10,Currency Exchange Gain (Loss),-,-,708.31,-638.12,-,-,328.78,-1759,-,-264.88,161.35,684.46,-,2092,686.45,1699,-,6635,-7821,939.68,Upgrade
11,Other Non Operating Income (Expenses),410.86,7833,-5972,-848.21,263.44,-173501,224481,1909,-12442,5929,-2823,-87483,-2034,-99231,2057,2635,-273.81,-3388,2147,1514,Upgrade
12,EBT Excluding Unusual Items,35521,59994,36154,25532,-125263,-159671,184967,-33921,25531,-54280,45936,-293655,37057,-94430,21235,3159,25280,18368,15165,94209,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,41831,29162,-,-,29411,44486,-,88004,17.85,257646,-,181394,201.5,28004,-,28885,-11061,-15962,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,23,-,-,-,-,-,-,-,-,35,-,84480,-,173.18,-,-,-,227.25,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,84480,-,-,-,-,-,-,-,-,Upgrade
16,Pretax Income,35521,59994,78008,54693,-125263,-159671,214378,10566,25531,33724,45954,48506,37057,171443,21437,31337,25280,47254,4104,78474,Upgrade
17,Income Tax Expense,7501,7574,6085,7080,32906,13982,7794,7783,10770,9925,15692,10871,6791,22219,7091,8428,5132,8605,2458,12379,Upgrade
