,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Interest and Dividend Income,-,-,-,168441,142135,134204,119541,148466,127893,150144,153918,179341,120545,119574,65100,57083,50589,50703,49197,83311,Upgrade
1,Net Interest Income,-,-,-,168441,142135,134204,119541,148466,127893,150144,153918,179341,120545,119574,65100,57083,50589,50703,49197,83311,Upgrade
2,Brokerage Commission,-,-,307728,69096,99166,78077,51072,71534,76384,109550,150911,195744,153707,142564,102975,74628,45385,46902,26974,25209,Upgrade
3,Trading & Principal Transactions,-,-,-,79.52,-75.12,-2.69,-1.71,16.66,-2.63,-6.27,-7.76,11.89,-3.67,-3.78,-4.44,2.99,-1.12,-0.89,-0.98,1.1,Upgrade
4,Underwriting & Investment Banking Fee,-,-,-,7441,5382,15778,4168,5913,8201,13564,4208,9237,6310,11857,775.36,5150,4387,7348,1387,5102,Upgrade
5,Gain on Sale of Investments (Rev),-,-,-,-68261,74126,28202,35.42,-11514,-161724,-63420,52212,-30092,150753,76048,64027,45068,2816,62694,-136132,-79043,Upgrade
6,Other Revenue,-,-,-,4825,4293,3561,2883,3225,3670,3598,3506,4752,3616,3650,2995,2769,2334,2195,2058,3436,Upgrade
7,Revenue,-,-,307728,181622,325028,259819,177697,217642,54421,213431,364747,358994,434928,353689,235868,184701,105511,169841,-56517,38016,Upgrade
8,Revenue Growth (YoY),-,-,73.18%,-16.55%,497.24%,21.73%,-51.28%,-39.37%,-87.49%,-39.66%,54.64%,94.36%,312.21%,108.25%,-,385.85%,58.98%,21.38%,-,-89.86%,Upgrade
9,Cost of Services Provided,-,-,-,86496,83062,67299,56665,83993,72530,79300,88872,119679,85602,79352,62699,64306,43368,36704,32507,41819,Upgrade
10,Other Operating Expenses,-,-,118133,-,-,-,-,-,-,-,-,-,44.74,-,-,-,-,-,-,-,Upgrade
