,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,86708,91702,88724,68682,88804,69752,89404,63035,97169,64435,129983,108175,91443,32553,114512,100121,124083,106208,88226,81888,Upgrade
1,Revenue Growth (YoY),-2.36%,31.47%,-0.76%,8.96%,-8.61%,8.25%,-31.22%,-41.73%,6.26%,97.94%,13.51%,8.04%,-26.31%,-69.35%,29.80%,22.27%,20.75%,20.14%,1.51%,28.42%,Upgrade
2,Cost of Revenue,45581,52752,55941,46272,63069,48394,63040,46254,68550,41789,78513,77742,65420,23692,81398,66876,84669,71845,61110,58018,Upgrade
3,Gross Profit,41128,38951,32784,22410,25736,21359,26365,16781,28620,22646,51471,30433,26023,8861,33114,33245,39414,34364,27116,23870,Upgrade
4,"Selling, General & Admin",19444,17930,14532,11468,11306,11952,15421,6196,9010,10727,23134,7725,8534,3964,12030,13226,7323,10715,11193,8943,Upgrade
5,Operating Expenses,19444,17930,14532,11468,11306,11952,15421,6196,9010,10727,23134,7725,8534,3964,12030,13226,7323,10715,11193,8943,Upgrade
6,Operating Income,21683,21021,18252,10942,14429,9407,10944,10585,19609,11918,28336,22708,17489,4897,21084,20019,32091,23648,15923,14927,Upgrade
7,Interest Expense,-1916,-3558,-538.17,-,-724.21,-1746,-972.28,-,-424.17,-2225,-,-419.08,-258.79,-235.04,-231.86,-225.05,-221.79,-186.55,-168.59,-187.33,Upgrade
8,Interest & Investment Income,2725,1880,1140,404.48,1692,2818,-,3170,2168,3463,4687,2318,3636,4656,3145,1934,3473,4166,4353,2879,Upgrade
9,Currency Exchange Gain (Loss),-,-,103.42,1282,140.63,-,788.77,627.58,-920.2,-,-648.88,-220.2,105.96,-,805.92,848.11,406.42,-,260.73,13.09,Upgrade
10,Other Non Operating Income (Expenses),-883.04,377.46,-1495,-858.06,2202,-235.17,-2558,-4966,-2268,-322.41,-1859,1011,-308.19,-2192,-499.2,-129.05,-597.91,-380.22,-760.31,447.18,Upgrade
11,EBT Excluding Unusual Items,21609,19721,17462,11771,17740,10244,8202,9416,18164,12834,30516,25398,20664,7126,24304,22447,35151,27247,19608,18079,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,513.65,127.27,-1732,-,1868,9.09,-,-,-,45.45,-14.55,-,-,14.55,-,-,-,-,Upgrade
13,Other Unusual Items,-,-,-,-,289.3,-,-,-,-,-,-,-,1800,-,-,-,-,-,-,-,Upgrade
14,Pretax Income,21609,19721,17976,11898,16297,10244,10071,9425,18164,12834,30516,25443,22449,7126,24304,22462,35151,27247,19608,18079,Upgrade
15,Income Tax Expense,4801,3911,4621,2380,3423,2049,1987,1885,3736,2567,6296,5089,4565,1425,5072,4492,7047,5449,3996,3616,Upgrade
16,Net Income,16808,15810,13355,9519,12873,8195,8083,7540,14428,10267,24220,20355,17884,5700,19232,17969,28104,21798,15612,14463,Upgrade
17,Preferred Dividends & Other Adjustments,-,-,778.75,1246,629.21,-,409.77,781.18,1649,-,-907.7,1337,1824,-,-1860,1860,827.78,-,669.28,902.25,Upgrade
18,Net Income to Common,16808,15810,12576,8273,12244,8195,7674,6759,12780,10267,25128,19017,16060,5700,21093,16109,27276,21798,14943,13561,Upgrade
19,Net Income Growth,30.56%,92.91%,65.21%,26.24%,-10.78%,-20.18%,-66.63%,-62.96%,-19.32%,80.11%,25.93%,13.27%,-36.37%,-73.85%,23.19%,24.24%,25.65%,15.72%,-25.32%,19.42%,Upgrade
20,Shares Outstanding (Basic),25,25,24,22,25,24,24,21,27,15,32,22,24,24,26,21,23,23,23,22,Upgrade
21,Shares Outstanding (Diluted),25,25,24,22,25,24,24,21,27,15,32,22,24,24,26,21,23,23,23,22,Upgrade
22,Shares Change (YoY),2.38%,1.97%,-3.27%,8.20%,-7.87%,60.82%,-24.62%,-4.93%,10.53%,-36.50%,22.60%,2.26%,3.74%,5.74%,13.71%,-2.82%,2.57%,-0.47%,0.34%,-1.19%,Upgrade
23,EPS (Basic),669.09,636.36,532.26,369.82,499.03,336.36,314.15,326.90,479.88,677.69,775.45,874.42,666.55,238.92,798.06,757.44,1174.34,966.06,642.88,619.67,Upgrade
24,EPS (Diluted),669.09,636.36,532.26,369.82,498.71,336.36,314.15,326.90,479.58,677.69,775.45,874.42,666.55,238.92,798.06,757.44,1174.34,966.06,642.88,619.67,Upgrade
25,EPS Growth,34.16%,89.19%,69.43%,13.13%,3.99%,-50.37%,-59.49%,-62.62%,-28.05%,183.65%,-2.83%,15.45%,-43.24%,-75.27%,24.14%,22.23%,27.35%,16.26%,-30.94%,19.84%,Upgrade
26,Free Cash Flow,8178,-10559,-45719,-69962,1810,21062,35889,-35121,-1097,18122,-4928,-28345,-3822,9745,22621,767.55,-19937,19903,24328,-10607,Upgrade
