,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,19594999,16415109,18692598,18818057,21202245,20095301,17711112,16476444,10558548,10558548,16178420,16646743,32995462,34613304,18045498,10682554,11470863,10574304,11114768,7777988,6737767,Upgrade
1,Market Cap Growth,-18.31%,-18.31%,5.54%,14.21%,100.81%,90.32%,9.47%,-1.02%,-68.00%,-69.50%,-10.35%,55.83%,187.65%,227.33%,62.36%,37.34%,70.25%,11.93%,0.51%,-16.73%,-28.26%,Upgrade
2,Enterprise Value,36285697,35445110,37473889,42830200,44209107,43265489,38781261,38152335,31995843,31137587,37530017,37513948,55294955,56374091,42173069,26487726,23730077,20631344,22178902,18938319,17187886,Upgrade
3,Last Close Price,22800.00,19100.00,21750.00,22100.00,24900.00,23600.00,20800.00,19350.00,12400.00,12400.00,19000.00,19099.54,37857.14,39713.36,20704.35,19718.43,17010.15,16081.03,16902.95,11828.49,9863.03,Upgrade
4,PE Ratio,11.93,10.11,18.04,18.12,45.08,-,50.22,62.33,-,33.29,35.41,-,33.88,35.23,17.66,11.50,11.79,13.57,17.08,11.41,13.70,Upgrade
5,Forward PE,26.89,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,22.70,27.12,14.52,13.84,20.77,13.35,14.35,9.98,8.09,Upgrade
6,PS Ratio,0.58,0.49,0.59,0.62,0.70,0.67,0.61,0.57,0.35,0.33,0.47,0.50,1.01,1.21,0.72,0.45,0.61,0.59,0.68,0.50,0.43,Upgrade
7,PB Ratio,1.40,0.71,0.83,0.84,0.99,0.95,0.82,0.77,0.50,0.50,0.77,0.78,1.52,1.69,0.92,0.74,1.34,1.29,1.44,1.02,0.78,Upgrade
8,P/TBV Ratio,1.33,1.33,1.60,1.64,1.99,1.92,1.70,1.61,1.07,1.06,1.62,1.61,3.20,3.59,1.87,1.96,1.86,1.82,2.06,1.49,1.39,Upgrade
