,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,484489,412673,357571,539072,674805,542325,718007,295483,759065,786924,1176485,602513,762047,719872,548275,448602,586830,670418,775764,444716,Upgrade
1,Short-Term Investments,262090,425477,585526,364206,200730,461857,388730,846695,971245,1224293,1310403,529998,415148,464308,452858,342513,342513,339932,31432,53832,Upgrade
2,Trading Asset Securities,18030,23033,23033,24225,21534,23874,23874,25978,25978,42224,64059,64059,64059,64061,64061,14633,14633,14622,14596,12875,Upgrade
3,Cash & Short-Term Investments,764609,861182,966129,927502,897069,1028057,1130611,1168156,1756288,2053442,2550947,1196570,1241254,1248241,1065193,805748,943976,1024972,821792,511423,Upgrade
4,Cash Growth,-14.77%,-16.23%,-14.55%,-20.60%,-48.92%,-49.93%,-55.68%,-2.37%,41.49%,64.51%,139.48%,48.50%,31.49%,21.78%,29.62%,57.55%,117.02%,279.94%,195.66%,65.84%,Upgrade
5,Accounts Receivable,74855,85745,90688,99031,154733,101673,108752,50956,100554,85048,754579,1149985,878428,321993,699154,590584,500444,387222,418902,373573,Upgrade
6,Other Receivables,39158,34022,33580,168468,164233,138275,122559,110443,104364,85994,80873,53582,49197,36778,42295,35538,31432,75963,129518,8500,Upgrade
7,Receivables,97080,119767,124269,267499,318966,239947,231311,161399,204918,171042,835451,1203566,927624,358771,741450,626123,531875,463185,548420,382073,Upgrade
8,Inventory,1644284,1640276,1587359,1377552,1364332,1386156,1388447,1298228,1254190,1278147,940941,752014,749612,685372,518386,557636,511467,407591,402144,489009,Upgrade
9,Prepaid Expenses,1474,1994,753.16,1275,2249,2103,1167,1667,2679,2502,1460,1439,2063,1424,494.32,2072,1968,916,2066,1853,Upgrade
10,Other Current Assets,243613,244755,231767,322665,290565,305566,294474,282463,274367,277590,292673,274746,232486,189027,180704,166182,171248,599014,113844,93177,Upgrade
11,Total Current Assets,2751058,2867974,2910277,2896494,2873182,2961828,3046010,2911913,3492442,3782723,4621474,3428336,3153040,2482835,2506227,2157761,2160533,2495678,1888265,1477535,Upgrade
12,"Property, Plant & Equipment",248967,236986,239941,245367,252329,254999,256251,248396,244072,240160,243231,245591,243989,244840,246718,241672,182364,182047,168526,168016,Upgrade
13,Long-Term Investments,44864,46888,46888,46913,46913,21964,21964,21964,21964,21985,111689,114402,122475,130591,138665,146738,154812,171505,171505,180618,Upgrade
14,Goodwill,91939,96001,100063,104125,108187,112249,116311,120372,124434,128496,132558,136620,140682,119513,123108,126781,130454,72075,18900,5707,Upgrade
15,Other Intangible Assets,26195,26546,26884,27222,27560,27898,28221,28431,28613,28937,28771,28991,29297,29607,29913,21109,21168,21228,8809,8868,Upgrade
16,Long-Term Deferred Tax Assets,25.56,8.3,8.3,8.3,8.3,62.39,62.39,62.39,368.08,365.05,12409,12355,12220,9097,7539,6065,4556,595.27,595.27,305.7,Upgrade
17,Other Long-Term Assets,95568,42919,44573,45767,48981,52571,54814,67913,76443,65006,63624,64148,64097,65281,67087,60511,54675,53628,31911,28576,Upgrade
18,Total Assets,3258868,3317573,3368634,3365896,3357159,3431571,3523633,3399052,3988337,4267672,5213756,4030442,3765801,3081763,3119258,2760636,2708562,2996757,2288511,1869625,Upgrade
19,Accounts Payable,238128,321195,338781,312512,373181,473332,521369,439076,513979,617502,976286,1208277,927146,552626,613268,447561,466441,932987,449437,345941,Upgrade
20,Accrued Expenses,28504,21905,20914,16935,24371,35531,31769,27709,51570,84827,77653,53191,89702,70244,139005,56774,82912,62758,74280,32580,Upgrade
21,Short-Term Debt,76500,-,60664,97191,119900,177022,238441,208124,663608,799002,1182088,694125,941427,939777,855789,788881,765155,735351,579786,567995,Upgrade
22,Current Portion of Long-Term Debt,-,64850,57250,52700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,10552,6110,5172,1638,12522,2418,4960,1170,9416,15797,29548,18314,43875,10365,34618,21852,39468,22187,17133,11373,Upgrade
24,Current Unearned Revenue,300,-,-,-,-,-,-,-,942.63,-,-,-,857.15,818.64,-,-,718.91,37.14,745.3,8.8,Upgrade
25,Other Current Liabilities,74746,79329,78234,106107,111525,115609,101827,95494,90345,105147,421227,261915,81747,31902,34578,83459,61280,72190,234894,31139,Upgrade
26,Total Current Liabilities,428730,493390,561015,587083,641499,803912,898366,771574,1329860,1622274,2686803,2235821,2084755,1605731,1677257,1398527,1415974,1825511,1356275,989036,Upgrade
27,Long-Term Debt,266951,264994,254090,228109,169998,173369,149097,143761,143136,139362,80188,75973,68006,17574,-,-,-,-,-,-,Upgrade
28,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,1083,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Other Long-Term Liabilities,2402,2402,2552,2477,2089,2000,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,Upgrade
30,Total Liabilities,698084,760786,817657,817669,813587,979281,1050063,917935,1476678,1764236,2769590,2314394,2155361,1625905,1679857,1401127,1418574,1828111,1358875,991636,Upgrade
31,Common Stock,1016001,699500,699500,700000,700000,700000,700000,700000,690000,600000,600000,432000,432000,432000,360000,360000,360000,360000,240000,240000,Upgrade
32,Additional Paid-In Capital,647659,647659,647645,647645,647645,647645,647645,647645,647835,647835,647835,227835,227835,227835,227835,227033,227033,227033,167033,167033,Upgrade
33,Retained Earnings,853543,1165992,1159900,1156309,1153693,1063193,1083646,1091273,1126778,1205451,1144769,1031048,925953,801232,853891,774874,706167,584826,550075,499761,Upgrade
34,Treasury Stock,-41472,-41434,-41441,-41441,-41441,-41441,-41441,-41441,-35804,-33240,-33240,-33240,-33240,-33240,-30399,-30561,-30561,-30399,-30399,-30399,Upgrade
35,Comprehensive Income & Other,143.33,213.33,287,328,328,214,430,1110,120,400,810,1020,390,600,810,1020,270,480,690,830,Upgrade
36,Total Common Equity,2475874,2471930,2465891,2462841,2460225,2369611,2390280,2398587,2428928,2420446,2360174,1658663,1552938,1428427,1412137,1332366,1262909,1141940,927399,877225,Upgrade
37,Minority Interest,84911,84856,85086,85385,83347,82679,83290,82530,82731,82989,83993,57385,57502,27430,27264,27144,27079,26706,2237,764.27,Upgrade
38,Shareholders' Equity,2560784,2556786,2550977,2548227,2543572,2452290,2473570,2481117,2511659,2503436,2444166,1716048,1610440,1455858,1439401,1359510,1289988,1168646,929636,877989,Upgrade
39,Total Liabilities & Equity,3258868,3317573,3368634,3365896,3357159,3431571,3523633,3399052,3988337,4267672,5213756,4030442,3765801,3081763,3119258,2760636,2708562,2996757,2288511,1869625,Upgrade
40,Total Debt,343451,329844,372004,378000,289898,350391,387538,351885,806743,938364,1262276,770098,1009433,957351,855789,788881,765155,735351,579786,567995,Upgrade
41,Net Cash (Debt),421158,531338,594125,549503,607171,677666,743073,816271,949545,1115078,1288672,426473,231821,290890,209404,16867,178822,289621,242006,-56572,Upgrade
42,Net Cash Growth,-30.64%,-21.59%,-20.04%,-32.68%,-36.06%,-39.23%,-42.34%,91.40%,309.60%,283.33%,515.40%,2428.43%,29.64%,0.44%,-13.47%,-,-,-,-,-,Upgrade
43,Net Cash Per Share,4155.50,5376.94,6075.34,5560.41,6143.96,6857.29,7519.15,8259.84,9866.80,11546.90,15657.07,6153.03,3344.64,4949.35,3022.88,243.47,3002.48,5145.77,5347.22,-1249.98,Upgrade
