,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+11 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+11 Quarters
0,Revenue,565221,585803,639475,435923,490832,403818,393355,477163,425638,489022,494654,435479,371673,371673,444129,444129,431701,431701,341916,341916,Upgrade
1,Revenue Growth (YoY),15.16%,45.07%,62.57%,-8.64%,15.32%,-17.42%,-20.48%,9.57%,14.52%,31.57%,11.38%,-1.95%,-13.90%,-13.90%,29.89%,29.89%,58.53%,58.53%,-19.20%,-19.20%,Upgrade
2,Cost of Revenue,529142,544882,587991,378811,472245,356876,344379,437755,369844,448682,456921,404342,347209,347209,415663,415663,403794,403794,315140,315140,Upgrade
3,Gross Profit,36079,40921,51484,57112,18587,46942,48976,39407,55794,40340,37733,31138,24464,24464,28466,28466,27907,27907,26776,26776,Upgrade
4,"Selling, General & Admin",26175,21093,15292,16756,11957,16885,14766,11365,21345,12413,12866,10478,9632,9632,11374,11374,13882,13882,8626,8626,Upgrade
5,Operating Expenses,26175,21093,15292,16756,11957,16885,14766,11365,21345,12413,12866,10478,9632,9632,11374,11374,13882,13882,8626,8626,Upgrade
6,Operating Income,9904,19828,36192,40356,6631,30057,34211,28042,34449,27927,24867,20660,14832,14832,17092,17092,14025,14025,18150,18150,Upgrade
7,Interest Expense,-8237,-6167,-17788,-7521,-7469,-8168,-,-10878,-10637,-7536,-4289,-4088,-3089,-3089,-1532,-1532,-1795,-1795,-2862,-2862,Upgrade
8,Interest & Investment Income,3421,3586,3691,2928,3334,3778,3599,3336,2831,2166,2883,2860,1819,1819,2525,2525,3408,3408,2914,2914,Upgrade
9,Currency Exchange Gain (Loss),1457,2.61,3716,427.69,553.49,464.45,3208,2509,1445,-1097,-1423,792.27,1529,1529,664.91,664.91,913.91,913.91,-95.46,-95.46,Upgrade
10,Other Non Operating Income (Expenses),9745,8213,13145,-8.25,18922,1837,-11147,3140,10544,-,-427.82,-39.73,1113,1113,202.25,202.25,3292,3292,-362.01,-362.01,Upgrade
11,EBT Excluding Unusual Items,16290,25462,38955,36183,21970,27968,29870,26150,38631,21460,21610,20184,16204,16204,18951,18951,19844,19844,17745,17745,Upgrade
12,Pretax Income,16290,25462,38955,36183,21726,27968,29870,26150,34241,24586,22685,20374,16204,16204,18951,18951,19844,19844,17745,17745,Upgrade
13,Income Tax Expense,3238,5082,7910,7353,4189,5588,6026,5223,7059,4866,4649,4111,3350,3350,3783,3783,4045,4045,3543,3543,Upgrade
14,Earnings From Continuing Operations,13052,20380,31046,28830,17537,22380,23844,20927,27182,19720,18036,16263,12855,12855,15168,15168,15799,15799,14202,14202,Upgrade
15,Net Income,13052,20380,31046,28830,17537,22380,23844,20927,27182,19720,18036,16263,12855,12855,15168,15168,15799,15799,14202,14202,Upgrade
16,Preferred Dividends & Other Adjustments,-,-,-,-,5928,-,-,-,5684,-,-,-,735.46,735.46,735.46,735.46,1050,1050,1186,1186,Upgrade
17,Net Income to Common,13052,20380,31046,28830,11609,22380,23844,20927,21498,19720,18036,16263,12119,12119,14433,14433,14748,14748,13016,13016,Upgrade
18,Net Income Growth,-25.57%,-8.93%,30.20%,37.77%,-35.48%,13.49%,32.20%,28.68%,111.46%,53.41%,18.91%,7.22%,-18.63%,-18.63%,6.80%,6.80%,3.79%,3.79%,29.32%,29.32%,Upgrade
19,Shares Outstanding (Basic),62,90,56,61,61,61,61,61,61,61,61,61,40,40,40,40,40,40,40,40,Upgrade
20,Shares Outstanding (Diluted),62,90,56,61,61,61,61,61,61,61,61,61,40,40,40,40,40,40,40,40,Upgrade
21,Shares Change (YoY),0.44%,46.65%,-9.10%,-0.07%,-0.19%,-0.10%,0.32%,-0.14%,52.79%,52.87%,54.62%,55.24%,1.51%,1.51%,-,-,-,-,-,-,Upgrade
22,EPS (Basic),212.00,226.37,556.00,470.00,189.38,364.55,388.18,340.91,350.03,320.91,294.56,264.55,301.50,301.50,364.46,364.46,372.44,372.44,328.70,328.70,Upgrade
23,EPS (Diluted),212.00,226.37,556.00,470.00,189.38,364.55,388.18,340.91,350.03,320.91,294.56,264.55,301.50,301.50,364.46,364.46,372.44,372.44,328.70,328.70,Upgrade
24,EPS Growth,11.94%,-37.90%,43.23%,37.87%,-45.90%,13.60%,31.78%,28.87%,16.10%,6.44%,-19.18%,-27.42%,-19.05%,-19.05%,10.88%,10.88%,3.44%,3.44%,29.32%,29.32%,Upgrade
25,Free Cash Flow,-143814,-143814,19362,139122,47580,47225,81465,28084,79840,-282740,7741,41500,-137327,-137327,-3803,-3803,46647,46647,22280,22280,Upgrade
26,Free Cash Flow Per Share,-2335.87,-1597.38,346.76,2268.06,776.17,769.27,1326.25,457.51,1299.96,-4601.17,126.43,675.08,-3416.36,-3416.36,-96.02,-96.02,1177.95,1177.95,562.64,562.64,Upgrade
27,Dividend Per Share,-,-,-,-,-,-,-,-,909.091,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Gross Margin,6.38%,6.99%,8.05%,13.10%,3.79%,11.62%,12.45%,8.26%,13.11%,8.25%,7.63%,7.15%,6.58%,6.58%,6.41%,6.41%,6.46%,6.46%,7.83%,7.83%,Upgrade
29,Operating Margin,1.75%,3.38%,5.66%,9.26%,1.35%,7.44%,8.70%,5.88%,8.09%,5.71%,5.03%,4.74%,3.99%,3.99%,3.85%,3.85%,3.25%,3.25%,5.31%,5.31%,Upgrade
30,Profit Margin,2.31%,3.48%,4.85%,6.61%,2.37%,5.54%,6.06%,4.39%,5.05%,4.03%,3.65%,3.73%,3.26%,3.26%,3.25%,3.25%,3.42%,3.42%,3.81%,3.81%,Upgrade
31,Free Cash Flow Margin,-25.44%,-24.55%,3.03%,31.91%,9.69%,11.69%,20.71%,5.89%,18.76%,-57.82%,1.56%,9.53%,-36.95%,-36.95%,-0.86%,-0.86%,10.81%,10.81%,6.52%,6.52%,Upgrade
32,EBITDA,44770,54693,66002,70164,36421,59826,63980,57810,61512,53072,44059,42618,32971,32971,30389,30389,27326,27326,31440,31440,Upgrade
33,EBITDA Margin,7.92%,9.34%,10.32%,16.10%,7.42%,14.82%,16.27%,12.12%,14.45%,10.85%,8.91%,9.79%,8.87%,8.87%,6.84%,6.84%,6.33%,6.33%,9.20%,9.20%,Upgrade
34,D&A For EBITDA,34866,34866,29810,29808,29791,29770,29770,29768,27063,25145,19192,21959,18139,18139,13297,13297,13301,13301,13289,13289,Upgrade
35,EBIT,9904,19828,36192,40356,6631,30057,34211,28042,34449,27927,24867,20660,14832,14832,17092,17092,14025,14025,18150,18150,Upgrade
36,EBIT Margin,1.75%,3.38%,5.66%,9.26%,1.35%,7.44%,8.70%,5.88%,8.09%,5.71%,5.03%,4.74%,3.99%,3.99%,3.85%,3.85%,3.25%,3.25%,5.31%,5.31%,Upgrade
37,Effective Tax Rate,19.88%,19.96%,20.30%,20.32%,19.28%,19.98%,20.17%,19.97%,20.62%,19.79%,20.49%,20.18%,20.67%,20.67%,19.96%,19.96%,20.39%,20.39%,19.96%,19.96%,Upgrade
38,Revenue as Reported,-,585803,639475,435923,490832,403818,393355,477163,425638,489022,494654,435479,371673,371673,444129,444129,431701,431701,341916,341916,Upgrade
