,Fiscal Quarter,Current,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016
,Period Ending,"Mar '25 Mar 12, 2025","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016"
0,Debt / Equity Ratio,0.12,0.31,0.31,0.31,0.31,-,0.32
1,Debt / EBITDA Ratio,1.03,4.51,4.51,2.93,2.93,-,10.44
2,Debt / FCF Ratio,3.96,-,-,42.69,-49.48,-,-
3,Asset Turnover,0.23,0.23,0.29,-,-,-,
4,Inventory Turnover,5.01,3.57,4.14,5.70,-,-,-
5,Quick Ratio,1.86,1.07,1.07,1.02,1.02,-,-
6,Current Ratio,2.33,1.67,1.67,1.47,1.47,-,-
7,Return on Equity (ROE),6.67%,6.71%,9.86%,-,-,-,
8,Return on Assets (ROA),1.41%,1.43%,3.06%,-,-,-,
9,Return on Capital (ROIC),1.69%,1.70%,3.61%,-,-,-,
10,Return on Capital Employed (ROCE),5.88%,4.07%,3.50%,3.05%,1.62%,-,-
11,Payout Ratio,0.11%,2.30%,2.30%,-,-,56.89%,56.89%
