,Fiscal Quarter,Current,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Jan '12 Jan 1, 2012",+20 Quarters
0,Market Capitalization,531047,723146,853869,169105,158536,215422,236611,222485,260048,279310,279310,311415,210711,170311,156351,150767,136807,120055,161953,133544,80127,Upgrade
1,Market Cap Growth,-22.87%,235.69%,260.87%,-23.99%,-39.04%,-22.87%,-15.29%,-28.56%,23.41%,64.00%,78.64%,106.55%,54.02%,41.86%,-3.46%,12.90%,70.74%,-4.19%,10.57%,-29.42%,-69.06%,Upgrade
2,Enterprise Value,392466,878040,1008763,323999,313430,392466,521224,535818,536489,554192,524481,477513,361720,253482,239522,212190,199786,166773,229388,195896,32371,Upgrade
3,Last Close Price,4780.00,9739.90,11500.58,2277.64,1951.21,2930.15,3218.36,2821.74,3023.30,3247.24,3247.24,3412.42,2321.85,1866.05,1713.09,1651.91,1498.95,1315.41,1774.27,1463.04,877.83,Upgrade
4,PE Ratio,5.01,29.54,38.22,5.36,3.95,5.57,4.19,5.41,9.31,11.75,70.33,12.95,-,5.72,5.62,13.64,12.95,8.93,10.83,12.38,7.47,Upgrade
5,PS Ratio,0.56,1.95,2.47,0.52,0.46,0.62,0.67,0.63,0.74,0.76,0.79,0.89,0.60,0.48,0.46,0.41,0.38,0.34,0.47,0.40,0.22,Upgrade
6,PB Ratio,0.39,0.99,-,-,-,0.31,0.35,0.38,0.45,0.49,0.51,0.55,0.38,0.30,-,0.28,0.25,0.22,0.30,0.25,0.15,Upgrade
7,P/TBV Ratio,0.32,1.01,-,-,-,0.32,0.35,0.39,0.46,0.50,0.52,0.57,0.39,0.31,-,0.29,0.26,0.23,0.31,0.26,0.16,Upgrade
8,P/FCF Ratio,-,-,-,4.65,6.97,-,-5.35,-,-,-,-,-,-1.70,-,-,-,-,-,-2.90,-,-,Upgrade
9,P/OCF Ratio,-,-,-,4.04,5.14,-,-29.92,7.78,-,-,11.25,-,44.31,-,-,-,4.30,-,2022.96,-,-,Upgrade
10,EV/Sales Ratio,1.12,2.36,2.92,1.00,0.91,1.12,1.47,1.52,1.53,1.52,1.48,1.37,1.03,0.72,0.70,0.58,0.55,0.48,0.66,0.58,0.09,Upgrade
11,EV/EBITDA Ratio,29.13,31.47,33.99,122.57,29.83,29.05,-,15.19,20.59,28.40,25.94,28.08,17.19,9.62,9.11,7.66,7.85,5.78,9.34,7.24,1.15,Upgrade
12,EV/EBIT Ratio,-,86.21,86.46,-20.77,-38.11,-66.75,-,34.71,87.89,-3487.41,715.21,-,-,34.88,-,23.44,29.33,16.18,34.24,22.03,3.09,Upgrade
13,EV/FCF Ratio,-,-,-,8.92,13.78,-,-11.80,-,-,-,-,-,-2.91,-,-,-,-,-,-4.11,-,-,Upgrade
14,Debt / Equity Ratio,0.47,0.04,-,-,-,0.47,0.49,0.61,0.68,1.09,1.11,1.03,0.98,0.40,-,0.31,0.23,0.17,0.16,0.15,0.16,Upgrade
15,Debt / EBITDA Ratio,23.79,0.82,-,-,-,8.03,-,6.52,10.06,26.95,24.58,32.77,43.71,8.77,-,4.96,3.65,3.66,4.84,3.27,1.79,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-7.55,-,-,-,-,-,-4.41,-,-,-,-,-,-1.52,-,-,Upgrade
17,Asset Turnover,-,-,-,-,-,0.30,0.31,0.28,0.31,0.26,0.26,0.38,-,-,0.42,0.54,0.45,0.59,0.45,0.51,Upgrade,
18,Inventory Turnover,3.56,-,-,-,-,-,4.26,2.56,2.65,3.20,2.32,2.67,3.45,-,-,2.85,3.69,3.24,4.11,3.01,3.88,Upgrade
19,Quick Ratio,1.58,4.20,-,-,-,1.58,1.61,1.13,0.99,0.97,0.89,0.97,1.01,1.46,-,1.32,1.45,1.53,1.55,1.45,1.61,Upgrade
20,Current Ratio,1.90,5.23,-,-,-,1.90,1.94,1.57,1.44,1.18,1.13,1.23,1.24,2.18,-,1.98,2.14,2.39,2.33,2.34,2.42,Upgrade
21,Return on Equity (ROE),-,-,-,-,-,9.84%,10.39%,2.09%,16.40%,-0.03%,1.50%,-0.89%,-,-,1.05%,4.01%,0.97%,2.43%,0.25%,5.83%,Upgrade,
22,Return on Assets (ROA),-,-,-,-,-,-5.49%,2.04%,0.96%,0.15%,0.23%,-0.11%,-0.38%,-,-,1.18%,1.27%,0.44%,0.12%,0.54%,2.63%,Upgrade,
23,Return on Capital (ROIC),-,-,-,-,-,-6.25%,2.31%,1.08%,0.17%,0.26%,-0.12%,-0.42%,-,-,1.36%,1.45%,0.50%,0.13%,0.60%,3.01%,Upgrade,
24,Return on Capital Employed (ROCE),-,1.39%,-,-,-,-0.68%,-,1.98%,0.80%,-0.02%,0.11%,-,-,1.10%,-,1.49%,1.17%,1.77%,1.18%,1.58%,1.86%,Upgrade
25,Earnings Yield,7.28%,3.39%,2.62%,18.64%,25.30%,17.94%,23.86%,18.49%,10.74%,8.51%,1.42%,7.72%,11.10%,17.48%,17.78%,7.33%,7.72%,11.20%,9.23%,8.08%,13.39%,Upgrade
26,FCF Yield,-8.58%,-3.13%,-0.03%,21.48%,14.35%,-,-18.68%,-34.00%,-58.71%,-40.46%,-52.12%,-57.26%,-58.90%,-84.55%,-68.40%,-25.36%,-12.37%,-23.56%,-34.48%,-78.48%,-117.76%,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,18.13%,19.61%,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,39.50%,-,-,-,-,-,-,-,-,69.87%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Buyback Yield / Dilution,-5.98%,-0.27%,-,-45.06%,-45.20%,-45.45%,-,-0.25%,0.07%,-0.19%,0.66%,-0.38%,-0.06%,0.67%,-0.67%,0.65%,0.01%,-0.68%,-3.48%,-9.77%,-6.55%,Upgrade
30,Total Shareholder Return,-5.98%,-0.27%,-,-45.06%,-45.20%,-45.45%,-,-0.25%,0.07%,-0.19%,0.66%,-0.38%,18.07%,20.28%,-0.67%,0.65%,0.01%,-0.68%,-3.48%,-9.77%,-6.55%,Upgrade
